{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Tax Code,Credit Limit,Tax ID No.,Volume Discount %,Sales/Purchase Layout,Price Level,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,A.B.N. ,A.B.N. Branch,Account,Salesperson,Salesperson Card ID,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Customer's Tax Code,Receipt Memo,Invoice/Purchase Order Delivery,Record ID,,,,
418 Adelaide Street CTS B32461,,*None,Y,Starbuild Management Services,P.O Box 662,,,Spring Hill,Qld,4004,,0419 792 464,,,,graham.neville@starbuild.com.au,,Graham Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,47,,,,
50 Cavill Ave,,*None,Y,,,,,Surfers Paradise,Qld,4217,,0459 155 542,,,,fiftycavill@bigpond.com,,Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,49,,,,
A.P Constructions,,*None,Y,PO Box 1425,,,,Paradise Point,QLD,4216,,0432 744 394,07 5564 1577,,07 5564 1588,reception@apgroupqld.com.au,,Peter Calligaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,52,,,,
A1 Office Fitouts,,*None,Y,1374 North Road,,,,Huntingdale,VIC,3166,,1300 726 566,0413 929 088,,,marty@a1office.com.au,,Marty Beecroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,53,,,,
A1 Rubber Pty Ltd,,*None,Y,34 Binary St,,,,Yatala,Qld,4207,,07 38073666,,,07 38072344,,,Wayne Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,54,,,,
Abacus Property Group,,*None,Y,C/- CBRE (C) Pty Ltd,QLD Rents Trust,Locked Bag 2003,,Archerfield,Qld,4108,,07 5457 5757,0433 380 953,,,PDF;COPY;ONLY,reasap.pacific@cbre.com,Ainslee McCall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,55,,,,
Abacus Property Services Pty Limited,,*None,Y,Level 34,268 George Street,,,Sydney,NSW,2000,,0411 460 109,,,,griffin@abacusproperty.com.au,,Don Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,56,,,,
Abercraf Pty Ltd,,*None,Y,C/- LJ Hooker Commercial - Canberra,GPO Box 233,,,CANBERRA,ACT,2601,,02 6275 1401,0407 487 953,,02 6247 3772,,,Steve Scifleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,57,,,,
Abigroup Contractors,,*None,Y,129 Logan Rd,,,,Woolloongabba,Qld,4102,,33917311,,,07 33917414,,,Marius Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,58,,,,
Abigroup Contractors Pty Ltd,,*None,Y,GPO Box 2777,,,,Brisbane,Qld,4001,,07 33712840,,0409 632010,1300 365625,,,Robert Walmsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,59,,,,
Absolute Creations,,*None,Y,17 Geneva Crescent,,,,Narangba,QLD,4504,Australia,0449 969 453,,,,,,Trevor Devenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,60,,,,
Acacia Ridge Indigenous Cultural Space Project,,*None,Y,PO Box 5827,,,,West End,QLD,4101,,0408 016 110,,,,,,Jo Cruickshanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,61,,,,
Acadan Pty Ltd,,*None,Y,C/- Savills Pty Ltd,PO Box 3819,Rundle Mall,,Adelaide,SA,5000,,08 8168 7100,0417 5212 865,,,dbeales@savills.com.au,,David Beales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,62,,,,
Accent On McLeod CTS 36232,,*None,Y,C/- Zacks Strata,PO Box 828,,,SMITHFIELD,QLD,4878,,07 40556986,,,,admin@zacks-strata.com,,Gayle Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,66,,,,
Access Group Solutions,,*None,N,PO Box 219,,,,GLADESVILLE,NSW,2111,,02 9817 7788,,,,adminassist@accessgroupsolutions.com.au,,Paul Noske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,Apr-00,,,,,2017 AU ONSITE,GST,N,,P,67,,,,
Access Lumber Ltd,,*None,Y,22 Echodale Place,Stoke,,,Nelson,,7011,NEW ZEALAND,1800 105 145,0800 44 9274,,,,,Virginia Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,Apr-00,,,,,2017 AU ONSITE,GST,N,,P,68,,,,
Accor Australia & New Zealand  Hospitality Pty Ltd,,*None,Y,T/A Pullman Cairns International,17 Abbot Street,,,Cairns,QLD,4870,,4050 2169 Natalie,,,,H8772-TE@accor.com,,Peter Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,69,,,,
Ace Stone & Tiles,,*None,Y,PO Box 155,,,,Buddina,QLD,4575,Australia,07 54933344,,,,jodig@acestone.com.au,,Jodi Guningham,0418 151944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,70,,,,
ADCO Constructions Pty Ltd,,MILTON,N,ABN: 46 001 044 391,PO Box 1167,,,MILTON,QLD,4064,,3511 5555 Candice,0419 901 004 Brenton,,3511 5500,kandacel@adcoconstruct.com.au,laurenc@adcoconstruct.com.au,BILL MILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,74,,,,
Adcome Pty Ltd,,*None,Y,P.O. Box 1072,,,,Bongaree,Qld,4057,,34081066,,,34084563,,,Jennifer Inglis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,77,,,,
Adelaide Airport Limited,,*None,N,1 James Schofield Drive,,,,Adelaide Airport,SA,5950,,08 8308 9211 Kerry,0419 811 120,,08 8308 9311,accounts@aal.com.au,apenquiries@aal.com.au,Phil Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,78,,,,
Adelaide Aqua/ Built Environs,,*None,Y,PO Box 7019,Hutt Street,,,Adelaide,S.A,5000,,0417 834 551,,,,,,David Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,79,,,,
ADF Group,,*None,Y,96 Dryburgh St,,,,North Melbourne,Vic,3051,,1300 131395,,,1300 131395,,,Ramon Gaggino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,80,,,,
Admiral Concreting,,*None,Y,PO Box 234,,,,Geebung,Qld,4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,81,,,,
Admiral Concreting (Qld),,*None,Y,PO Box 234,,,,GEEBUNG,QLD,4034,,3265 2466,0431 249 458,,,liam.roberts@admiral.com.au,,Liam Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,82,,,,
Admiralty Concreting,,*None,Y,PO Box 117,,,,Kedron,Qld,4031,,07 32652466,,,,liam.roberts@admiralty.com.au,,Liam Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,83,,,,
Admiralty Quays CTS 24592,,*None,N,32 Macrossan Street,,,,Brisbane,QLD,4000,Australia,07 3059 9788,0415 929 191,,,manager@admiraltyquays.com,,Cindy Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,84,,,,
Advanced Plastic Recycling,,*None,Y,Lot 9 500 Churchill Road,,,,Kilburn,SA,5084,,08 8355 6689,0417 189 005,,,swancoatings@gmail.com,,Swan Gessner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,85,,,,
AHC Limited,,*None,Y,PO Box 34,,,,Oxenford,QLD,4210,,07 5559 1072,07 5573 2666,,07 5573 3324,reception@ahc.com.au,,Michael Plehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,86,,,,
Ahrens Engineering Pty Ltd,,*None,Y,PO Box 7565,,,,East Brisbane,QLD,4169,,07 3217 4122,0408 716 524 - Craig,,,,,Dave Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,87,,,,
Airlite Cleaning Pty Ltd,,*None,Y,PO Box 782,,,,Pacific Fair,QLD,4218,,08 9443 6789,0412 702710,08 9443 6789 Acc,07 55262416,ap@airlitegroup.com.au,,Gae Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,88,,,,
Airlite Group,,*None,Y,Level 1 433 Logan Road,,,,Stones Corner,Qld,4120,,08 9443 6789,0421 702 710,,,ap@airlitegroup.com.au,,Kathy Siave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,89,,,,
Airport West Pty Ltd,,*None,N,As Trustee for Airport West Unit Trust,ABN 24 701 659 673,PO Box 6,,Export Park,SA,5950,,08 8355 1144,,,08 8355 1166,harbourtownadelaide@lightyear.cloud,,Michale Pentland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,90,,,,
Albem Pty Ltd,,*None,Y,GPO Box 3104,,,,Brisbane,Qld,4001,,07 32690109,,,,,0433 727 581,Japan Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,92,,,,
Albion Park Village Shopping Centre,,*None,Y,C/O - Kiama Fair,143 Terralong Street,,,Kiama,NSW,2533,Australia,02 4232 3320,,,02 4232 3022,tracey.dignam@centro.com.au,,Tracey Dignam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,93,,,,
Alceon Group Pty Ltd ATF Gippsland Retail Trust,,273-08,N,c-/ JLL Gippsland Centre,37-39 Cunninghame Street,,,SALE,VIC,3850,Australia,,,,,GippslandCentre.PAMVIC@ap.jll.com,,Suzie Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,94,,,,
Alceon Group Pty Ltd,,*None,Y,ATF Peregian Springs Trust,PO Box 929,,,Redcliffe,Qld,4020,Australia,0478 486 371,,,,acoco@savills.com.au,,Anna Maree Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,95,,,,
Alceon Group Pty Ltd Atf Orange Retail Trust,,698-28,N,Trading as Orange City Centre,ABN:70 977 046 008,190 Anson Street,,Orange,NSW,2800,,02 6361 3879,0407 786 395,,,paminvoices.sydney@ap.jll.com,,Ivan Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,96,,,,
Alexandra Body Corporate,,*None,Y,C/- CB Richard Ellis,PO Box 7097,,,BRISBANE,QLD,4001,,3833 9833 (Kelly),,,,Phillip.Cooper@cbre.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,N,0,,,,,,,,,,,,,,,,GST,N,,P,98,,,,
Alexandra Body Corporate,,*None,Y,C/o- CB Richard Ellis,PO Box 7097,,,Brisbane,QLD,4001,Australia,07 3833 9833,,,07 3211 8737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,,GST,N,,P,99,,,,
MCM Properties  (QLD) P/L,,1317-01,Y,PO Box 1391,,,,Coorparoo,QLD,4151,,0416 075 637,,,,mcmqld@optusnet.com.au,,Bruce Middlebrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,0,0,GST,0,,0,S,0,,,,,,,,,,,,,,,2017 AU ONSITE,GST,N,,P,100,,,,
