{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Number,Item Name,Buy,Sell,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
ZZZ100,Wessex Verification Tile Jig,B,S,I,11201,43003,50001,Wessex Verification Testing Jig,,,,,1,,,QM Systems Ltd,,N-T,1,1,0,1,£495.00,1,GST,,0,1,0,0,0,0,0,495,540,540,540,540,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£420.00,,
ZZZ2001,4S (96) Rubber Slider,B,S,I,11201,43003,50001,,,,,,20,,,Smithers MSE Limited,,N-T,1,1,0,20,£95.00,1,GST,,0,1,0,0,0,0,0,95,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£61.50,,
ZZZ2004,TRS Float Glass,B,S,I,11201,43003,50001,,,,,,2,,,Munro Instruments Limited,,GST,1,1,0,2,£185.00,1,GST,,0,1,0,0,0,0,0,185,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£115.00,,
ZZZ0005,WessexPendulum Calibration Rig,B,S,I,11201,43003,50001,,,,,,,,,Laboratorio de Resbaladicidad SL,,GST,1,1,0,0,"£3,300.00",1,GST,,0,1,0,0,0,0,0,3300,4455.5,4455.5,4455.5,4455.5,4455.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,"£2,585.00",,
ZZZ2005,Pavigres Tile,B,S,I,11201,43003,50001,,,,,,2,,,Munro Instruments Limited,,GST,1,1,0,2,£185.00,1,GST,,0,1,0,0,0,0,0,185,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£155.00,,
ZZZ101,Wessex Slider Humpback Pin,B,S,I,11201,43003,50001,,,,,,3,,,Wynnum Bearings and Bolts,,GST,,1,0,3,£2.00,1,N-T,,0,1,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.44,,
ZZZ102,Wessex Slider Spring,B,S,I,11201,43003,50001,Wessex Pendulum Slider Spring,,,,,5,,,QM Systems Ltd,,N-T,1,1,0,5,£28.00,1,GST,,0,1,0,0,0,0,0,28,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£19.60,,
ZZZ103,Wessex Slider Washer,B,S,I,11201,43003,50001,,,,,,5,,,Bunnings Warehouse,,GST,1,1,0,5,£1.00,1,GST,,0,1,0,0,0,0,0,1,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.36,,
ZZZ2002,TRL (55) Rubber Slider,B,S,I,11201,43003,50001,,,,,,1,,,Smithers MSE Limited,,GST,,1,0,1,£95.00,1,GST,,0,1,0,0,0,0,0,95,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£61.50,,
ZZZ107,Socket Head Screw (M4x10mm SS),B,S,I,11201,43003,50001,,,,,,5,,,Wynnum Bearings and Bolts,,GST,1,1,0,5,£4.00,1,GST,,0,1,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£3.00,,
ZZZ108,Socket Head Screw (M4x5mm SS),B,S,I,11201,43003,50001,,,,,,5,,,Wynnum Bearings and Bolts,,GST,1,1,0,5,£4.00,1,GST,,0,1,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£3.00,,
ZZZ106,Wessex Bullseye Level,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£46.00,1,GST,,0,1,0,0,0,0,0,46,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£43.90,,
ZZZ109,M5x10mm Socket Head Grub Screw,B,S,I,11201,43003,50001,,,,,,5,,,,,GST,1,1,0,5,£2.00,1,GST,,0,1,0,0,0,0,0,2,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£1.33,,
ZZZ110,Nylon Screw (M5x10mm),B,S,I,11201,43003,50001,,,,,,5,,,,,GST,1,1,0,5,£2.00,1,GST,,0,1,0,0,0,0,0,2,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.75,,
ZZZ113,Pendulum Pointer Tip (Small),B,S,I,11201,43003,50001,,,,,,10,,,Independent Slip Testing Services,,GST,1,1,0,10,£5.00,1,GST,,0,1,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£4.00,,
ZZZ111,Nylon Screw M6x25mm,B,S,I,11201,43003,50001,,,,,,5,,,Small Parts and Bearings,,GST,1,1,0,5,£1.50,1,GST,,0,1,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£17.00,,
ZZZ112,Pointer Tip (Large Gauge),B,S,I,11201,43003,50001,,,,,,5,,,QM Systems Ltd,,GST,1,1,0,5,£5.00,3,GST,,0,1,0,0,0,0,0,5,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£4.00,,
ZZZ2003,Slider Backing Plate,B,S,I,11201,43003,50001,,,,,,5,,,QM Systems Ltd,0,GST,1,1,0,5,£45.00,1,GST,,0,1,0,0,0,0,0,45,13.3,13.3,13.3,13.3,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£25.00,,
ZZZ226,Knurled Thumb Screw M4 25mm,B,S,I,11201,43003,50001,,,,,,5,,,Small Parts and Bearings,,GST,1,1,0,5,£10.00,1,GST,,0,1,0,0,0,0,0,10,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£12.68,,
ZZZ116,Knurled Nut and Screw,B,S,I,11201,43003,50001,,,,,,5,,,QM Systems Ltd,,GST,1,1,0,5,£31.00,1,GST,,0,1,0,0,0,0,0,31,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£22.10,,
ZZZ117,Nut M10x30mm,B,S,I,11201,43003,50001,Pendulum Nut (Zenith M10 Stainless Steel Hex Nut M10x30mm),,,,,5,,,Bunnings Warehouse,,GST,1,1,0,5,£1.00,1,GST,,0,1,0,0,0,0,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.48,,
ZZZ125,Pendulum C Spanner,B,S,I,11201,43003,50001,,,,,,3,,,Supercheap Auto,,GST,1,1,0,3,£70.00,1,GST,,0,1,0,0,0,0,0,70,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£49.99,,
ZZZ118,Flat Washer M10x20mm,B,S,I,11201,43003,50001,,,,,,5,,,Bunnings Warehouse,,GST,1,1,0,5,£2.00,1,GST,,0,1,0,0,0,0,0,2,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.90,,
ZZZ119,Nylon Nut M6,B,S,I,11201,43003,50001,,,,,,5,,,QM Systems Ltd,,GST,1,1,0,5,£21.00,1,GST,,0,1,0,0,0,0,0,21,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£16.71,,
ZZZ121,Levelling Feet Nylon Flange,B,S,I,11201,43003,50001,,,,,,1,,,Small Parts and Bearings,,GST,1,1,0,1,£56.00,1,GST,,0,1,0,0,0,0,0,56,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£40.00,,
ZZZ122,Pendulum Felt Friction Ring,B,S,I,11201,43003,50001,,,,,,4,,,QM Systems Ltd,,N-T,1,1,0,4,£45.00,1,GST,,0,1,0,0,0,0,0,45,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£131.95,,
ZZZ115,Pointer Adjustment Striker,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£119.00,1,GST,,0,1,0,0,0,0,0,119,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£84.57,,
ZZZ800,Calibration Microfibre Cloth,B,S,I,11201,43003,50001,Blue,,,,,3,,,QM Systems Ltd,,GST,,1,0,3,£6.00,1,GST,,0,1,0,0,0,0,0,6,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£4.00,,
ZZZ134,Pendulum Levelling Feet,B,S,I,11201,43003,50001,,,,,,3,,,Flexliner Pty Ltd,,GST,1,1,0,3,£119.00,1,GST,,0,1,0,0,0,0,0,119,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£84.82,,
ZZZ137,Pendulum Release Button,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£111.00,1,GST,,0,1,0,0,0,0,0,111,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£78.97,,
ZZZ131,Pendulum Pointer Arm (MK2),B,S,I,11201,43003,50001,,,,,,3,,,Small Parts and Bearings,,GST,,1,0,0,£16.00,1,GST,,0,1,0,0,0,0,0,16,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£10.95,,
ZZZ130,Pendulum Pointer Arm (MK1),B,S,I,11201,43003,50001,Pendulum Pointer Arm (MK1) - For new Wessex Model Pendulum ,,,,,1,,,QM Systems Ltd,,N-T,1,1,0,1,£245.00,1,GST,,0,1,0,0,0,0,0,245,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£131.95,,
ZZZ126,Pendulum Slider Lifting Arm,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£349.00,1,GST,,0,1,0,0,0,0,0,349,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£249.60,,
ZZZ230,Tortus 3 Battery Pack,B,S,I,11201,43003,50001,,,,,,2,,,QM Systems Ltd,,GST,,1,0,2,£0.00,1,GST,,0,1,0,0,0,0,0,0,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£89.85,,
ZZZ501,Cal Plate (AU) - Pendulum ,B,S,I,11201,43003,50001,,,,,,10,,,Tork Signs,,GST,1,1,0,10,£15.00,1,GST,,0,1,0,0,0,0,0,15,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£8.50,,
ZZZ128,Pendulum Slider Support Rod,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£142.00,1,GST,,0,1,0,0,0,0,0,142,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£88.00,,
ZZZ202,Tortus Slider Plunger,B,S,I,11201,43003,50001,,,,,,1,,,Small Parts and Bearings,,GST,,1,0,1,£15.00,1,GST,,0,1,0,0,0,0,0,15,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£15.41,,
ZZZ203,Grub Screw M3x6mm,B,S,I,11201,43003,50001,,,,,,5,,,Small Parts and Bearings,,GST,,1,0,5,£10.00,1,GST,,0,1,0,0,0,0,0,10,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.86,,
ZZZ204,Grub Screw M3x3mm,B,S,I,11201,43003,50001,,,,,,5,,,Small Parts and Bearings,,GST,,1,0,5,£9.00,1,GST,,0,1,0,0,0,0,0,9,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.95,,
ZZZ205,Nyloc Nut M4,B,S,I,11201,43003,50001,,,,,,5,,,Small Parts and Bearings,,GST,,1,0,5,£3.00,1,GST,,0,1,0,0,0,0,0,3,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£3.25,,
ZZZ206,Pan Head Screw M4x10mm,B,S,I,11201,43003,50001,,,,,,5,,,Small Parts and Bearings,,GST,1,1,0,5,£1.00,1,GST,,0,1,0,0,0,0,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.95,,
ZZZ207,Pan Head Screw M3x8mm,B,S,I,11201,43003,50001,,,,,,5,,,Small Parts and Bearings,,GST,1,1,0,5,£1.00,1,GST,,0,1,0,0,0,0,0,1,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.95,,
ZZZ1101,Munro Felt Friction Ring,B,S,I,11201,43003,50001,,,,,,2,,,Munro Instruments Limited,,GST,1,1,0,2,£20.00,1,GST,,0,1,0,0,0,0,0,20,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£11.75,,
ZZZ1102,Munro Pendulum Bullseye Level,B,S,I,11201,43003,50001,,,,,,1,,,Munro Instruments Limited,,GST,1,1,0,1,£90.00,1,GST,,0,1,0,0,0,0,0,90,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£64.30,,
ZZZ1121,Munro Pointer,B,S,I,11201,43003,50001,,,,,,1,,,Munro Instruments Limited,,GST,1,1,0,1,£73.00,1,GST,,0,1,0,0,0,0,0,73,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£52.85,,
ZZZ227,Tortus Printer Spindle,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,,1,0,1,£40.00,1,GST,,0,1,0,0,0,0,0,40,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£38.90,,
ZZZ239,Tortus Drive Motor,B,S,I,11201,43003,50001,,,,,,1,,,Rotalink Limited,,GST,1,1,0,1,£420.00,1,GST,,0,1,0,0,0,0,0,420,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£218.54,,
ZZZ201,Tortus Load Cell,B,S,I,11201,43003,50001,,,,,,1,,,Fortburn Pty Ltd,,GST,1,1,0,1,"£1,367.00",1,GST,,0,1,0,0,0,0,0,1367,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,"£1,093.00",,
ZZZ212,Tortus Load Cell Bracket Screw,B,S,I,11201,43003,50001,,,,,,6,,,Small Parts and Bearings,,GST,1,1,0,0,£4.00,1,GST,,0,1,0,0,0,0,0,4,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£3.00,,
ZZZ213,Tortus Slider Post,B,S,I,11201,43003,50001,,,,,,2,,,QM Systems Ltd,,GST,1,1,0,2,£59.85,1,GST,,0,1,0,0,0,0,0,59.85,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£65.55,,
ZZZ214,Tortus Slider Foot,B,S,I,11201,43003,50001,,,,,,5,,,QM Systems Ltd,,GST,,1,0,5,£95.00,1,GST,,0,1,0,0,0,0,0,95,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£68.39,,
ZZZ215,Tortus Linear Ball Bearings,B,S,I,11201,43003,50001,,,,,,1,,,Small Parts and Bearings,,GST,1,1,0,1,£50.00,1,GST,,0,1,0,0,0,0,0,50,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£35.00,,
ZZZ228,Tortus USB Stick,B,S,I,11201,43003,50001,,,,,,4,,,QM Systems Ltd,,GST,,1,0,4,£56.00,1,GST,,0,1,0,0,0,0,0,56,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£39.90,,
ZZZ238,Tortus 2 Printer,B,S,I,11201,43003,50001,,,,,,4,,,Current Components Incorporated,,GST,1,1,0,4,£120.00,1,GST,,0,1,0,0,0,0,0,120,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£57.00,,
ZZZ209,Tortus Printer Bracket Screw,B,S,I,11201,43003,50001,,,,,,5,,,Wynnum Bearings and Bolts,,GST,1,1,0,5,£1.50,1,GST,,0,1,0,0,0,0,0,1.5,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£1.50,,
ZZZ813,,,,I,11201,,,,,,,,2,,,,,,,,,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,,,
ZZZ241,Tortus 3 Charge Unit,B,S,I,11201,43003,50001,,,,,,3,,,ebay,,GST,1,1,0,3,£130.00,1,GST,,0,1,0,0,0,0,0,130,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£90.00,,
ZZZ225,Tortus 2 Optek IR Sensor,B,S,I,11201,43003,50001,,,,,,2,,,Element 14,,GST,1,1,0,2,£10.00,1,GST,,0,1,0,0,0,0,0,10,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£2.20,,
ZZZ229,Tortus 3 USB Board,B,S,I,11201,43003,50001,,,,,,4,,,GHI Electronics,,GST,1,1,0,4,£65.00,1,GST,,0,1,0,0,0,0,0,65,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£178.57,,
ZZZ218,Tortus Control Buttons,B,S,I,11201,43003,50001,,,,,,5,,,JayCar Electronics,,GST,1,1,0,5,£5.00,1,GST,,0,1,0,0,0,0,0,5,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£1.45,,
ZZZ243,Tortus Paper Rolls,B,S,I,11201,43003,50001,,,,,,10,,,Alliance Paper Products,,GST,1,1,0,10,£6.00,1,GST,,0,1,0,0,0,0,0,6,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£4.00,,
ZZZ242,Tortus Carry Bag,B,S,I,11201,43003,50001,,,,,,0,,,Hiro Industrial Sewing Services,,GST,1,1,0,0,£400.00,1,GST,,0,1,0,0,0,0,0,400,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£300.00,,
ZZZ223,Tortus Fuse 2.5amp,B,S,I,11201,43003,50001,,,,,,2,,,Petrol Stations/ Austoshops,,GST,1,1,0,0,£5.00,1,GST,,0,1,0,0,0,0,0,5,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£1.45,,
ZZZ224,Tortus Fuse 6.5amp,B,S,I,11201,43003,50001,,,,,,2,,,Petrol Stations/ Austoshops,,GST,1,1,0,0,£10.00,1,GST,,0,1,0,0,0,0,0,10,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£0.40,,
