{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Invoice No.,Date,Customer PO,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Salesperson Last Name,Salesperson First Name,Shipping Date,Referral Source,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Sale Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Amount Paid,Payment Method,Payment Notes,Name on Card,Card Number,Authorisation Code,BSB,Account Number,Drawer/Account Name,Cheque Number,Category,Location ID,Card ID,Record ID
Acousto- Scan Pty Ltd,,Acousto- Scan Pty Ltd,Unit 44,59 Halstead Street,South Hurstville   NSW  2221,,66623,27/08/2021,,,A,ZZZ708,1,Munro Verification Kit,$750.0000,0%,$750.00,,,Sale; Acousto- Scan Pty Ltd,,,,,GST,$75.00,$.00,GST,$.00,I,,,3,1,31,0,0,$825.00,,,,,,,,,,,Location1,*None,5514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QED Environmental Services,,QED Environmental Services,PO Box 162,Leederville  WA  6903,Australia,,66631,27/08/2021,Inv 62 Stripe,,A,ZZZ2002,4,TRL (55) Rubber Slider,$95.0000,0%,$380.00,,,Sale; QED Environmental Services,,,,,GST,$38.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$968.00,Stripe,,,,,,,,,,Location1,*None,4086
QED Environmental Services,,QED Environmental Services,PO Box 162,Leederville  WA  6903,Australia,,66631,27/08/2021,Inv 62 Stripe,,A,ZZZ2009,1,Tortus sliders (pack of 6),$100.0000,0%,$100.00,,,Sale; QED Environmental Services,,,,,GST,$10.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$968.00,Stripe,,,,,,,,,,Location1,*None,4086
QED Environmental Services,,QED Environmental Services,PO Box 162,Leederville  WA  6903,Australia,,66631,27/08/2021,Inv 62 Stripe,,A,ZZZ2001,4,4S (96) Rubber Slider,$95.0000,0%,$380.00,,,Sale; QED Environmental Services,,,,,GST,$38.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$968.00,Stripe,,,,,,,,,,Location1,*None,4086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66633,31/08/2021,440322275,,A,ZZZ1104,1,Munro Slider Pin,$6.0000,0%,$6.00,9005,,Sale; Brisbane City Council,,,,,GST,$.60,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,367.30",BANK TRANSFER,,,,,,,,,,Location1,*None,3776
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66633,31/08/2021,440322275,,A,ZZZ1123,1,Munro Levelling Screw,$142.0000,0%,$142.00,9005,,Sale; Brisbane City Council,,,,,GST,$14.20,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,367.30",BANK TRANSFER,,,,,,,,,,Location1,*None,3776
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66633,31/08/2021,440322275,,A,ZZZ1125,1,Munro Spring Tension Assembly,$288.0000,0%,$288.00,9005,,Sale; Brisbane City Council,,,,,GST,$28.80,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,367.30",BANK TRANSFER,,,,,,,,,,Location1,*None,3776
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66633,31/08/2021,440322275,,A,ZZZ1129,1,Munro Pendulum Swinging Arm ,$127.0000,0%,$127.00,9005,,Sale; Brisbane City Council,,,,,GST,$12.70,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,367.30",BANK TRANSFER,,,,,,,,,,Location1,*None,3776
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66633,31/08/2021,440322275,,A,ZZZ3005,1,Munro Height Spine,$160.0000,0%,$160.00,9005,,Sale; Brisbane City Council,,,,,GST,$16.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,367.30",BANK TRANSFER,,,,,,,,,,,*None,3776
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66633,31/08/2021,440322275,,A,ZZZ3005,4,Labor For Repairs,$130.0000,0%,$520.00,9005,,Sale; Brisbane City Council,,,,,GST,$52.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,367.30",BANK TRANSFER,,,,,,,,,,,*None,3776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast Slip Testing,,Sunshine Coast Slip Testing,1/24 Trinder Avenue,Maroochydore  QLD  4558,,,66669,03/09/2021,Inv 64 Stripe,,A,ZZZ2006,10,3M Lapping Film,$5.0000,0%,$50.00,,,Sale; Sunshine Coast Slip Testing,,,,,GST,$5.00,$.00,GST,$.00,I,,,3,1,31,0,0,$264.00,Stripe,,,,,,,,,,Location1,*None,5519
Sunshine Coast Slip Testing,,Sunshine Coast Slip Testing,1/24 Trinder Avenue,Maroochydore  QLD  4558,,,66669,03/09/2021,Inv 64 Stripe,,A,ZZZ2001,1,4S (96) Rubber Slider,$95.0000,0%,$95.00,,,Sale; Sunshine Coast Slip Testing,,,,,GST,$9.50,$.00,GST,$.00,I,,,3,1,31,0,0,$264.00,Stripe,,,,,,,,,,Location1,*None,5519
Sunshine Coast Slip Testing,,Sunshine Coast Slip Testing,1/24 Trinder Avenue,Maroochydore  QLD  4558,,,66669,03/09/2021,Inv 64 Stripe,,A,ZZZ702,1,Pendulum Conditioning Board,$95.0000,0%,$95.00,,,Sale; Sunshine Coast Slip Testing,,,,,GST,$9.50,$.00,GST,$.00,I,,,3,1,31,0,0,$264.00,Stripe,,,,,,,,,,Location1,*None,5519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaumont Tiles,,Beaumont Tiles,225 Marion Road,Marleston  SA  5033,,,66680,06/09/2021,Inv 63 Stripe ,,A,ZZZ2002,1,TRL (55) Rubber Slider,$95.0000,0%,$95.00,,,Sale; Beaumont Tiles- Sales on 023-09-2021,,,,,GST,$9.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$253.00,Stripe,,,,,,,,,,Location1,Marleston SA,5521
Beaumont Tiles,,Beaumont Tiles,225 Marion Road,Marleston  SA  5033,,,66680,06/09/2021,Inv 63 Stripe ,,A,ZZZ2003,1,Slider Backing Plate,$45.0000,0%,$45.00,,,Sale; Beaumont Tiles- Sales on 023-09-2021,,,,,GST,$4.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$253.00,Stripe,,,,,,,,,,Location1,Marleston SA,5521
Beaumont Tiles,,Beaumont Tiles,225 Marion Road,Marleston  SA  5033,,,66680,06/09/2021,Inv 63 Stripe ,,A,ZZZ2006,10,3M Lapping Film,$5.0000,0%,$50.00,,,Sale; Beaumont Tiles- Sales on 023-09-2021,,,,,GST,$5.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$253.00,Stripe,,,,,,,,,,Location1,Marleston SA,5521
Beaumont Tiles,,Beaumont Tiles,225 Marion Road,Marleston  SA  5033,,,66680,06/09/2021,Inv 63 Stripe ,,A,ZZZ2007,10,P400 Wet & Dry Paper,$2.0000,0%,$20.00,,,Sale; Beaumont Tiles- Sales on 023-09-2021,,,,,GST,$2.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$253.00,Stripe,,,,,,,,,,Location1,Marleston SA,5521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Coatings Consultancy,,The Coatings Consultancy,PO Box Q10,QBV Post Office ,NSW  1230,,66713,09/09/2021,Inv 65 Stripe,,A,ZZZ2001,3,4S (96) Rubber Slider,$95.0000,0%,$285.00,,,Sale; The Coatings Consultancy,,,,,GST,$28.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$385.00,Stripe,,,,,,,,,,Location1,*None,5355
The Coatings Consultancy,,The Coatings Consultancy,PO Box Q10,QBV Post Office ,NSW  1230,,66713,09/09/2021,Inv 65 Stripe,,A,ZZZ2003,1,Slider Backing Plate,$45.0000,0%,$45.00,,,Sale; The Coatings Consultancy,,,,,GST,$4.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$385.00,Stripe,,,,,,,,,,Location1,*None,5355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soundhealth Pty Ltd,,Soundhealth Pty Ltd,24 Falkland Close,Winmalee  NSW  2777,,,66746,14/09/2021,Inv 66 Stripe,,A,ZZZ2001,1,4S (96) Rubber Slider,$95.0000,0%,$95.00,,,Sale; Soundhealth Pty Ltd,,,,,GST,$9.50,$60.00,GST,$6.00,I,,,3,1,31,0,0,"$1,754.50",Stripe,,,,,,,,,,Location1,*None,5539
Soundhealth Pty Ltd,,Soundhealth Pty Ltd,24 Falkland Close,Winmalee  NSW  2777,,,66746,14/09/2021,Inv 66 Stripe,,A,ZZZ2002,1,TRL (55) Rubber Slider,$95.0000,0%,$95.00,,,Sale; Soundhealth Pty Ltd,,,,,GST,$9.50,$60.00,GST,$6.00,I,,,3,1,31,0,0,"$1,754.50",Stripe,,,,,,,,,,Location1,*None,5539
Soundhealth Pty Ltd,,Soundhealth Pty Ltd,24 Falkland Close,Winmalee  NSW  2777,,,66746,14/09/2021,Inv 66 Stripe,,A,ZZZ708,1,Munro Verification Kit,"$1,250.0000",0%,"$1,250.00",,,Sale; Soundhealth Pty Ltd,,,,,GST,$125.00,$60.00,GST,$6.00,I,,,3,1,31,0,0,"$1,754.50",Stripe,,,,,,,,,,Location1,*None,5539
Soundhealth Pty Ltd,,Soundhealth Pty Ltd,24 Falkland Close,Winmalee  NSW  2777,,,66746,14/09/2021,Inv 66 Stripe,,A,ZZZ702,1,Pendulum Conditioning Board,$95.0000,0%,$95.00,,,Sale; Soundhealth Pty Ltd,,,,,GST,$9.50,$60.00,GST,$6.00,I,,,3,1,31,0,0,"$1,754.50",Stripe,,,,,,,,,,Location1,*None,5539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontline Support Pty Ltd,,Frontline Support Pty Ltd,103 Muller Road,Hampstead Gardens  SA  5086,Australia,,66778,20/09/2021,Inv 67 Stripe,,A,ZZZ3001,1,Calibration- Pendulum,"$1,100.0000",0%,"$1,100.00",,,Sale; Frontline Support Pty Ltd,,,,,GST,$110.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,210.00",Stripe,,,,,,,,,,,*None,4076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work Safe Slip Testing Pty Ltd,,Work Safe Slip Testing Pty Ltd,13 Darnelles Street,Mortdale  NSW  2223,,,66780,20/09/2021,Inv 68 Stripe,,A,ZZZ2001,5,4S (96) Rubber Slider,$95.0000,0%,$475.00,,,Sale; Work Safe Slip Testing Pty Ltd,,,,,GST,$47.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$544.50,Stripe,,,,,,,,,,Location1,*None,5118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66783,20/09/2021,,,A,ZZZ1135,9,Munro Pendulum Levelling Screw,$168.0000,0%,"$1,512.00",,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$151.20,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,952.50",BANK TRANSFER,,,,,,,,,,Location1,*None,5073
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66783,20/09/2021,,,A,ZZZ134,2,Pendulum Levelling Feet,$119.0000,0%,$238.00,,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$23.80,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,952.50",BANK TRANSFER,,,,,,,,,,Location1,*None,5073
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66783,20/09/2021,,,A,ZZZ5001,1,Shipping Fee S1,$25.0000,0%,$25.00,,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$2.50,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,952.50",BANK TRANSFER,,,,,,,,,,,*None,5073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slipstop Australia Pty Ltd,,Slipstop Australia Pty Ltd,5/5 Clerke Place,Kurnell  NSW  2231,Australia,,66791,21/09/2021,,,A,ZZZ2006,10,3M Lapping Film,$5.0000,0%,$50.00,,,Sale; Slipstop Australia Pty Ltd,,,,,GST,$5.00,$.00,GST,$.00,I,,,3,1,31,0,0,$77.00,Stripe,,,,,,,,,,Location1,NSW Slip,5310
Slipstop Australia Pty Ltd,,Slipstop Australia Pty Ltd,5/5 Clerke Place,Kurnell  NSW  2231,Australia,,66791,21/09/2021,,,A,ZZZ2007,10,P400 Wet & Dry Paper,$2.0000,0%,$20.00,,,Sale; Slipstop Australia Pty Ltd,,,,,GST,$2.00,$.00,GST,$.00,I,,,3,1,31,0,0,$77.00,Stripe,,,,,,,,,,Location1,NSW Slip,5310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66825,26/09/2021,4400322275,,A,ZZZ2002,2,TRL (55) Rubber Slider,$95.0000,0%,$190.00,9005,,Sale; Brisbane City Council,,,,,GST,$19.00,$.00,GST,$.00,I,,,3,1,31,0,0,$236.50,BANK TRANSFER,,,,,,,,,,Location1,*None,3776
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,,66825,26/09/2021,4400322275,,A,ZZZ5001,1,Shipping Fee S1,$25.0000,0%,$25.00,,,Sale; Brisbane City Council,,,,,GST,$2.50,$.00,GST,$.00,I,,,3,1,31,0,0,$236.50,BANK TRANSFER,,,,,,,,,,,*None,3776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zerofal Ltd,,Zerofal Ltd,30 Regent Crescent,Moorebank  NSW  2170,Australia,,66826,24/09/2021,00070-2021,,A,ZZZ2001,3,4S (96) Rubber Slider,$95.0000,0%,$285.00,,,Sale; Zerofal Ltd,,,,,GST,$28.50,$60.00,GST,$6.00,I,,,3,1,31,0,0,$484.00,Stripe,,,,,,,,,,Location1,Brendan Sheedy,4165
