ContactName,AccountNumber,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PhoneNumber,MobileNumber,FaxNumber,EmailAddress,Website,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,Discount,TaxNumber,BankAccountNumber,BankAccountName,SalesAccount,DueDateSalesDay,DueDateSalesTerm
AMC Commercial Cleaning,,1/53 Metroplex Avenue,,,,Murarrie,QLD,4172,,07 3666 0597,,,qldhelpdesk@amcclean.com.au,,,,,,,,,,,0,,,,,7.0,2.0
AMC Commercial Cleaning 4084,,PO Box 1423,,,,North Lakes,QLD,,,1800 990 050,0405 391 961,,integrapty@gmail.com,integrapty.com,,,,,,,,,,0,,,,,7.0,2.0
Amiga P/L,,C/- CB Richard Ellis,PO Box 407,,,Mooloolaba,Qld,4557,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
Amiga P/L ATF Abacus Independent R T,,C/- Knight Frank Townsville,PO Box 1109,,,Townsville,QLD,4810,,4750 3000,4750 3013 direct numb,,sharon.taylor@au.knightfrank.com,,,,,,,,,,,0,,,,,7.0,2.0
Amiga Property Group,,C/- CB Richard Ellis,PO Box 407,,,Mooloolaba,Qld,4557,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
Abacus Property Group - AMIGA Pty Ltd,,C/- CBRE (C) Pty Ltd,QLD Rents Trust,Locked Bag 2003,,Archerfield,QLD,4108,,07 5444 1444,,07 5444 6560,reasap.pacific@cbre.com,,,,,,,,,,,0,,,,,7.0,2.0
Amiga Pty Ltd,,C/- CBRE,Locked Bag 2003,,,ARCHERFIELD,QLD,4108,,07 54575757,,07 54575700,cbre.accounts@salmat.com.au,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors,,C/-  Knight Frank Australia Pty Ltd,GPO Box 248,,,CANBERRA,ACT,2608,,02 6257 3099,,,12MooreFM@ampcapital.com,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors,,Gateway Plaza,154 Raglan Parade,,,Warrnambool,Vic,3280,,03 55613898,,03 55605097,,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors,,C/O Jones Lang LaSalle,PO Box 721,,,CANBERRA,ACT,2601,,0432 765 041,,,robert.kroopin@ap.jll.com,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors- 3 Montpellier Rd,,PO Box 22,,,,Mt Ommaney,QLD,4074,Australia,07 3725 8888,,,,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors HSC,,Hermit Park Shopping Centre,C/- Wynn Tresidder Management,P.O. Box 4084,,Vincent,QLD,4814,Australia,07 47791211,,,,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors Ltd,,Locked Bag 50,,,,Royal Exchange,NSW,1225,,,,,belinda@sliptesting.com.au,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors Ltd,,Crossroads,PO Box 4523,Casula Mall,,Casula,NSW,2170,,,02 9602 3310,,jacqueline.common@ampcapital.com,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors Ltd,,Locked Bag 50,,,,Royal Exchange,NSW,1225,,0423 690 105 Susan,,,haresh.patel@ampcapital.com,,,,,,,,,,,0,,,,,7.0,2.0
AMP Capital Investors VSC,,Vincent Shopping Centre,C/- Wynn Tresidder Management,P.O. Box 4084,,Vincent,QLD,4814,Australia,07 47791211,,,,,,,,,,,,,,0,,,,,7.0,2.0
Andergrove Central,,Landel Pty Ltd &Landcorp Pty Ltd,ABN 79 903 110 576,PO Box 7315,,Garbutt,QLD,4814,,0409 056 715,,,DebbieG@lancinigroup.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Angaet Management (Adelaide),927,PO Box 3173,,,,Rundle Mall,SA,5000,,08 8212 8888 Accounts,,,accountspayable@angaet.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Angaet Property Holdings,,PO Box 3173,,,,RUNDALL MALL,SA,5000,,08 8212 8888,,,,,,,,,,,,,,0,,,,,7.0,2.0
Angaet Property Management,,PO Box 3173,Rundle Mall,,,,SA,5000,,08 8212 8888 Phoebe,,,pwestgarth@angaet.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Angaet Property Management Pty Ltd,,PO Box 1697,,,,ARMIDALE,NSW,2350,,02 6772 3761,,,lcooper@angaet.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Angaet Property Management (Queensland) Trust,1469-2,Logan City Centre,Centre Management Office,PO Box 6317,,Woodridge,QLD,4114,,08 8212 888,0437 389 285,,accountspayable@angaet.com.au,,,,,,,,,,,0,,,,,7.0,2.0
ANPAL,,c/- Savills (SA) Pty Ltd,PO Box 3819,Rundle Mall,,Adelaide,SA,5000,Australia,0417 547 865,08 8168 7100,,makrisportfolio@savills.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Anti Slip Floor Safety Pty Ltd,,7 Point Court,,,,Mountain Creek,QLD,4557,,07 5390 9835,0421 340 204,07 33539277,info@antislip.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Anti Wave International Pty Ltd,,65 Twelfth Avenue,,,,St Lucia,QLD,4067,Australia,07 3371 6457,0412 172 636,07 3371 4169,,,,,,,,,,,,0,,,,,7.0,2.0
Antislipme,,21a Toyer Avenue,,,,Sydney,NSW,2219,,0422 800 666,,,tony@antislipme.com,,,,,,,,,,,0,,,,,7.0,2.0
ANZ Business One,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
APN Funds Mgmt Ltd RE for Generation Healthcare,,REIT- Health Prop Mgmt,C/o- CBRE (C) Pty Ltd,Locked Bag 2003,QLD Rents Trust,Archerfield,QLD,4108,Australia,07 5581 2000,,,reasap.pacific@cbre.com,,,,,,,,,,,0,,,,,7.0,2.0
Apollo CMS Pty Ltd,,PO Box 538,,,,ACACIA RIDGE,QLD,4110,,3711 7400,0419 652 321,luis@apollocms.com.au,jim@apollocms.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Aqua Capture Australia Pty Ltd,,PO Box 453,,,,Narangbah,Qld,4504,,07 3385 7301,0418 886 757,,grahamdean@exemail.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Arana Leagues Club,,247 Dawson Parade,,,,Keperra,QLD,4054,,07 3354 1333,,07 3355 1264,accounts@aranaleagues.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Arana Legues Club,,C/- Brand & Slater Architects,PO Box 480,,,Fortitude Valley,Qld,4006,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
Archdiocese of Sydney,,Attention:  Accounts Payable,Level 16,133 Liverpool Street,,SYDNEY,NSW,2000,,02 9390 5315,0400 708 434,02 9261 3812,payables@sydneycatholic.org,,,,,,,,,,,0,,,,,7.0,2.0
Architecture & Access (Aust)  Pty Ltd,,"Level 5, 369 Royal Parade",,,,Parkville,VIC,3052,,07 3456 4940,0433 590 300,,pflores@architectureandaccess.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Aqualand ATP Holding Nominee Pty Ltd,,as trustee for the Aqualand,ATP Unit Trust Purchase,C/- JLL,PO Box 317,North Sydney,NSW,2059,Australia,02 9936 5834,0481 858 279,,Paminvoices.Northsydney@ap.jll.com,,,,,,,,,,,0,,,,,7.0,2.0
AREF Prop Holdings Pty Ltd,,ATF AREF Property 1 Unit Trust,C/O JLL,GPO Box 721,,Canberra,ACT,2601,,0432 765 041,,,Paminvoices.Sydney@ap.jll.com,,,,,,,,,,,0,,,,,7.0,2.0
Arena Investment Management Ltd,,C/- Jones Lang LaSalle,The Building Manager,280 George Street,,SYDNEY,NSW,2000,,02 8821 7130,,,angela.leong@ap.jll.com,,,,,,,,,,,0,,,,,7.0,2.0
Argyle Gardens,,90 Twyford St,,,,Bundaberg,Qld,4670,,07 4155 1134,0467 815 866,07 4155 1765,lois.donovan@llprimelife.com,,,,,,,,,,,0,,,,,7.0,2.0
Arkadia Aspley Pty Ltd - 99 111 115 961,,c/- Global Fm Pty Ltd,PO Box 98,accounts@globalfm.com.au,,Paddington,QLD,4064,,07 3369 5559,0488 768 921,,PDF;ONLY,,,,,,,,,,,0,,,,,7.0,2.0
Arkadia Aspley Pty Ltd,,C/- Global Facilities Management,PO Box 783,,,Indooroopilly,Qld,4068,,07 9969 5559,0488 768 921,,brian@globalfm.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Armidale Plaza Shopping Centre Pty Ltd,644,C/o  Angaet Property Management,Centre Management Office,195-197 Beardy Street,,Armidale,NSW,2350,,02 8212 8888 Tanya,,02 6771 3941,tsaulys@angaet.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Armidale Unit Trust,,Armidale Plaza,PO Box 1697,,,ARMIDALE,NSW,2350,,,,,lcooper@fenixrealestate.com,,,,,,,,,,,0,,,,,7.0,2.0
Armour Linings,,P.O. Box 5153,,,,Maroochydore,Qld,4558,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
Armstong Jones Management,,Settlement City Shopping Centre,PO Box 6001,,,Port Macquarie,NSW,2444,Australia,02 6583 7377,,02 6584 1546,,,,,,,,,,,,0,,,,,7.0,2.0
Arndale Central,,PO Box 67,,,,Kilkenny,SA,5009,Australia,08 8445 2155,,08 8445 9482,,,,,,,,,,,,0,,,,,7.0,2.0
Ascendas Hotel Investment Company Pty Ltd,,169-179 Thomas Street,,,,Sydney,NSW,2000,,02 9361 8400,02 9281 2852Accounts,02 9281 6688,H8763-gl6@accor.com,,,,,,,,,,,0,,,,,7.0,2.0
Ascendas Hotel Investment Company Pty Ltd,,C/- 65 Queens Rd,,,,MELBOURNE,VIC,3004,,03 95294300,,,H8788-TE@accor.com,,,,,,,,,,,0,,,,,7.0,2.0
Pullman Sydney Hyde Park,720-23,36 College Street,,,,Sydney,NSW,2010,Australia,02 9361 8411,,,lizzie.qi@accor.com,,,,,,,,,,,0,,,,,7.0,2.0
Ashmore Plaza CTS12065,,C/o SSKB,Box 8319,,,GCMC,QLD,8319,,0413 976 666,,,jgreen@onthenet.com.au,,,,,,,,,,,0,,,,,7.0,2.0
ASI Commercial Maintenance,,PO Box 3180,,,,Yeronga,Qld,4104,,07 3848 9994,,07 3848 3334,angie@wmademolition.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Aspect Caloundra,,PO Box 1422,,,,Caloundra,QLD,4551,,07 5413 2000,,07 5437 0900,,,,,,,,,,,,0,,,,,7.0,2.0
Aspect Contractors,,338 Mons Road,,,,FOREST GLEN,QLD,4556,,5477 0333,0417 637 721,,,,,,,,,,,,,0,,,,Apr-00,7.0,2.0
Aspen Property Trust,,C/- Knight Frank,GPO Box 2991,,,Melbourne,Vic,3001,,07 46392300,,07 46392062,info@gardentown.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Asset Industries,,GPO Box 9880,,,,Canberra,ACT,2601,,0499 284 445,,,propertyservices@education.gov.au,,,,,,,,,,,0,,,,,7.0,2.0
Assetlink (NSW),,"Suite 3.04, Level 3",Building G,1 Homebush Bay Drive,,Rhodes,NSW,2138,,02 9857 7100 Accounts,,02 98775888,PDF;COPY;ONLY,payables@assetlink.com.au,,,,,,,,,,0,,,,Apr-00,7.0,2.0
Assetlink (QLD),,Unit 5/29 Links Ave,,,,EAGLE FARM,QLD,4009,,02 9857 7100,Joanna,0410 584000,PDF;COPY;ONLY,payables@assetlink.com.au,,,,,,,,,,0,,,,,7.0,2.0
Assetlink (VIC),,198A Turner Street,,,,Port Melbourne,VIC,3207,,03 9649 6262,0415 067 919,,PDF;COPY;ONLY,payables@assetlink.com.au,,,,,,,,,,0,,,,,7.0,2.0
Assetlink Services,,Unit 5,29 Links Avenue,,,EAGLE FARM,QLD,4009,,3868 4099,,,kristenchanas@assetlink.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Aster Services Pty Ltd,,117 Bellevue Road,,,,Sydney,NSW,2023,,02 9327 8000,0414 606 750,,director@asterservices.com.au,,,,,,,,,,,0,,,,,7.0,2.0
ATG Projects & Property Solutions Pty Ltd,,"Level 3 ,127 George Street",,,,BRISBANE,QLD,4000,,07 3210 0024,0423 582 774 Henry,,accpay.qld@atgprojects.com.au,PO Required,,,,,,,,,,0,,,,,7.0,2.0
Atlas Group,,PO Box 3,,,,Morley,WA,6943,,08 9249 1422,,08 9249 3575,toni@atlas-group.com.au,,,,,,,,,,,0,,,,,7.0,2.0
ATP Partnership Pty Ltd,,C/- Knight Frank,PO Box 179,,,ALEXANDRIA,NSW,1435,,02 8399 3341,04 2108 4894,02 8399 3781,Grant.McFarlane@au.knightfrank.com,,,,,,,,,,,0,,,,,7.0,2.0
Attention:  Stockland Property Management P/L,,Eagle Street Pier Pty Ltd,Centre Management,GPO Box 3094,,BRISBANE,QLD,4001,,07 3211 9834,0428 666 311,07 3229 4154,simone.petelski@stockland.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Attn: Accounts Department,,144 Montague Road,,,,South Brisbane,4104,,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
Attn: Jimboomba Shopping Centre,,Stockland Trust Management Ltd,Corner Mt Lindesay Highway & Cusack Lane,,,Jimboomba,Qld,4280,,07 3286 4311,0421 124 144,,jimboomba@stockland.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Attn: Stockland Cleveland North,,Stockland Trust Management Ltd,90 Middle Street,,,Cleveland,Qld,4163,,07 3286 4311,0421 124 144,,cleveland@stockland.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Audad Pty Ltd,,PO Box 1511,,,,Kenmore,QLD,4069,Australia,438438037,,,,,,,,,,,,,,0,,,,,7.0,2.0
Aurora Tamera,,22 Riviera Court,,,,Peregian Springs,QLD,4573,Australia,0420 277 366,,,,,,,,,,,,,,0,,,,,7.0,2.0
Aus-Care Properties Pty Ltd,,C/-CBRE (C) Pty Ltd,QLD Rents Trust,Locked Bag 2003,,Archerfield,QLD,4108,,07 5457 5757,,,reasap.pacific@cbre.com,,,,,,,,,,,0,,,,,7.0,2.0
Ausenco Services Pty Ltd,,144 Montague Road,,,,South Brisbane,Qld,4101,,07 3169 7000,07 3169 7104,,chenelle.beere@ausenco.com,,,,,,,,,,,0,,,,,7.0,2.0
Austact Pty Ltd,,PO Box 29,,,,Kallangur,Qld,4503,,07 38889940,0417 309164,,,,,,,,,,,,,0,,,,,7.0,2.0
Austino Wentworthville NSW Pty Ltd,,C/- Savills (NSW) Pty Ltd,Wentworthville Mall,42-44 Dunmore Street,,Wentworthville,NSW,2145,,,,,crombuspropertygroup@me.com,,,,,,,,,,,0,,,,,7.0,2.0
Seyaal Tank Street Pty Ltd ATF,1325-17,40 Tank Street Trust,C/- Knight Frank Australia Pty Ltd,GPO Box 146,,BRISBANE,QLD,4001,,07 3246 8899,,,dianne.belford@au.knightfrank.com,,,,,,,,,,,0,,,,,7.0,2.0
Australiagen Office Portfolio Sub TC Pty Ltd ATF,,C/O  Knight Frank Australia Pty Ltd,127 Creek ST Trust - GPO Box 146,,,Brisbane,QLD,4001,,07 3246 8899,,,dianne.belford@au.knightfrank.com,,,,,,,,,,,0,,,,,7.0,2.0
