*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme,Exchange Rate
 Concrete & Flooring Solutions Pty Ltd,,,,,,,,,,66540.0,Inv 53 Stripe,12/08/2021,12/08/2021,"$5,950.00",ZZZ0002,Wessex Pendulum (Used),1.0,"5,950.0000",0%,43003.0,GST on Income,595.00,,,,,,,
 Groundwork Plus P/L,,,,,,,,,,66557.0,,18/08/2021,18/08/2021,"$1,100.00",ZZZ3001,Calibration- Pendulum,1.0,"1,100.0000",0%,43003.0,GST on Income,110.00,,,,,,,
 Groundwork Plus P/L,,,,,,,,,,66557.0,,18/08/2021,18/08/2021,"-$1,100.00",ZZZ3001,Calibration- Pendulum,-1.0,"1,100.0000",0%,43003.0,GST on Income,-110.00,,,,,,,
 Concrete & Flooring Solutions Pty Ltd,,,,,,,,,,66571.0,Inv 55 Stripe,20/08/2021,20/08/2021,"$1,995.00",ZZZ4001,Training - Pendulum (AS4663),1.0,"1,995.0000",0%,43003.0,GST on Income,199.50,,,,,,,
 Brisbane City Council,,,,,,,,,,66572.0,440322275,22/08/2021,22/08/2021,"$1,100.00",ZZZ3001,Calibration- Pendulum,1.0,"1,100.0000",0%,43003.0,GST on Income,110.00,Job,9005-Equipment Sale- AU,,,,,
 Slipstop Australia Pty Ltd,,,,,,,,,,66588.0,Inv 56 Stripe,24/08/2021,24/08/2021,"$1,100.00",ZZZ3001,Calibration- Pendulum,1.0,"1,100.0000",0%,43003.0,GST on Income,110.00,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66589.0,Inv 57 Stripe,24/08/2021,24/08/2021,"$1,100.00",ZZZ3001,Calibration- Pendulum,1.0,"1,100.0000",0%,43003.0,GST on Income,110.00,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66589.0,Inv 57 Stripe,24/08/2021,24/08/2021,"$3,300.00",ZZZ0005,WessexPendulum Calibration Rig,1.0,"3,300.0000",0%,43003.0,GST on Income,330.00,,,,,,,
 Millennium (WA) PTY LTD,,,,,,,,,,66594.0,,24/08/2021,24/08/2021,$54.00,ZZZ228,Tortus USB Stick,1.0,54.0000,0%,43003.0,GST on Income,5.40,,,,,,,
 Millennium (WA) PTY LTD,,,,,,,,,,66594.0,,24/08/2021,24/08/2021,$125.00,ZZZ5126,1 Hour Labour Diagnostic on USB Board,1.0,125.0000,0%,43003.0,GST on Income,12.50,,,,,,,
 Millennium (WA) PTY LTD,,,,,,,,,,66595.0,Inv 58 Stripe,24/08/2021,24/08/2021,$600.00,ZZZ3002,Calibration- Tortus,1.0,600.0000,0%,43003.0,GST on Income,60.00,,,,,,,
 Millennium (WA) PTY LTD,,,,,,,,,,66595.0,Inv 58 Stripe,24/08/2021,24/08/2021,$600.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Millennium (WA) PTY LTD,,,,,,,,,,66595.0,Inv 58 Stripe,24/08/2021,24/08/2021,$100.00,ZZZ2009,Tortus sliders (pack of 6),1.0,100.0000,0%,43003.0,GST on Income,10.00,,,,,,,
 Frontline Support Pty Ltd,,,,,,,,,,66615.0,Inv 59 Stripe,26/08/2021,26/08/2021,$190.00,ZZZ2001,4S (96) Rubber Slider,2.0,95.0000,0%,43003.0,GST on Income,19.00,,,,,,,
 Frontline Support Pty Ltd,,,,,,,,,,66615.0,Inv 59 Stripe,26/08/2021,26/08/2021,$190.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Frontline Support Pty Ltd,,,,,,,,,,66615.0,Inv 59 Stripe,26/08/2021,26/08/2021,$50.00,ZZZ2006,3M Lapping Film,10.0,5.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Frontline Support Pty Ltd,,,,,,,,,,66615.0,Inv 59 Stripe,26/08/2021,26/08/2021,$20.00,ZZZ2007,P400 Wet & Dry Paper,10.0,2.0000,0%,43003.0,GST on Income,2.00,,,,,,,
 Frontline Support Pty Ltd,,,,,,,,,,66615.0,Inv 59 Stripe,26/08/2021,26/08/2021,$100.00,ZZZ2009,Tortus sliders (pack of 6),1.0,100.0000,0%,43003.0,GST on Income,10.00,,,,,,,
 ANTIslipit,,,,,,,,,,66619.0,Inv 60 Stripe,26/08/2021,26/08/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 ANTIslipit,,,,,,,,,,66619.0,Inv 60 Stripe,26/08/2021,26/08/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Acousto- Scan Pty Ltd,,,,,,,,,,66620.0,Inv 61 Stripe,26/08/2021,26/08/2021,"$9,950.00",ZZZ0001,WanmaLab Pendulum,1.0,"9,950.0000",0%,43003.0,GST on Income,995.00,,,,,,,
 Acousto- Scan Pty Ltd,,,,,,,,,,66620.0,Inv 61 Stripe,26/08/2021,26/08/2021,"$9,950.00",,Freight Charge,1.0,320.0,0,,GST,0,,,,,,,
 Acousto- Scan Pty Ltd,,,,,,,,,,66623.0,,27/08/2021,27/08/2021,$750.00,ZZZ708,Munro Verification Kit,1.0,750.0000,0%,43003.0,GST on Income,75.00,,,,,,,
 QED Environmental Services,,,,,,,,,,66631.0,Inv 62 Stripe,27/08/2021,27/08/2021,$380.00,ZZZ2002,TRL (55) Rubber Slider,4.0,95.0000,0%,43003.0,GST on Income,38.00,,,,,,,
 QED Environmental Services,,,,,,,,,,66631.0,Inv 62 Stripe,27/08/2021,27/08/2021,$380.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 QED Environmental Services,,,,,,,,,,66631.0,Inv 62 Stripe,27/08/2021,27/08/2021,$100.00,ZZZ2009,Tortus sliders (pack of 6),1.0,100.0000,0%,43003.0,GST on Income,10.00,,,,,,,
 QED Environmental Services,,,,,,,,,,66631.0,Inv 62 Stripe,27/08/2021,27/08/2021,$380.00,ZZZ2001,4S (96) Rubber Slider,4.0,95.0000,0%,43003.0,GST on Income,38.00,,,,,,,
 Brisbane City Council,,,,,,,,,,66633.0,440322275,31/08/2021,31/08/2021,$6.00,ZZZ1104,Munro Slider Pin,1.0,6.0000,0%,43003.0,GST on Income,.60,Job,9005-Equipment Sale- AU,,,,,
 Brisbane City Council,,,,,,,,,,66633.0,440322275,31/08/2021,31/08/2021,$142.00,ZZZ1123,Munro Levelling Screw,1.0,142.0000,0%,43003.0,GST on Income,14.20,Job,9005-Equipment Sale- AU,,,,,
 Brisbane City Council,,,,,,,,,,66633.0,440322275,31/08/2021,31/08/2021,$288.00,ZZZ1125,Munro Spring Tension Assembly,1.0,288.0000,0%,43003.0,GST on Income,28.80,Job,9005-Equipment Sale- AU,,,,,
 Brisbane City Council,,,,,,,,,,66633.0,440322275,31/08/2021,31/08/2021,$127.00,ZZZ1129,Munro Pendulum Swinging Arm ,1.0,127.0000,0%,43003.0,GST on Income,12.70,Job,9005-Equipment Sale- AU,,,,,
 Brisbane City Council,,,,,,,,,,66633.0,440322275,31/08/2021,31/08/2021,$160.00,ZZZ3005,Munro Height Spine,1.0,160.0000,0%,43003.0,GST on Income,16.00,Job,9005-Equipment Sale- AU,,,,,
 Brisbane City Council,,,,,,,,,,66633.0,440322275,31/08/2021,31/08/2021,$520.00,ZZZ3005,Labor For Repairs,4.0,130.0000,0%,43003.0,GST on Income,52.00,Job,9005-Equipment Sale- AU,,,,,
 Sunshine Coast Slip Testing,,,,,,,,,,66669.0,Inv 64 Stripe,03/09/2021,03/09/2021,$50.00,ZZZ2006,3M Lapping Film,10.0,5.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Sunshine Coast Slip Testing,,,,,,,,,,66669.0,Inv 64 Stripe,03/09/2021,03/09/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Sunshine Coast Slip Testing,,,,,,,,,,66669.0,Inv 64 Stripe,03/09/2021,03/09/2021,$95.00,ZZZ702,Pendulum Conditioning Board,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Beaumont Tiles,,,,,,,,,,66680.0,Inv 63 Stripe ,06/09/2021,06/09/2021,$95.00,ZZZ2002,TRL (55) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Beaumont Tiles,,,,,,,,,,66680.0,Inv 63 Stripe ,06/09/2021,06/09/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Beaumont Tiles,,,,,,,,,,66680.0,Inv 63 Stripe ,06/09/2021,06/09/2021,$45.00,ZZZ2003,Slider Backing Plate,1.0,45.0000,0%,43003.0,GST on Income,4.50,,,,,,,
 Beaumont Tiles,,,,,,,,,,66680.0,Inv 63 Stripe ,06/09/2021,06/09/2021,$50.00,ZZZ2006,3M Lapping Film,10.0,5.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Beaumont Tiles,,,,,,,,,,66680.0,Inv 63 Stripe ,06/09/2021,06/09/2021,$20.00,ZZZ2007,P400 Wet & Dry Paper,10.0,2.0000,0%,43003.0,GST on Income,2.00,,,,,,,
 The Coatings Consultancy,,,,,,,,,,66713.0,Inv 65 Stripe,09/09/2021,09/09/2021,$285.00,ZZZ2001,4S (96) Rubber Slider,3.0,95.0000,0%,43003.0,GST on Income,28.50,,,,,,,
 The Coatings Consultancy,,,,,,,,,,66713.0,Inv 65 Stripe,09/09/2021,09/09/2021,$285.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 The Coatings Consultancy,,,,,,,,,,66713.0,Inv 65 Stripe,09/09/2021,09/09/2021,$45.00,ZZZ2003,Slider Backing Plate,1.0,45.0000,0%,43003.0,GST on Income,4.50,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,66746.0,Inv 66 Stripe,14/09/2021,14/09/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,66746.0,Inv 66 Stripe,14/09/2021,14/09/2021,$95.00,,Freight Charge,1.0,60.0,0,,GST,0,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,66746.0,Inv 66 Stripe,14/09/2021,14/09/2021,$95.00,ZZZ2002,TRL (55) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,66746.0,Inv 66 Stripe,14/09/2021,14/09/2021,"$1,250.00",ZZZ708,Munro Verification Kit,1.0,"1,250.0000",0%,43003.0,GST on Income,125.00,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,66746.0,Inv 66 Stripe,14/09/2021,14/09/2021,$95.00,ZZZ702,Pendulum Conditioning Board,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Frontline Support Pty Ltd,,,,,,,,,,66778.0,Inv 67 Stripe,20/09/2021,20/09/2021,"$1,100.00",ZZZ3001,Calibration- Pendulum,1.0,"1,100.0000",0%,43003.0,GST on Income,110.00,,,,,,,
 Work Safe Slip Testing Pty Ltd,,,,,,,,,,66780.0,Inv 68 Stripe,20/09/2021,20/09/2021,$475.00,ZZZ2001,4S (96) Rubber Slider,5.0,95.0000,0%,43003.0,GST on Income,47.50,,,,,,,
 Work Safe Slip Testing Pty Ltd,,,,,,,,,,66780.0,Inv 68 Stripe,20/09/2021,20/09/2021,$475.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66783.0,,20/09/2021,20/09/2021,"$1,512.00",ZZZ1135,Munro Pendulum Levelling Screw,9.0,168.0000,0%,43003.0,GST on Income,151.20,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66783.0,,20/09/2021,20/09/2021,$238.00,ZZZ134,Pendulum Levelling Feet,2.0,119.0000,0%,43003.0,GST on Income,23.80,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66783.0,,20/09/2021,20/09/2021,$25.00,ZZZ5001,Shipping Fee S1,1.0,25.0000,0%,43003.0,GST on Income,2.50,,,,,,,
 Slipstop Australia Pty Ltd,,,,,,,,,,66791.0,,21/09/2021,21/09/2021,$50.00,ZZZ2006,3M Lapping Film,10.0,5.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Slipstop Australia Pty Ltd,,,,,,,,,,66791.0,,21/09/2021,21/09/2021,$20.00,ZZZ2007,P400 Wet & Dry Paper,10.0,2.0000,0%,43003.0,GST on Income,2.00,,,,,,,
 Brisbane City Council,,,,,,,,,,66825.0,4400322275,26/09/2021,26/09/2021,$190.00,ZZZ2002,TRL (55) Rubber Slider,2.0,95.0000,0%,43003.0,GST on Income,19.00,Job,9005-Equipment Sale- AU,,,,,
 Brisbane City Council,,,,,,,,,,66825.0,4400322275,26/09/2021,26/09/2021,$25.00,ZZZ5001,Shipping Fee S1,1.0,25.0000,0%,43003.0,GST on Income,2.50,,,,,,,
 Zerofal Ltd,,,,,,,,,,66826.0,00070-2021,24/09/2021,24/09/2021,$285.00,ZZZ2001,4S (96) Rubber Slider,3.0,95.0000,0%,43003.0,GST on Income,28.50,,,,,,,
 Zerofal Ltd,,,,,,,,,,66826.0,00070-2021,24/09/2021,24/09/2021,$285.00,,Freight Charge,1.0,60.0,0,,GST,0,,,,,,,
 Zerofal Ltd,,,,,,,,,,66826.0,00070-2021,24/09/2021,24/09/2021,$95.00,ZZZ214,Tortus Slider Foot,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 SlipLab,,,,,,,,,,66836.0,00071-2021,27/09/2021,27/09/2021,$20.00,ZZZ1103,Munro Slider Spring,2.0,10.0000,0%,43003.0,GST on Income,2.00,,,,,,,
 SlipLab,,,,,,,,,,66836.0,00071-2021,27/09/2021,27/09/2021,$20.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 SlipLab,,,,,,,,,,66836.0,00071-2021,27/09/2021,27/09/2021,$20.00,ZZZ1101,Munro Felt Friction Ring,1.0,20.0000,0%,43003.0,GST on Income,2.00,,,,,,,
 SlipLab,,,,,,,,,,66836.0,00071-2021,27/09/2021,27/09/2021,$12.00,ZZZ1104,Munro Slider Pin,2.0,6.0000,0%,43003.0,GST on Income,1.20,,,,,,,
 SlipLab,,,,,,,,,,66837.0,00072-2021,27/09/2021,27/09/2021,$100.00,ZZZ2009,Tortus sliders (pack of 6),1.0,100.0000,0%,43003.0,GST on Income,10.00,,,,,,,
 Griptek Anti-Slip Solutions  Pty Ltd,,,,,,,,,,66856.0,inv 73 stripe,05/10/2021,05/10/2021,$190.00,ZZZ2001,4S (96) Rubber Slider,2.0,95.0000,0%,43003.0,GST on Income,19.00,,,,,,,
 Griptek Anti-Slip Solutions  Pty Ltd,,,,,,,,,,66856.0,inv 73 stripe,05/10/2021,05/10/2021,$190.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Griptek Anti-Slip Solutions Pty Ltd,,,,,,,,,,66857.0,Inv 74 Stripe,05/10/2021,05/10/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Griptek Anti-Slip Solutions Pty Ltd,,,,,,,,,,66857.0,Inv 74 Stripe,05/10/2021,05/10/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Daniels Associates,,,,,,,,,,66862.0,Inv 75 Stripe,05/10/2021,05/10/2021,$190.00,ZZZ2002,TRL (55) Rubber Slider,2.0,95.0000,0%,43003.0,GST on Income,19.00,,,,,,,
 Daniels Associates,,,,,,,,,,66862.0,Inv 75 Stripe,05/10/2021,05/10/2021,$190.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Daniels Associates,,,,,,,,,,66862.0,Inv 75 Stripe,05/10/2021,05/10/2021,$380.00,ZZZ2001,4S (96) Rubber Slider,4.0,95.0000,0%,43003.0,GST on Income,38.00,,,,,,,
 Environmental Innovations Company Pty Ltd,,,,,,,,,,66902.0,INv 76 Stripe,08/10/2021,08/10/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Environmental Innovations Company Pty Ltd,,,,,,,,,,66902.0,INv 76 Stripe,08/10/2021,08/10/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66937.0,Inv 77 Stripe,14/10/2021,14/10/2021,$285.00,ZZZ2001,4S (96) Rubber Slider,3.0,95.0000,0%,43003.0,GST on Income,28.50,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66937.0,Inv 77 Stripe,14/10/2021,14/10/2021,$285.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66937.0,Inv 77 Stripe,14/10/2021,14/10/2021,$285.00,ZZZ2002,TRL (55) Rubber Slider,3.0,95.0000,0%,43003.0,GST on Income,28.50,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66938.0,Inv 78 Stripe,14/10/2021,14/10/2021,$95.00,ZZZ2002,TRL (55) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66938.0,Inv 78 Stripe,14/10/2021,14/10/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66938.0,Inv 78 Stripe,14/10/2021,14/10/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66939.0,Inv 79 Stripe,14/10/2021,14/10/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66939.0,Inv 79 Stripe,14/10/2021,14/10/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66939.0,Inv 79 Stripe,14/10/2021,14/10/2021,$95.00,ZZZ2002,TRL (55) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66940.0,Inv 80 Stripe,14/10/2021,14/10/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66940.0,Inv 80 Stripe,14/10/2021,14/10/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Unimat Pty Ltd,,,,,,,,,,66940.0,Inv 80 Stripe,14/10/2021,14/10/2021,$95.00,ZZZ2002,TRL (55) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 QED Environmental Services,,,,,,,,,,66983.0,,21/10/2021,21/10/2021,"$10,550.00",ZZZ0001,WanmaLab Pendulum,1.0,"10,550.0000",0%,43003.0,GST on Income,"1,055.00",Job,9005-Equipment Sale- AU,,,,,
 QED Environmental Services,,,,,,,,,,66983.0,,21/10/2021,21/10/2021,$190.00,ZZZ2002,TRL (55) Rubber Slider,2.0,95.0000,0%,43003.0,GST on Income,19.00,Job,9005-Equipment Sale- AU,,,,,
 QED Environmental Services,,,,,,,,,,66983.0,,21/10/2021,21/10/2021,$45.00,ZZZ2003,Slider Backing Plate,1.0,45.0000,0%,43003.0,GST on Income,4.50,Job,9005-Equipment Sale- AU,,,,,
 QED Environmental Services,,,,,,,,,,66983.0,,21/10/2021,21/10/2021,$100.00,ZZZ2006,3M Lapping Film,20.0,5.0000,0%,43003.0,GST on Income,10.00,Job,9005-Equipment Sale- AU,,,,,
 QED Environmental Services,,,,,,,,,,66983.0,,21/10/2021,21/10/2021,$20.00,ZZZ2007,P400 Wet & Dry Paper,10.0,2.0000,0%,43003.0,GST on Income,2.00,Job,9005-Equipment Sale- AU,,,,,
 QED Environmental Services,,,,,,,,,,66983.0,,21/10/2021,21/10/2021,$325.00,ZZZ5013,Shipping Fee S13,1.0,325.0000,0%,43003.0,GST on Income,32.50,Job,9005-Equipment Sale- AU,,,,,
 Zerofal Ltd,,,,,,,,,,66984.0,Inv 81 Stripr,21/10/2021,21/10/2021,$50.00,ZZZ2006,3M Lapping Film (pack 10),1.0,50.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Zerofal Ltd,,,,,,,,,,66984.0,Inv 81 Stripr,21/10/2021,21/10/2021,$50.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 SAFEgroup Pty Ltd,,,,,,,,,,66985.0,Inv 82 Stripe,21/10/2021,21/10/2021,$100.00,ZZZ2009,Tortus sliders (pack of 6),1.0,100.0000,0%,43003.0,GST on Income,10.00,,,,,,,
 SAFEgroup Pty Ltd,,,,,,,,,,66985.0,Inv 82 Stripe,21/10/2021,21/10/2021,$100.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,67028.0,Inv 83 Stripe,26/10/2021,26/10/2021,$50.00,ZZZ1102,Munro Bullseye Level,1.0,50.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,67028.0,Inv 83 Stripe,26/10/2021,26/10/2021,$50.00,,Freight Charge,1.0,60.0,0,,GST,0,,,,,,,
 Soundhealth Pty Ltd,,,,,,,,,,67028.0,Inv 83 Stripe,26/10/2021,26/10/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 DuluxGroup,,,,,,,,,,67128.0,4201415298,06/11/2021,06/11/2021,"$13,550.00",ZZZ00001,Munro Pendulum (Analogue),1.0,"13,550.0000",0%,43003.0,GST on Income,"1,355.00",Job,9005-Equipment Sale- AU,,,,,
 DuluxGroup,,,,,,,,,,67128.0,4201415298,06/11/2021,06/11/2021,$325.00,ZZZ5013,Shipping Fee S13,1.0,325.0000,0%,43003.0,GST on Income,32.50,Job,9005-Equipment Sale- AU,,,,,
 Zerofal Ltd,,,,,,,,,,67130.0,,08/11/2021,08/11/2021,$285.00,ZZZ2001,4S (96) Rubber Slider,3.0,95.0000,0%,43003.0,GST on Income,28.50,,,,,,,
 Zerofal Ltd,,,,,,,,,,67130.0,,08/11/2021,08/11/2021,$285.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,67157.0,,09/11/2021,09/11/2021,$50.00,ZZZ2006,3M Lapping Film (pack 10),1.0,50.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,67157.0,,09/11/2021,09/11/2021,$40.00,ZZZ2007,P400 Paper (Pack 10),2.0,20.0000,0%,43003.0,GST on Income,4.00,,,,,,,
 Zerofal Ltd,,,,,,,,,,67167.0,Inv 86,15/11/2021,15/11/2021,$285.00,ZZZ2001,4S (96) Rubber Slider,3.0,95.0000,0%,43003.0,GST on Income,28.50,,,,,,,
 Zerofal Ltd,,,,,,,,,,67167.0,Inv 86,15/11/2021,15/11/2021,$285.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Zerofal Ltd,,,,,,,,,,67167.0,Inv 86,15/11/2021,15/11/2021,$100.00,ZZZ2009,Tortus sliders (pack of 6),1.0,100.0000,0%,43003.0,GST on Income,10.00,,,,,,,
 Slip Test Specialists,,,,,,,,,,67191.0,Inv 87 Stripe,17/11/2021,17/11/2021,"$9,950.00",ZZZ0003,Wessex Tortus 3,1.0,"9,950.0000",0%,43003.0,GST on Income,995.00,,,,,,,
 Slip Test Specialists,,,,,,,,,,67191.0,Inv 87 Stripe,17/11/2021,17/11/2021,"$9,950.00",,Freight Charge,1.0,320.0,0,,GST,0,,,,,,,
 Slip Test Specialists,,,,,,,,,,67191.0,Inv 87 Stripe,17/11/2021,17/11/2021,$6.00,ZZZ243,Tortus Paper Rolls,1.0,6.0000,0%,43003.0,GST on Income,.60,,,,,,,
 Slip Test Specialists,,,,,,,,,,67191.0,Inv 87 Stripe,17/11/2021,17/11/2021,$100.00,ZZZ2009,Tortus sliders (pack of 6),1.0,100.0000,0%,43003.0,GST on Income,10.00,,,,,,,
 Slip Test Specialists,,,,,,,,,,67191.0,Inv 87 Stripe,17/11/2021,17/11/2021,$995.00,ZZZ4011,Training - Tortus (AS4663),1.0,995.0000,0%,43003.0,GST on Income,99.50,,,,,,,
 Slip Test Specialists,,,,,,,,,,67191.0,Inv 87 Stripe,17/11/2021,17/11/2021,"$1,750.00",ZZZ5106,Training Travel Fee T6,1.0,"1,750.0000",0%,43003.0,GST on Income,175.00,,,,,,,
 Floor Concepts Australia,,,,,,,,,,67223.0,Inv 88 Stripe,19/11/2021,19/11/2021,"$10,550.00",ZZZ0001,WanmaLab Pendulum,1.0,"10,550.0000",0%,43003.0,GST on Income,"1,055.00",,,,,,,
