*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme,Exchange Rate
 Prompcorp Management Pty Ltd,,,,,,,,,,66210,103390,02/07/2021,02/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Langwarrin Plaza. Testing performed 29/06/2021. Order #103390,1,550.00,,43000,GST on Income,55.00,,,,,,,
 Prompcorp Management Pty Ltd,,,,,,,,,,66211,103391,02/07/2021,02/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Pakenham Central Marketplace. Testing performed 29/06/2021. Order #103391,1,550.00,,43000,GST on Income,55.00,,,,,,,
 Prompcorp Management Pty Ltd,,,,,,,,,,66212,103392,02/07/2021,02/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for The Gateway. Testing performed 29/06/2021. Order #103392,1,550.00,,43000,GST on Income,55.00,,,,,,,
 574 St Kilda Road Pty Ltd,,,,,,,,,,66213,AU01241408,02/07/2021,02/07/2021,,,Provide annual wet and dry slip resistance measurement and report for 574 St Kilda Road. Testing performed 29-06-2021. Purchase Order AU01241408.,1,675.00,,43000,GST on Income,67.50,Job,226-06-574 St Kilda Road,,,,,
 FPR (Burwood) Trust,,,,,,,,,,66214,4100014874,02/07/2021,02/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Burwood Brickworks. Testing performed 29-06-2021. Purchase Order 4100014874,1,655.00,,43000,GST on Income,65.50,Job,204-01-Burwood Brickworks,,,,,
 Kelvin Grove Village Centre,,,,,,,,,,66215,,02/07/2021,02/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Coomera East Shopping Centre. Testing performed 01/07/2021.,1,425.00,,43000,GST on Income,42.50,,,,,,,
 I.S.P.T Pty Limited,,,,,,,,,,66216,W8104652,02/07/2021,02/07/2021,,,Provide annual wet and dry slip resistance measurement and report for GPO Melbourne. Testing performed 29-06-2021. Purchase Order W8104652,1,675.00,,43000,GST on Income,67.50,,,,,,,
 Ellems Cleaning Service,,,,,,,,,,66217,123024,02/07/2021,02/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for 180 Queen Street Brisbane. Testing performed 02/07/2021. Order #123024,1,595.00,,43000,GST on Income,59.50,,,,,,,
 Big River Group Pty Ltd,,,,,,,,,,66218,,02/07/2021,02/07/2021,,,Provide special request wet slip resistance measurement and report for the following samples. Testing performed 02-07-2021. Testing requested by Ross Maddock.\r\n- Black Anti Slip Timber 20x20cm\r\n- Grey Anti Slip Timber 20x20 cm,1,300.00,,43002,GST on Income,30.00,Job,8005-Product Class- AU,,,,,
 Ardent Leisure Limited,,,,,,,,,,66219,455714,05/07/2021,05/07/2021,,,Provide monthly wet slip resistance measurement and report for Dreamworld. Testing performed 1-07-2021. Purchase Order 455714,1,450.00,,43000,GST on Income,45.00,Job,1409-01-Dreamworld,,,,,
 J & J Global Management Pty Ltd,,,,,,,,,,66220,,05/07/2021,05/07/2021,,,Provide annual wet slip resistance measurement and report for Griffith Street Plaza. Testing performed 1-07-2021. ,1,450.00,,43000,GST on Income,45.00,Job,1490-02-Griffith St Plaza,,,,,
 Trident Services Australia,,,,,,,,,,66221,TSC-PO 004861,05/07/2021,05/07/2021,,,Provide 3 monthly wet and dry slip resistance measurement and report for Tweed City Shopping Centre. Testing performed 1-07-2021. Purchase Order TSC-PO 004861,1,600.00,,43000,GST on Income,60.00,Job,1010-09-Tweed City Shopping Centre,,,,,
 Nlrt Pty Ltd Atf Rt Mac Family Trust,,,,,,,,,,66223,NLR401_2100042,05/07/2021,05/07/2021,,,Provide annual wet slip resistance measurement and report for Centre 45. Testing performed 1-07-2021. Purchase Order NLR401_2100042,1,425.00,,43000,GST on Income,42.50,,,,,,,
 The Trustees Centenary Square Unit Trust,,,,,,,,,,66224,W8044371,05/07/2021,05/07/2021,,,Provide annual wet and dry slip resistance measurement and report for C Square Nambour. Testing performed 1-07-2021. Purchase Order W8044371,1,700.00,,43000,GST on Income,70.00,,,,,,,
 Kattag Property Pty Ltd Atf Kattag Property Trust,,,,,,,,,,66225,KPP401_2100055,05/07/2021,05/07/2021,,,Provide annual wet slip resistance measurement and report for 1646 Anzac Avenue. Testing performed 5-07-2021. Purchase Order KPP401_2100055,1,400.00,,43000,GST on Income,40.00,Job,1290-25-1646 Anzac Avenue,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,66226,PSF01299,05/07/2021,05/07/2021,,,Provide monthly wet slip resistance measurement and report for Brisbane Airport - Terminals. Testing performed 1-07-2021,1,"1,275.00",,43000,GST on Income,127.50,Job,1410-01-Brisbane Airport,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,66226,PSF01299,05/07/2021,05/07/2021,,,Provide monthly wet slip resistance measurement and report for Brisbane Airport - International External Walkway. Testing performed 1-07-2021,1,.00,,43000,GST on Income,.00,,,,,,,
 Brisbane Airport Corporation Pty Limited,,,,,,,,,,66226,PSF01299,05/07/2021,05/07/2021,,,Purchase Order PSF01299,1,.00,,43000,GST on Income,.00,,,,,,,
 BIC Consolidated,,,,,,,,,,66227,4112,06/07/2021,06/07/2021,,,Provide annual wet and dry slip resistance measurement and report for The Glen Shopping Centre. Testing performed 29/06/2021. Order #4112,1,620.00,,43000,GST on Income,62.00,Job,272-42-The Glen SC,,,,,
 Attention: Fabiola Martinez,,,,,,,,,,66228,Bad Debt,06/07/2021,06/07/2021,,,Written down Invoice #00065102 as it was impossible to recover the money. ,1,-385.00,,60007,BAS Excluded,.00,,,,,,,
 Attention: Fabiola Martinez,,,,,,,,,,66228,Bad Debt,06/07/2021,06/07/2021,,,Fees charged by collectors who did not recover any money,1,-237.07,,60006,BAS Excluded,.00,,,,,,,
 HealthCo Healthcare and Wellness REIT,,,,,,,,,,66229,W8121370,06/07/2021,06/07/2021,,,Provide 4 monthly wet and dry slip resistance measurement and report for Home Co Everton Park. Testing performed 2-07-2021. Purchase Order W8121370,1,575.00,,43000,GST on Income,57.50,,,,,,,
 Elanor Investment Nominees Pty Limited,,,,,,,,,,66230,AU01235965,06/07/2021,06/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for 96 Mt Gravatt Capalaba Road. Testing performed 2-07-2021. Purchase Order AU01235965,1,525.00,,43000,GST on Income,52.50,Job,1435-02-96 Mt Gravatt Capalaba Road,,,,,
 BIC Consolidated,,,,,,,,,,66231,4242,06/07/2021,06/07/2021,,,Provide 3 monthly dry slip resistance measurement and report for Greensborough Plaza. Testing performed 29/06/2021. Order #4242,1,350.00,,43000,GST on Income,35.00,,,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,66232,W8121186,06/07/2021,06/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Jimboomba Junction Shopping Centre. Testing performed 2-07-2021. Purchase Order W8121186,1,435.00,,43000,GST on Income,43.50,Job,1412-02-Jimboomba Junction,,,,,
 Clarence Property Diversified Fund,,,,,,,,,,66233,,06/07/2021,06/07/2021,,,Provide annual wet and dry slip resistance measurement and report for 9 Hercules Street. Testing performed 2-07-2021.,1,525.00,,43000,GST on Income,52.50,Job,1049-04-9 Hercules Street,,,,,
 Ormeau Shopping Centre Trust,,,,,,,,,,66234,,06/07/2021,06/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Ormeau Shopping Centre. Testing performed 2-07-2021.,1,600.00,,43000,GST on Income,60.00,,,,,,,
 Mirvac Real Estate Pty Ltd,,,,,,,,,,66235,758492,06/07/2021,06/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Kawana Shoppingworld. Testing performed 5-07-2021. Purchase Order 758492,1,655.00,,43000,GST on Income,65.50,,,,,,,
 BR & KM Smith (Emporio Owner) Pty Ltd,,,,,,,,,,66236,SO7118311_243924,06/07/2021,06/07/2021,,,Provide annual wet slip resistance measurement and report for No2 Emporio Place. Testing performed 5-07-2021. Purchase Order SO7118311_243924,1,390.00,,43000,GST on Income,39.00,Job,1437-16-No2 Emporio Place,,,,,
 BC for Sea Resort & Spa CTS 33362,,,,,,,,,,66237,,06/07/2021,06/07/2021,,,Provide annual wet and dry slip resistance measurement and report for The Sebel Maroochydore. Testing performed 5-07-2021. ,1,645.00,,43000,GST on Income,64.50,Job,1501-09-The Sebel Maroochydore,,,,,
 Tile One Pty Ltd,,,,,,,,,,66238,,07/07/2021,07/07/2021,,,Provide special request wet slip resistance measurement and report for the following samples. Testing performed 06-07-2021. Testing requested by Chris Montague.\r\n- Ceppo Stone Matt PD6121 Light Grey Tile 60x60cm\r\n- Macaron Classic Terrazzo Matt MCR 6003-C Grey Tulle 60x60cm\r\n- Macaron Rock Terrazzo Matt MCR6003-R Grey Tile 60x60cm,1,450.00,,43002,GST on Income,45.00,Job,8005-Product Class- AU,,,,,
 136 Queen Street Pty Ltd,,,,,,,,,,66239,,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 77A Scarborough Street. Testing performed 5-07-2021.,1,425.00,,43000,GST on Income,42.50,,,,,,,
 FBF Developments Pty Ltd ATF,,,,,,,,,,66240,SO7118841_243924,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 54-56 Aerodrome Road. Testing performed 5-07-2021. Purchase Order SO7118841_243924,1,390.00,,43000,GST on Income,39.00,Job,1437-17-54-56 Aerodrome Road,,,,,
 Savio Holdings Pty Ltd,,,,,,,,,,66241,Rosie Paradise 2021,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 48 Paradise Road. Testing performed 5-07-2021. Purchase Order Rosie Paradise 2021,1,425.00,,43000,GST on Income,42.50,Job,1353-04-48 Paradise Road,,,,,
 Savio Holdings Pty Ltd,,,,,,,,,,66242,Rosie 33 Iris 2021,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 33 Iris Place. Testing performed 5-07-2021. Purchase Order Rosie 33 Iris 2021. ,1,425.00,,43000,GST on Income,42.50,Job,1353-03-33 Iris Place,,,,,
 Savio Developments Pty Ltd,,,,,,,,,,66243,Rosie Buttonwood2021,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 20 Buttonwood Place. Testing performed 5-07-2021. Purchase Order Rosie Buttonwood 2021,1,425.00,,43000,GST on Income,42.50,Job,1353-08-20 Buttonwood Place,,,,,
 Savio Holdings Pty Ltd,,,,,,,,,,66244,Rosie West Gate 2021,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 96 West Gate Street. Testing performed 5-07-2021. Purchase Order Rosie West Gate 2021,1,425.00,,43000,GST on Income,42.50,Job,1353-06-96 West Gate Street,,,,,
 Racecave Pty Ltd,,,,,,,,,,66245,Rosie Durbell 2021,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 18 Durbell Street. Testing performed 6-07-2021. Purchase Order Rosie Durbell 2021.,1,425.00,,43000,GST on Income,42.50,Job,1353-02-18 Durbell Street,,,,,
 P Savio & Co Pty Ltd,,,,,,,,,,66246,Rosie Bradman 2021,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 243 Bradman Street. Testing performed 6-07-2021. Purchase Order Rosie Bradman 2021.,1,425.00,,43000,GST on Income,42.50,Job,1353-01-243 Bradman Street,,,,,
 Savio Holdings Pty Ltd,,,,,,,,,,66247,Rosie 39 Iris 2021,07/07/2021,07/07/2021,,,Provide annual wet slip resistance measurement and report for 39 Iris Place. Testing performed 6-07-2021. Purchase Order Rosie 39 Iris 2021,1,425.00,,43000,GST on Income,42.50,Job,1353-05-39 Iris Place,,,,,
 McAlister & Burford Pty Ltd,,,,,,,,,,66248,,07/07/2021,07/07/2021,,,Provide special request wet slip resistance measurement and report for Longreach Fire Station. Testing performed 06-07-2021. Testing requested by Matt McAllister,1,"1,795.00",,43001,GST on Income,179.50,Job,4005-Specials -  RQLD,,,,,
 McAlister & Burford Pty Ltd,,,,,,,,,,66248,,07/07/2021,07/07/2021,,,Provide special request wet slip resistance measurement and report for Longreach State School. Testing performed 06-07-2021. Testing requested by Matt McAllister. ,1,525.00,,43001,GST on Income,52.50,Job,4004-Specials - SEQ,,,,,
 Pickwick Group Pty Ltd QLD,,,,,,,,,,66250,(GS) 103747,07/07/2021,07/07/2021,,,Provide 3 monthly wet and dry slip resistance measurement and report for Qantas Lounge Coolangatta. Testing performed 01/07/2021. Order #(GS) 103747,1,525.00,,43000,GST on Income,52.50,,,,,,,
 Kelvin Grove Village Centre,,,,,,,,,,66251,,07/07/2021,07/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Karalee Shopping Village. Testing performed 06/07/2021.,1,425.00,,43000,GST on Income,42.50,,,,,,,
 82-98 Redcliffe Pty Ltd ATF 82-98 Redcliffe,,,,,,,,,,66252,353-2100007,08/07/2021,08/07/2021,,,Provide annual wet slip resistance measurement and report for 82-98 Anzac Avenue. Testing performed 5-07-2021. Purchase Order 353-2100007,1,425.00,,43000,GST on Income,42.50,,,,,,,
 Pacific Pines Parkside Body Corporate CTS 39801,,,,,,,,,,66253,,08/07/2021,08/07/2021,,,Provide annual wet slip resistance measurement and report for Pacific Pines Parkside. Testing performed 5-07-2021. ,1,425.00,,43000,GST on Income,42.50,,,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,66254,W8121185,08/07/2021,08/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Mt Warren Park Shopping Centre. Testing performed 5-07-2021. Purchase Order W8121185,1,435.00,,43000,GST on Income,43.50,,,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,66255,W8121187,08/07/2021,08/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Greenbank Shopping Centre. Testing performed 6-07-2021. Purchase Order W8121187,1,450.00,,43000,GST on Income,45.00,Job,1325-45-Greenbank Shopping Centre,,,,,
 Project M Asset Management Pty Ltd,,,,,,,,,,66256,,08/07/2021,08/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Cannon Central. Testing performed 7-07-2021.,1,510.00,,43000,GST on Income,51.00,Job,1605-01-Cannon Central,,,,,
 Project M Asset Management Pty Ltd,,,,,,,,,,66257,,08/07/2021,08/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Save City. Testing performed 7-07-2021. ,1,510.00,,43000,GST on Income,51.00,Job,1605-02-Save City,,,,,
 Reading Property,,,,,,,,,,66258,,08/07/2021,08/07/2021,,,Provide special request wet slip resistance measurement and report for Newmartket Village. Testing performed 08-07-2021. Testing requested by Meredith Macrae.,1,950.00,,43001,GST on Income,95.00,Job,4004-Specials - SEQ,,,,,
 GAG Byron on Byron Business Company Pty Ltd,,,,,,,,,,66259,,08/07/2021,08/07/2021,,,Provide special request wet slip resistance measurement and report for Crystal Byron. Testing performed 02-07-2021. Testing requested by D'Arcy Fitzgerald.,1,695.00,,43001,GST on Income,69.50,Job,4009-Specials - RNSW,,,,,
 Sentinel Regional Office Pty Ltd ATF,,,,,,,,,,66260,2021120388,08/07/2021,08/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for 200 Creek Street. Testing performed 6-07-2021. Purchase Order 2021120388,1,575.00,,43000,GST on Income,57.50,,,,,,,
 Shopping Centres Australasia Property Group Re Ltd,,,,,,,,,,66261,W8120607,09/07/2021,09/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Woolworths Collingwood Park. Testing performed 6-07-2021. Purchase Order W8120607,1,500.00,,43000,GST on Income,50.00,,,,,,,
 Logan Village Shopping Centre Trust,,,,,,,,,,66262,,09/07/2021,09/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Logan Village. Testing performed 6-07-2021,1,450.00,,43000,GST on Income,45.00,,,,,,,
 Swordfish Australian Sub TC Pty Ltd,,,,,,,,,,66263,2752042,09/07/2021,09/07/2021,,,Provide 3 monthly wet and dry slip resistance measurement and report for Strathpine Centre. Testing performed 7-07-2021. Purchase Order 0002752042,1,640.00,,43000,GST on Income,64.00,,,,,,,
 Hachma International Australia Pty Ltd,,,,,,,,,,66264,,09/07/2021,09/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for The Mark Shopping Centre. Testing performed 7-07-2021. ,1,495.00,,43000,GST on Income,49.50,Job,1423-01-The Mark S-C,,,,,
 Queensland Rail,,,,,,,,,,66265,4502442738/07.07.202,09/07/2021,09/07/2021,,,Provide special request wet slip resistance measurement and report for Central Station. Testing performed 8-07-2021. Testing requested by Grant Twist. Purchase Order 4502442738 / 07.07.2021,1,800.00,,43001,GST on Income,80.00,Job,4004-Specials - SEQ,,,,,
 Monte Carlo-CTS 11083,,,,,,,,,,66266,,09/07/2021,09/07/2021,,,Provide 6 monthly dry slip resistance measurement and report for Monte Carlo Sun Resort. Testing performed 7-07-2021.,1,275.00,,43000,GST on Income,27.50,Job,1429-Monte Carlo,,,,,
 Dimeo Management Services Pty Ltd,,,,,,,,,,66267,,09/07/2021,09/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for 199 Grey Street. Testing performed 08/07/2021.,1,575.00,,43000,GST on Income,57.50,,,,,,,
 Elanor Investment Nominees Pty Limited,,,,,,,,,,66268,AU01253156,09/07/2021,09/07/2021,,,Provide annual wet and dry slip resistance measurement and report for 200 Adelaide Street. Testing performed 2-07-2021. Purchase Order AU01253156,1,525.00,,43000,GST on Income,52.50,Job,1435-08-200 Adelaide Street,,,,,
 Thundercrete,,,,,,,,,,66269,,09/07/2021,09/07/2021,,,Provide special request wet slip resistance measurement and report for 112 Bayview Street Runaway Bay. Testing performed 9-07-2021. Testing requested by Ben Judge. ,1,350.00,,43001,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
 Q Super Centre,,,,,,,,,,66270,JEN14643,09/07/2021,09/07/2021,,,Provide special request wet slip resistance measurement and report for Q Super Centre. Testing performed 9-07-2021. Testing requested by Bevan Sproule. Purchase Order JEN14643,1,650.00,,43001,GST on Income,65.00,Job,4004-Specials - SEQ,,,,,
 Asher Nominees Pty Ltd ATF The H Perelberg,,,,,,,,,,66272,SO7119253_243924,12/07/2021,12/07/2021,,,Provide annual wet slip resistance measurement and report for Oasis Centre. Testing performed 1-07-2021. Purchase Order SO7119253_243924,1,390.00,,43000,GST on Income,39.00,Job,1437-33-Oasis Centre,,,,,
 Tiling Waterprofing Services,,,,,,,,,,66273,Doug Hutchies DGC,12/07/2021,12/07/2021,,,Provide special request wet slip resistance measurement and report for The Star Casino Broadbeach. Testing performed 09-07-2021. Purchase Order Number Doug Hutchies DGC. Testing requested by Doug Foster.,1,350.00,,43001,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
 Oracle Retail Pty Ltd,,,,,,,,,,66274,AU01256090,12/07/2021,12/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Oracle Retail. Testing performed 7-07-2021. Purchase Order AU01256090,1,610.00,,43000,GST on Income,61.00,Job,1435-27-Oracle Retail,,,,,
 Region Group Re Ltd,,,,,,,,,,66275,W8120629,12/07/2021,12/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Burdekin Plaza. Testing performed 5-07-2021. Purchase Order W8120629,1,450.00,,43000,GST on Income,45.00,Job,1325-27-Burdekin Plaza,,,,,
 Silver Sea Resort and Spa CTS 35480,,,,,,,,,,66276,,12/07/2021,12/07/2021,,,Provide special request wet slip resistance measurement and report for Mantra on View Hotel. Testing performed 09-07-2021. Testing requested by Michael Bowley.,1,350.00,,43001,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
 Mirage Marina Pty Ltd ATF Mirage Marina Trust,,,,,,,,,,66277,AU01256089,12/07/2021,12/07/2021,,,Provide 3 monthly wet slip resistance measurement and report for Marina Mirage. Testing performed 7-07-2021. Purchase Order AU01256089. Supplier #209976,1,415.00,,43000,GST on Income,41.50,Job,1435-26-Marina Mirage,,,,,
 Woodstock Timber Specialists,,,,,,,,,,66278,,12/07/2021,12/07/2021,,,Provide special request wet slip resistance measurement and report for the following samples. Testing performed 12-07-2021. Testing requested by Sandy Brotherton.\r\n- 250x50 KWILA FJ/Laminated DPR Treads Brown Timber.\r\n- 250x50 KWILA Solid DPR Treads Brown Timber. ,1,300.00,,43002,GST on Income,30.00,Job,8005-Product Class- AU,,,,,
 Region Group Re Ltd,,,,,,,,,,66279,W8120630,12/07/2021,12/07/2021,,,Provide 6 monthly wet slip resistance measurement and report for Bushland Beach Plaza. Testing performed 6-07-2021. Purchase Order W8120630,1,500.00,,43000,GST on Income,50.00,Job,1325-12-Bushland Beach Plaza,,,,,
 Tough Floors,,,,,,,,,,66280,,12/07/2021,12/07/2021,,,"Provide special request wet slip resistance measurement and report for Lot 97 Edgewater Avenue. Testing performed 08-07-2021, Testing requested by Euan Bennett.",1,500.00,,43001,GST on Income,50.00,Job,4004-Specials - SEQ,,,,,
 Tough Floors,,,,,,,,,,66281,,12/07/2021,12/07/2021,,,"Provide special request wet slip resistance measurement and report for Lot 98 Edgewater Avenue. Testing performed 08-07-2021, Testing requested by Euan Bennett.",1,500.00,,43001,GST on Income,50.00,Job,4004-Specials - SEQ,,,,,
 Tough Floors,,,,,,,,,,66282,,12/07/2021,12/07/2021,,,"Provide special request wet slip resistance measurement and report for Macgregor State High School. Testing performed 08-07-2021, Testing requested by Euan Bennett.",1,350.00,,43001,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
 SC Site Services,,,,,,,,,,66283,,12/07/2021,12/07/2021,,,Provide special request wet slip resistance measurement and report for Mercato On Ferry. Testing performed 09-07-2021. Testing requested by Simon Cox.,1,500.00,,43001,GST on Income,50.00,Job,4004-Specials - SEQ,,,,,
 Properties & Pathways Pty Ltd ATF,,,,,,,,,,66284,8431,12/07/2021,12/07/2021,,,Provide annual wet slip resistance measurement and report for Woolcock Street Supa Store. Testing performed 6-07-2021. Purchase Order 8431,1,450.00,,43000,GST on Income,45.00,,,,,,,
 Pickwick Group Pty Ltd QLD,,,,,,,,,,66285,(NC) 103817,12/07/2021,12/07/2021,,,Provide 3 monthly wet and dry slip resistance measurement and report for Qantas Lounge Brisbane Domestic. Testing performed 07/07/2021. Order #(NC) 103817,1,525.00,,43000,GST on Income,52.50,,,,,,,
 The Body Corporate for The Grange CTS 30993,,,,,,,,,,66286,,12/07/2021,12/07/2021,,,Provide annual wet slip resistance measurement and report for The Grange. Testing performed 7-07-2021. ,1,750.00,,43000,GST on Income,75.00,Job,1043-01-The Grange,,,,,
 Austrak Pty Ltd,,,,,,,,,,66287,X07359,12/07/2021,12/07/2021,,,Provide special request wet slip resistance measurement and report for the following samples. Testing performed 12-07-2021. Testing requested by Daniel Baxter.,1,300.00,,43002,GST on Income,30.00,Job,8005-Product Class- AU,,,,,
 Austrak Pty Ltd,,,,,,,,,,66287,X07359,12/07/2021,12/07/2021,,,Provide special request dry slip resistance measurement and report for the following samples. Testing performed 26-07-2021. Testing requested by Daniel Baxter.,1,300.00,,43002,GST on Income,30.00,Job,8005-Product Class- AU,,,,,
 Austrak Pty Ltd,,,,,,,,,,66287,X07359,12/07/2021,12/07/2021,,,Purchase Order Number X07359.\r\n- Rail Sleeper Tread Gritty Surface Grey 20x20cm\r\n- Rail Sleeper Tread Dimpled Surface Grey 22x40cm,1,.00,,43002,GST on Income,.00,Job,8005-Product Class- AU,,,,,
 Dexus Property Services P/L (DXPS),,,,,,,,,,66288,1148062,12/07/2021,12/07/2021,,,Provide 3 monthly wet and dry slip resistance measurement and report for Willows Shoppingtown. Testing performed 7-07-2021. Purchase Order 1148062,1,630.00,,43000,GST on Income,63.00,,,,,,,
 Gedoun Constructions Pty Ltd,,,,,,,,,,66289,68CHAMP/007.8,12/07/2021,12/07/2021,,,Provide special request wet slip resistance measurement and report for Lot 68 Champion Drive. Testing performed 06-07-2021. Purchase Order Number 68CHAMP/007.8. Testing requested by Nabila Rose. ,1,375.00,,43001,GST on Income,37.50,Job,4005-Specials -  RQLD,,,,,
 Sunland Plaza,,,,,,,,,,66290,1148064,12/07/2021,12/07/2021,,,Provide 3 monthly wet slip resistance measurement and report for Sunlands Plaza. Testing performed 6-07-2021. Purchase Order 1148064,1,475.00,,43000,GST on Income,47.50,,,,,,,
 Moodie Outdoor Products,,,,,,,,,,66291,,12/07/2021,12/07/2021,,,Provide special request wet slip resistance measurement and report for Regent Park. Testing performed 12-07-2021. Testing requested by Steve Cohen.,1,350.00,,43001,GST on Income,35.00,Job,4004-Specials - SEQ,,,,,
