Scol-29062,Nagambie Perching Stage 2,Scol-29062-Nagambie Perching Stage 2
EBM-SOF0328,Stankovic Replace Fans,EBM-SOF0328-Stankovic Replace Fans
GRE-29338,Grenax Shed 5 Mods,GRE-29338-Grenax Shed 5 Mods
GRE-29059,Grenax Conveyors,GRE-29059-Grenax Conveyors
Casa-29424,R4/Shed 6 Conveyor,Casa-29424-R4/Shed 6 Conveyor
EIP-29461,FR Facility 2017,EIP-29461-FR Facility 2017
EIP-29469,EIP- Equip-2017,EIP-29469-EIP- Equip-2017
EIP-29470,EIP- Astino-2017,EIP-29470-EIP- Astino-2017
PEQ-29916,PEQ-Rearing & Bird Cages,PEQ-29916-PEQ-Rearing & Bird Cages
PEQ-29733,PEQ-Prototypes,PEQ-29733-PEQ-Prototypes
MilanOct2017,MilanOct2017,MilanOct2017-MilanOct2017
PEQ-LiveBird,PEQ-Live Bird Cages,PEQ-LiveBird-PEQ-Live Bird Cages
PEQ-RearingCage,PEQ-Rearing Cages,PEQ-RearingCage-PEQ-Rearing Cages
EIP-Accom,EIP Accom etc,EIP-Accom-EIP Accom etc
EIP-Shed Extra,Extra Shed work,EIP-Shed Extra-Extra Shed work
EIP-30604,Water Treatment,EIP-30604-Water Treatment
PEQ-LB-Rectific,PEQ Live Bird Rectify,PEQ-LB-Rectific-PEQ Live Bird Rectify
RFF-30747,RFF mobile shed assy,RFF-30747-RFF mobile shed assy
RFF-Mobile Shed,Real Food F Mobile Shed,RFF-Mobile Shed-Real Food F Mobile Shed
RFF-30247,RFF Mobile shed Equip,RFF-30247-RFF Mobile shed Equip
PEQ-LiveBirdRew,New Job,PEQ-LiveBirdRew-New Job
EIP-30603,EIP-Coolrooms,EIP-30603-EIP-Coolrooms
ACC-30689,ACC-Back Wall 2018,ACC-30689-ACC-Back Wall 2018
RFF-31076,Silo Assembly,RFF-31076-Silo Assembly
ACC-31319,ACC-Back Wall -2- 2018,ACC-31319-ACC-Back Wall -2- 2018
PEQ-RC-Rework,PEQ-Rearing Cage Rework,PEQ-RC-Rework-PEQ-Rearing Cage Rework
RFF-31411,Install Nests on Trailer,RFF-31411-Install Nests on Trailer
YXA-31430,YXA Heaters,YXA-31430-YXA Heaters
EIS-30617,POP Door Ramps,EIS-30617-POP Door Ramps
Gre-829,Worksafe-2019,Gre-829-Worksafe-2019
PEQ-770,New Watering Sys Rearing,PEQ-770-New Watering Sys Rearing
Seymour2019,SeymourAlternativeFarming,Seymour2019-SeymourAlternativeFarming
AllfarmPD,Allfarm Product Developme,AllfarmPD-Allfarm Product Developme
FarmerLittlePro,FarmerLittlePromotion,FarmerLittlePro-FarmerLittlePromotion
LTZUC2019,Enriched cages at LT Egg Farm,LTZUC2019-Enriched cages at LT Egg Farm
SPF-Aug2019,Aus SPF ,SPF-Aug2019-Aus SPF 
FLSeymour2020,Seymour Alt Farm Expo 2020,FLSeymour2020-Seymour Alt Farm Expo 2020
McK-2019,New Job,McK-2019-New Job
Allfarm PD,Allfarm Product Development,Allfarm PD-Allfarm Product Development
FL-ACK,FL-Avio Collection Kit,FL-ACK-FL-Avio Collection Kit
FL Product Deve,Farmer Little Product Developm,FL Product Deve-Farmer Little Product Developm
GRE-2020,Grenax 4 Sheds,GRE-2020-Grenax 4 Sheds
GRE-2020DEP,Deposit on 4 sheds,GRE-2020DEP-Deposit on 4 sheds
GRE-1-2020,2020 First Shed,GRE-1-2020-2020 First Shed
GRE-2-2020,2020 Second Shed,GRE-2-2020-2020 Second Shed
GRE-3-2020,2020 Third Shed,GRE-3-2020-2020 Third Shed
GRE-4-2020,2020 Fourth Shed,GRE-4-2020-2020 Fourth Shed
FL-CommRollAway,Communal Rollaway Nest Develop,FL-CommRollAway-Communal Rollaway Nest Develop
FL - Warranty,Farmer Little Warranty,FL - Warranty-Farmer Little Warranty
FL - SalesWeb,Farmer Little Website Sales,FL - SalesWeb-Farmer Little Website Sales
Warranty-BS,Warranty for Bellsouth items,Warranty-BS-Warranty for Bellsouth items
Incubator Lab,Incubator Lab,Incubator Lab-Incubator Lab
FLFRT,FarmerLittle FreeRangeTrailers,FLFRT-FarmerLittle FreeRangeTrailers
FLFRT-0,FL FR Trailer 4.5x2.5Prototype,FLFRT-0-FL FR Trailer 4.5x2.5Prototype
RFF-15768,Assembly 2 SKA Mobile Sheds,RFF-15768-Assembly 2 SKA Mobile Sheds
CP-16435,Egg Conveyor by 2,CP-16435-Egg Conveyor by 2
AA_New Products,New AA Product Development,AA_New Products-New AA Product Development
FL Trailer One,FL Trailer One - 130 birds,FL Trailer One-FL Trailer One - 130 birds
CALAIS,Calais Exenses,CALAIS-Calais Exenses
HILUXTRAY,Expenses for IKN,HILUXTRAY-Expenses for IKN
Cas-tunnel,Free Range Tunnel Shed,Cas-tunnel-Free Range Tunnel Shed
Cas-Tunnel,Tunnel Free Range,Cas-Tunnel-Tunnel Free Range
Cas Permits,Permits for Tunnel Shed,Cas Permits-Permits for Tunnel Shed
Mcdougals,Layer System for Mcdougals,Mcdougals-Layer System for Mcdougals
Warranty FL,Warranty Farmer Little,Warranty FL-Warranty Farmer Little
Seymour-2021,SAFE 2021,Seymour-2021-SAFE 2021
AA Rent,AG Auto Rent,AA Rent-AG Auto Rent
FL Rent,Farmer Little Rent,FL Rent-Farmer Little Rent
AFL,Advertising Farmer Little,AFL-Advertising Farmer Little
PFL,Printing Farmer Little,PFL-Printing Farmer Little
AGFEST 2021,AGFest 2021,AGFEST 2021-AGFest 2021
BS,Bell South Sales,BS-Bell South Sales
FL - Sales General,Farmer Little Sales General,FL - Sales General-Farmer Little Sales General
BS-Sponsorships,Clubs & Show Sponsorships,BS-Sponsorships-Clubs & Show Sponsorships
IK,New Job,IK-New Job
IKC9JL,New Job,IKC9JL-New Job
Car Rego 1IN2KP,New Job,Car Rego 1IN2KP-New Job
ZIM,Tool Truck,ZIM-Tool Truck
YER666,DMAX,YER666-DMAX
SDS297,New Job,SDS297-New Job
AgAuto,Agricultural Automation,AgAuto-Agricultural Automation
AA,AA - General Sales,AA-AA - General Sales
Bellsouth,Bellsouth All Activity,Bellsouth-Bellsouth All Activity
SprinRanch2021,2 Sheds for Spring Ranch,SprinRanch2021-2 Sheds for Spring Ranch
SREQUIP,Avio supply,SREQUIP-Avio supply
xx,Seymour - 2022,xx-Seymour - 2022
Seymour-2022,New Job,Seymour-2022-New Job
SR16734,2 Sheds for Spring Ranch,SR16734-2 Sheds for Spring Ranch
GRN-17452,Greens - Chain Feeding System ,GRN-17452-Greens - Chain Feeding System 
PIX2022,PIX 2022,PIX2022-PIX 2022
AGFEST 2022,AGFEST 2022,AGFEST 2022-AGFEST 2022
AGFEST,AGFEST,AGFEST-AGFEST
Bellsouth Shows,Bellsouth Shows,Bellsouth Shows-Bellsouth Shows
BS-Anne Beaty,Anne Beaty,BS-Anne Beaty-Anne Beaty
1AW6HZ,Landcruiser costs,1AW6HZ-Landcruiser costs
Motor vehicles,Motor Vehicle Costs,Motor vehicles-Motor Vehicle Costs
AGFEST2023,New Job,AGFEST2023-New Job
VAXA,New Job,VAXA-New Job
Doreen EF,New Job,Doreen EF-New Job
WAGES ADVANCE,WAGES ADVANCE,WAGES ADVANCE-WAGES ADVANCE
ADVANCE,ADVANCE,ADVANCE-ADVANCE
B47785,"Trailer, B47785","B47785-Trailer, B47785"
ELMORE FIELD DAYS,Elmore Field Days,ELMORE FIELD DAYS-Elmore Field Days
Elmore 2023,Elmore 2023,Elmore 2023-Elmore 2023
AGFEST2024,Agfest 2024,AGFEST2024-Agfest 2024
Seymour-2023,New Job,Seymour-2023-New Job
LangiKakshed,New Job,LangiKakshed-New Job
SCE-36225,Curtains for Terang Farm,SCE-36225-Curtains for Terang Farm
Seymour2024,New Job,Seymour2024-New Job
