*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
z1,port match manifold,,,,,,55.00,41110,GST on Income,,
112,Freight charges,,,,,,5.00,41140,GST on Income,,
59,Anti Reversion Spacer,,,,,,150.00,41110,GST on Income,,
05-guide,supply guides,,,,,,15.00,41110,GST on Income,,
05-buck-shim,supply cam shims,,,,,,12.00,41110,GST on Income,,
05-parts,Parts,,,,,,0.00,41110,GST on Income,,
60,Hot Tank,,,,,,47.00,41110,GST on Income,,
61,Crack Test,,,,,,65.00,41110,GST on Income,,
62,K-Line Guides,,,,,,14.00,41110,GST on Income,,
05-seal-viton-trade,Viton Seals Trade,,,,,,1.32,41110,GST on Income,,
05-seal-viton,Viton Seals,,,,,,4.00,41110,GST on Income,,
03-harley-evo,port harley heads,,,,,,55.00,41110,GST on Income,,
05-man-sp-rb26,RB 26 Manifold Spacers Set,,,,,,440.00,41110,GST on Income,,
HOL-TC-CPLATE,Holden Billet Timing Cover,,,,,,475.00,41110,GST on Income,,
z2,Holden Water Pump Legs,,,,,,250.00,41110,GST on Income,,
120,CSR Water Pump Centre,,,,,,275.00,41110,GST on Income,,
121-BOLSS,Holden Stainless Steel Bolts,,,,,,65.00,41110,GST on Income,,
02-supply-heads,Supply cylinder heads,,,,,,2150.00,41110,GST on Income,,
200,aluminium swarf,,,,,,1.50,41110,GST on Income,,
63,Radius inlet,,,,,,2.19,41110,GST on Income,,
06-rad-cham,radius top of seat to chamber,,,,,,5.60,41110,GST on Income,,
28.2,throat seats,,,,,,2.31,41110,GST on Income,,
06-mt-port-mani,match port manifold,,,,,,0.00,41110,GST on Income,,
06-ple-port-mani,port manifold plenum,,,,,,0.00,41110,GST on Income,,
09-tshirt,T-shirt,,,,,,25.00,41110,GST on Income,,
06-heli,Supply & fit Helicoils,,,,,,2.75,41110,GST on Income,,
02-mach-cham,cnc machine chambers,,,,,,143.00,41110,GST on Income,,
70,cnc machine manifolds,,,,,,0.00,41110,GST on Income,,
02-digi-int,Digitise Inlet Port,,,,,,143.00,41110,GST on Income,,
02-digi-ex,Digitise Exhaust Port,,,,,,143.00,41110,GST on Income,,
02-digi-cham,Digitise Chamber,,,,,,143.00,41110,GST on Income,,
02-pro-port-int,Program Inlet Port,,,,,,143.00,41110,GST on Income,,
02-pro-port-ex,Program Exhaust Port,,,,,,143.00,41110,GST on Income,,
02-pro-cham,Program Chamber,,,,,,143.00,41110,GST on Income,,
06-fac-mani,Face Manifold,,,,,,143.00,41110,GST on Income,,
z-119-BOL,Timing Cover Bolt Kit,,,,,,14.00,41110,GST on Income,,
BUL-TC -POL,Polish Timing Cover,,,,,,110.00,41110,GST on Income,,
HOL-TC-BLNK,Billet Timing Cover Blank,,,,,,375.00,41110,GST on Income,,
140,Holden alt. bracket HQ-VK,,,,,,275.00,41110,GST on Income,,
141,Holden alt. bracket VN-VS,,,,,,275.00,41110,GST on Income,,
BUL-ALT-HOL-DRV,Holden Commodore Alt bracket,Holden Commodore Alt bracket,,58010,,Holden Commodore Alt bracket,315.00,41110,GST on Income,,
142,Cleveland Timing Cover Mech,,,,,,275.00,41110,GST on Income,,
BUL-ALT-DR172,HOLDEN V8 ALTERNATOR BRACKET,HOLDEN V8 ALTERNATOR BRACKET,,,,HOLDEN V8 ALTERNATOR BRACKET,315.00,41110,GST on Income,,
71,Clean & Assemble,,,,,,125.00,41110,GST on Income,,
142.1,Clevo Timing Cover elec pump,,,,,,275.00,41110,GST on Income,,
clevo142.2E-CP,Clevo Elec TC w/cover plate,,,,,,375.00,41110,GST on Income,,
142.2,Clevo t\cover+plate elec.pump,,,,,,375.00,41110,GST on Income,,
2300-375B ID1.700,Intake Insert,,,,,,38.25,41110,GST on Income,,
1650-127-400-BX,Exhaust Insert,,,,,,38.25,41110,GST on Income,,
72,Bore Guide Holes,,,,,,27.50,41110,GST on Income,,
06-GB-4cyl,Htwsh glass bead 4cylinderhead,,,,,,80.00,41110,GST on Income,,
BUL-CSR-HOL,CSR electric waterpump,CSR electric waterpump,,,,CSR electric waterpump,645.00,41110,GST on Income,,
01scrap,Scrap metal,,,,,,5.00,41110,GST on Income,,
124.1,Clevo Alt Bracket,,,,,,275.00,41110,GST on Income,,
05-tp-mani,Torquepower manifold,,,,,,800.00,41110,GST on Income,,
BUL-PROFORMA-100,PROFORMA 100AMP ALTERNATOR,,,,,,270.00,41110,GST on Income,,
03-harley TC,Port Harley Heads,,,,,,460.00,41110,GST on Income,,
03-harley-val,Supply Harley Valves,,,,,,70.00,41110,GST on Income,,
03-harley-decomp,Machine for decomp valves,,,,,,66.00,41110,GST on Income,,
BUL-ALT-SBCHEV,Chev Alternator Bracket,Chev Alternator Bracket,,58010,,Chev Alternator Bracket,315.00,41110,GST on Income,,
02-iron come,Port Holden EFI come,,,,,,550.00,41110,GST on Income,,
02-iron v6 come,Port Ecotec V6 come,,,,,,460.00,41110,GST on Income,,
04-ST-int,Supertech intake valves,,,,,,37.00,41110,GST on Income,,
04-ST-ex-inc,Supertech Ex valve inconel,,,,,,50.00,41110,GST on Income,,
BUL-ALT-HOL-PASS,Billet HQ-VT Passenger bracket,Billet HQ-VT Passenger bracket,,58010,,Billet HQ-VT Passenger bracket,315.00,41110,GST on Income,,
BUL-ALT-CLEV169,CLEVELAND ALT BRACKET,CLEVELAND ALT BRACKET,,,,CLEVELAND ALT BRACKET,315.00,41110,GST on Income,,
BUL-TC-CLE-ELE,CLEVEV TIMING COVER ELECT PUMP,,,58010,,,285.00,41110,GST on Income,,
BUL-TC-HOL,holden billet timing cover,,,58010,,,415.00,41110,GST on Income,,
BUL-TC-CLE-MEC,Cleveland T/C mechanical pump,,,58010,,,285.00,41110,GST on Income,,
BUL-ALT-PASS172,HOLDEN V8 ALTERNATOR BRACKET,HOLDEN V8 ALTERNATOR BRACKET,,,,HOLDEN V8 ALTERNATOR BRACKET,315.00,41110,GST on Income,,
BUL-ALT-CLEV172,CLEVELAND ALTERNATOR BRACKET,CLEVELAND ALTERNATOR BRACKET,,58010,,CLEVELAND ALTERNATOR BRACKET,315.00,41110,GST on Income,,
DASH3-TP,PORT-3-TORQUE-POWER,,,,,,1280.00,41110,GST on Income,,
TP230,PORT-TP-6BOLT,,,,,,1550.00,41110,GST on Income,,
JP-CS6200,Holden V8 Vernier Chain,,,,,,230.00,41110,GST on Income,,
Profor-100,Proforma 100 amp alternator,,,,,,250.00,41110,GST on Income,,
04-valve-man,manley valves,,,,,,36.66,41110,GST on Income,,
05-ali-billet,Supply Aluminium Billet,,,,,,110.00,41110,GST on Income,,
10mm ski,New Item,,,,,,,,BAS Excluded,,
06-shim & buck-grind,New Item,,,,,,75.00,41110,GST on Income,,
06-dual-kit,double spring kit,,,,,,350.00,41110,GST on Income,,
04-Ls1 st/ valves,2.02/1.575 stainless valves,,,,,,22.00,41110,GST on Income,,
05-rolls,polishing rolls,,,,,,2.00,41110,GST on Income,,
06-drill hd blt hls,"drill head bolt holes 1/2""",,,,,,9.00,41110,GST on Income,,
06-sleeve hd blt hls,sleeve head bolt holes,,,,,,3.50,41110,GST on Income,,
06-clrnce-cam,Clearance head for large cams,,,,,,143.00,41110,GST on Income,,
06-o-rings,O-ring grooves,,,,,,65.00,41110,GST on Income,,
06-grnd-cam-shm,Set & grind cam shim clearance,,,,,,5.00,41110,GST on Income,,
06-spring-seat,Hardened Spring Seats,,,,,,7.00,41110,GST on Income,,
05-rb26-squirt,RB26 Piston Oil Squirters,,,,,,85.00,41110,GST on Income,,
06-ht wsh,hot wash head,,,,,,29.00,41110,GST on Income,,
06-mchn-vrlf,machine valve reliefs,,,,,,9.00,41110,GST on Income,,
BUL-ALT-TOR,Torana Alterantor Bracket,Torana Alterantor Bracket,,58010,,Torana Alterantor Bracket,325.00,41110,GST on Income,,
04-Ls1 sngl-spr,New Item,,,,,,17.50,41110,GST on Income,,
06-R & D,Research and development work,,,,,,60.00,41110,GST on Income,,
06-mch-gd,Machine guides,,,,,,8.50,41110,GST on Income,,
05-4G63-Billet,4G63 Billet Block,,,,,,8000.00,41110,GST on Income,,
BUL-PS-HOL-COM,Holden Power Steering Bracket,Holden Power Steering Bracket,,58010,,Holden Power Steering Bracket,315.00,41110,GST on Income,,
scrap,Scrap Metal,,,,,,0.00,41110,GST on Income,,
06-pres-tst,Pressure test,,,,,,143.00,41110,GST on Income,,
BUL-100amp Alternator,New Item,,,,,,200.00,41110,GST on Income,,
BUL-BAL-ADP,Holden to Chev Adapter,Holden to Chev Adapter,,,,Holden to Chev Adapter,165.00,41110,GST on Income,,
02-LS1-stage 2 kit,Ls1 stage 2 kit complete,,,,,,1700.00,41110,GST on Income,,
BUL-BL-SR20-w, SR20 Billet wet Block with, SR20 Billet wet Block with Head Stud Kit,,,, SR20 Billet wet Block with Head Stud Kit,9900.00,41110,GST on Income,,
BUL-BILL-KIT-HOL,Holden Twin Gilmer Kit,,,,,,490.00,41110,GST on Income,,
06-grnd-crnk,Grind crank for correct clear.,,,,,,0.00,41110,GST on Income,,
06-hone-4cyl,Hone 4 cylinder block with tor,,,,,,220.00,41110,GST on Income,,
06-lnsh-crnk,Linish crank surface finish,,,,,,110.00,41110,GST on Income,,
06-R/R pstn-rds,Remove & replace piston -rods,,,,,,143.00,41110,GST on Income,,
06-hone-pstn-pns,hone pistons for pin clearance,,,,,,50.00,41110,GST on Income,,
06-dck-4cyl blck,Deck 4 cylinder block,,,,,,220.00,41110,GST on Income,,
06-Balance,Balance rotating assembly,,,,,,660.00,41110,GST on Income,,
06-Labour,Labour,,,,,,143.00,41110,GST on Income,,
05-rings,Piston rings,,,,,,0.00,41110,GST on Income,,
05-main-brngs,supply main bearings,,,,,,0.00,41110,GST on Income,,
05-rod-brngs,Supply rod bearings,,,,,,0.00,41110,GST on Income,,
05-cam,Supply camshaft,,,,,,0.00,41110,GST on Income,,
05-lifters,Supply lifters,,,,,,0.00,41110,GST on Income,,
05-rocker,Supply roller rockers,,,,,,0.00,41110,GST on Income,,
05-freight,Freight charges,,,,,,0.00,41110,GST on Income,,
06-ulx,ULX 110 Oil,,,,,,13.50,41110,GST on Income,,
HOL-CRANK-ADP,Holden to Chev Drive Adaptor,,,,,,132.00,41110,GST on Income,,
06-Helic,Fit Helicoil,Fit Helicoil,,,,Fit Helicoil,33.00,41110,GST on Income,,
06-hot-tank,Hot Tank,,,,,,88.00,41110,GST on Income,,
06-b&h-TP-4cyl,Bore &Hone Block w/TPt,,,,,,330.00,41110,GST on Income,,
06-fit Cam Bearing,Fit Cam Bearings,,,,,,88.00,41110,GST on Income,,
06-R&R-Rods,Press fit rods to new pistons,,,,,,143.00,41110,GST on Income,,
06-Rear-seal,Machine Block Rear Seal,,,58000,,,172.00,41112,GST on Income,,
06-LH-Block,Line Hone Block,,,58000,,,540.00,41110,GST on Income,,
06-CL-RA,Clearance rocker Arms,,,,,,143.00,41110,GST on Income,,
05-rearseal,Supply Rear Seal,,,,,,22.00,41110,GST on Income,,
05-HG,Supply Head Gaskets,,,,,,110.00,41110,GST on Income,,
05-rods,Supply Conrods,,,,,,880.00,41110,GST on Income,,
05-cam-bear,Supply Cam Bearings,,,,,,77.00,41110,GST on Income,,
05-guide-plate,Supply Guide Plates,,,51130,,,82.00,41112,GST on Income,,
05-timing-ch,Supply Timing Chain,,,,,,165.00,41110,GST on Income,,
05-ign-kit,Supply Ice Ignition,,,,,,1350.00,41110,GST on Income,,
05-spark,Supply Spark Plugs,,,,,,35.00,41110,GST on Income,,
05-oil-fil,Supply Oil Filter,,,51110,,,18.00,41110,GST on Income,,
05-oil-gear,Supply Oil Pump Gear,,,,,,120.00,41110,GST on Income,,
05-oil-pump,Supply Oil Pump,,,,,,175.00,41110,GST on Income,,
05-welsh,Supply Welsh Plug Kit,,,,,,58.00,41110,GST on Income,,
05-gasket,supply Gasket Kit,,,,,,110.00,41110,GST on Income,,
05-cam-lube,Supply Crane Cam Lube,,,,,,19.00,41110,GST on Income,,
06-ass-eng,Assemble Engine,,,,,,1650.00,41110,GST on Income,,
06-dyno,Dyno Tune,,,,,,1200.00,41110,GST on Income,,
05-paint,Supply Paint,,,,,,13.50,41110,GST on Income,,
BUL-TC-WIN,Billet Timing Cover Windsor,,,58010,,,405.00,41110,GST on Income,,
06-relief-blk,Realeve Block for chamber,,,,,,110.00,41110,GST on Income,,
06-strip-eng,Strip & inspect engine,,,,,,110.00,41110,GST on Income,,
05-fly-bolt,Supply Flywheel Bolts,,,,,,0.00,41110,GST on Income,,
BUL-CSR-fit,CSR Water pump fitting,CSR Water pump fitting,,,,CSR Water pump fitting,35.00,41110,GST on Income,,
06-crtest-pis,Crack Test Pistons,,,,,,125.00,41110,GST on Income,,
06-crtest-pins,Crack Test Pins,,,,,,39.00,41110,GST on Income,,
06-crtest-rods,Crack Test Rods,,,,,,160.00,41110,GST on Income,,
06-crtest-crank,Crack Test Crank,,,,,,95.00,41110,GST on Income,,
BUL-GIL-Belt,Gilmer belt,Gilmer belt,,,,Gilmer belt,45.00,41110,GST on Income,,
05-crank,Supply Crankshaft,,,,,,1100.00,41110,GST on Income,,
05-piston,Supply Pistons,,,,,,1100.00,41110,GST on Income,,
06-grout,Grout Block,,,,,,440.00,41110,GST on Income,,
BUL-ALT-WIN-DRV,windsor alternator bracket,windsor alternator bracket,,58010,,windsor alternator bracket,315.00,41110,GST on Income,,
05-manley-ret-st,Manley steel retainers,,,,,,20.00,41110,GST on Income,,
05-manley-sprg,Manley springs,,,,,,20.00,41110,GST on Income,,
BUL bl-sr20-hdbt,SR20 custom head bolts,SR20 custom head bolts,,,,SR20 custom head bolts,440.00,41110,GST on Income,,
05-bal,Supply Balancer,,,,,,250.00,41110,GST on Income,,
BUL-Chr-100amp,Chrome 100 amp alternator,,,,,,230.00,41110,GST on Income,,
05-dip-st,Supply Dip Stick,,,,,,33.00,41110,GST on Income,,
05-push-rod,Supply Pushrods,,,,,,230.00,41110,GST on Income,,
05-rocker-cov,Supply Rocker Covers,,,,,,390.00,41110,GST on Income,,
05-rocker-cov-gas,Supply rocker cover gaskets,,,,,,88.80,41110,GST on Income,,
05-diz-cl,Supply Dizzy Clamp,,,,,,55.00,41110,GST on Income,,
05-bal-bolt,Supply Balancer Bolt,,,,,,45.00,41110,GST on Income,,
05-carby,Supply Carby,,,,,,975.00,41110,GST on Income,,
05-oil-ulx,Supply ULX 110,,,,,,13.00,41110,GST on Income,,
06-cc,CC Chamber,,,,,,77.00,41110,GST on Income,,
05-arp-kit,ARP Bolt Kit,,,,,,210.00,41110,GST on Income,,
06-stn-st,stone seats,,,,,,3.30,41110,GST on Income,,
06-mach-spring,Machine for Springs,,,,,,8.00,41110,GST on Income,,
06-fac-lif,Face Lifters,,,,,,132.00,41110,GST on Income,,
05-rocker-stud,Supply Rocker Studs,,,,,,75.00,41110,GST on Income,,
05-timing-cvr,supply new timing cover,,,,,,110.00,41110,GST on Income,,
BUL-TC-CHR,Chrysler Billet Timing Cover,,,,,,450.00,41110,GST on Income,,
BUL-ALT-CLEVOR,CLEVOR/BOSS ALTERNATOR BRACKET,CLEVOR/BOSS ALTERNATOR BRACKET,,58010,,CLEVOR/BOSS ALTERNATOR BRACKET,315.00,41110,GST on Income,,
BUL-BILL-KT-CLE,Cleveland Billet Kit,,,,,,1850.00,41110,GST on Income,,
06-Lap valve,Lap valves In,,,,,,10.00,41110,GST on Income,,
05--dual-springs,Dual Valve Springs,,,,,,200.00,41110,GST on Income,,
05-dual-springs,Supply dual valve springs,,,,,,200.00,41110,GST on Income,,
05-valve guides,Supply hardened valve seats,,,,,,25.00,41110,GST on Income,,
05-valve seats,Supply hardened valve seats,,,,,,25.00,41110,GST on Income,,
06-recon-heads,Recondition V8 heads,,,,,,880.00,41110,GST on Income,,
06-c&h-rod,Close & Hone Rods,,,,,,292.00,41110,GST on Income,,
06-fit-caps,Fit Main Caps to Block,,,,,,884.55,41110,GST on Income,,
06-LB-Block,Line Bore Block,,,,,,660.00,41110,GST on Income,,
BUL-BL-WRX,Billet WRX Block,Billet WRX Block,,,,Billet WRX Block,10000.00,41110,GST on Income,,
05-main-caps,Supply  bolt caps,,,,,,500.00,41110,GST on Income,,
05-stud-main,Supply main Studs,,,,,,99.00,41110,GST on Income,,
05-cyl-heads,Supply cylinder Heads,,,,,,0.00,41110,GST on Income,,
05-oil-drive,Supply Oil Pump Drive,,,,,,37.00,41110,GST on Income,,
06-blu-oil,Blueprint oil pump,,,,,,88.00,41110,GST on Income,,
05-stud-head,Supply Head studs,,,,,,220.00,41110,GST on Income,,
BUL-ALT-MPR-PASS,Billet Alt bracket Mopar/chry,Billet Alt bracket Mopar/chry,,58010,,Billet Alt bracket Mopar/chry,285.00,41110,GST on Income,,
05-crane-spng-lctr,crane valve spring locator,,,,,,2.00,41110,GST on Income,,
06-hone-se,Hone rod smallend,,,,,,18.75,41110,GST on Income,,
06-sonic,Sonic Test Block,,,,,,220.00,41110,GST on Income,,
06-s/f blck slvs,supply & fit block sleeves,,,,,,143.00,41110,GST on Income,,
06-r/rds,Resize Con Rods,,,,,,22.00,41110,GST on Income,,
06-Guide K liners,Supply & fit K line guides,,,,,,18.20,41110,GST on Income,,
06-vlve spngs,Valve springs,,,,,,0.00,41110,GST on Income,,
05-valve,New Valves,,,,,,0.00,41110,GST on Income,,
05-str-mtr,Hi torque starter motor,,,,,,300.00,41110,GST on Income,,
BUL-HOL-FDA,holden front drive adaptor,,,,,,135.00,41110,GST on Income,,
BUL-BL-4G63-w,4G63 Billet wet Block with hea,4G63 Billet wet Block with head Studs,,,,4G63 Billet wet Block with head Studs,9900.00,41110,GST on Income,,
BUL-ALT-CLVR,Billet alt bracket boss/clevor,,,,,,295.00,41110,GST on Income,,
01-ebay,Ebay Sales,,,,,,0.00,41111,GST on Income,,
05-rod-bolt,Supply Rod Bolts,,,,,,91.00,41110,GST on Income,,
05-sump,Supply Sump,,,,,,550.00,41110,GST on Income,,
05-Head-bolt,Supply Head Bolts,,,,,,130.00,41110,GST on Income,,
05-inlet-gask,Supply Inlet Gaskets,,,,,,44.00,41110,GST on Income,,
05-manley-vlvs,Manley stainless valves,,,,,,25.00,41110,GST on Income,,
05-cam-gears,Supply Cam Gears,,,,,,180.00,41110,GST on Income,,
05-guide-trd,Supply Guides Trade,,,,,,12.00,41110,GST on Income,,
05-flex,Supply Flex Plate,,,,,,140.00,41110,GST on Income,,
06-paint-eng,Paint Engine,,,,,,88.00,41110,GST on Income,,
05-jets,Holley Jets,,,,,,10.00,41110,GST on Income,,
05-leads,Supply Leads,,,,,,110.00,41110,GST on Income,,
05-fuel-pump,Supply Fuel-Pump,,,,,,190.00,41110,GST on Income,,
05-water-pump,Supply Water Pump,,,,,,85.00,41110,GST on Income,,
BUL-CS-4150-4500,Tapared + shear 4150 to 4500,Tapared + shear 4150 to 4500,,51120,,Tapared + shear 4150 to 4500,240.00,41110,GST on Income,,
BUL-PS-CLE,clevo powersteering bracket,,,,,,305.00,41110,GST on Income,,
BUL-Chr-PSTR,Chrome power steering pump,,,51110,,,220.00,41110,GST on Income,,
BUL-ALT-MPR-DRV,Chrysler driverside billet alt,Chrysler driverside billet alt,,58010,,Chrysler driverside billet alt,285.00,41110,GST on Income,,
BUL-PS-WIN,windsor powersteering bracket,,,,,,305.00,41110,GST on Income,,
BUL-PS-HOL-HQ,HQ holden p/steering bracket,HQ holden p/steering bracket,,58010,,HQ holden p/steering bracket,305.00,41110,GST on Income,,
BUL-ALT-BBCHEV,bb chev billet bracket low mnt,,,,,,315.00,41110,GST on Income,,
BUL-TPL-GIL,holden triple gilmer kit,,,,,,500.00,41110,GST on Income,,
bul,New Item,,,,,,,,BAS Excluded,,
bul-alt-bbf,Big Block ford a;lternator bra,,,,,,,,BAS Excluded,,
BUL-PS-PMP,Chrome power steering pump,,,,,,280.00,41110,GST on Income,,
BUL-CSR-FORD,CSR ford electric pump,CSR ford electric pump,,,,CSR ford electric pump,420.00,41110,GST on Income,,
BUL-PS-CHE,chev low mount p/s bracket,,,,,,305.00,41110,GST on Income,,
05-ins-bir,supply birrilium inserts,,,,,,55.00,41110,GST on Income,,
BUL-GIL-PUL,gilmer pulley,,,,,,90.00,41110,GST on Income,,
05-vlv-sprgs,supply valve springs,,,51111,,,201.00,41112,GST on Income,,
BUL-TC-BBford,Billet timing cover  BB ford,,,,,,450.00,41110,GST on Income,,
BUL-CS-1,1inch tapered carby spacer,1 inch tapered carby spacer,,51120,,1 inch tapered carby spacer,145.00,41110,GST on Income,,
BUL-CS-1.5,1.5 inch tapered carby spacer,1.5 inch tapered carby spacer,,51120,,1.5 inch tapered carby spacer,165.00,41110,GST on Income,,
BUL-CS-2,2 inch tapered carby spacer,2 inch tapered carby spacer,,58010,,2 inch tapered carby spacer,195.00,41110,GST on Income,,
BUL-BNT-HNG-HKTG,bonnet hinge HK-T-G,,,,,,850.00,41110,GST on Income,,
05-manley-sprg-lctr,manley spring locators,,,,,,88.00,41110,GST on Income,,
06-fac-extra,extra material removal,,,,,,75.00,41110,GST on Income,,
05-man,supply manifold,,,,,,0.00,41110,GST on Income,,
BUL-ST-FD,ford shocker tower XR-XF,,,58010,,,395.00,41110,GST on Income,,
06-prt-plh,port and polish,,,,,,143.00,41110,GST on Income,,
05-cap,Supply Steel Caps,,,,,,550.00,41110,GST on Income,,
05-timing-gas,Supply timing cover gasket,,,,,,14.00,41110,GST on Income,,
BUL-CVR-HOL,CVR Electric Water Pump,,,,,,620.00,41110,GST on Income,,
05-qck-fl,supply quick fuel carby,,,,,,0.00,41110,GST on Income,,
02-port-plsh,porting and polishing,,,,,,88.00,41110,GST on Income,,
BUL-BL-EVO,Mitsubishi EVO Billet Block,Mitsubishi EVO Billet Block,,,,Mitsubishi EVO Billet Block,8000.00,41110,GST on Income,,
BUL bl-EVO-hst,EVO Custom Head Studs,EVO Custom Head Studs,,,,EVO Custom Head Studs,350.00,41110,GST on Income,,
05-manley-lock,Supply Manley Locks,,,,,,88.00,41110,GST on Income,,
06-strip-hds,strip heads and inspect,,,,,,154.00,41110,GST on Income,,
05-press-test,Pressure Test Heads,,,,,,0.00,41110,GST on Income,,
02-model,Part Modeling,,,,,,165.00,41110,GST on Income,,
BUL-AHF-308-PIPEs,holden flange & pipes,holden flange & pipes,,,,holden flange & pipes,440.00,41110,GST on Income,,
BUL-AHF-308-JOB,New Item,,,,,,350.00,41110,GST on Income,,
