Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Cost Per Hour,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Tax Code,Credit Limit,Tax ID No.,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,Statement Text,Remittance Method,Remittance Address,A.B.N. ,A.B.N. Branch,Volume Discount %,Sales/Purchase Layout,Account,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Supplier's Tax Code,Report Taxable Payments,Payment Memo,Invoice/Purchase Order Delivery,Record ID
Video Antics Multimedia,,*None,N,4 Kel Lemon Court,,,,Mt Martha,Vic,3934,,03 5974 4019,,,03 5974 4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,12
Poultry Information Exchange,,*None,N,P.O.Box 264,P.O. Box 264,,,Caboolture,Qld,4510,,07 5495 1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,58176903114,,0,N,,,,,FRE,N,N,,P,13
Dalytell P/L,,*None,N,,,,,,,,,428856967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,14
CMG,,*None,N,19 Corporate Avenue,,,,Rowville,Vic,3937,Australia,03 9237 4040,1300 888 853,0408 100 264 Derrim,03 9237 4050,sales.vic@cmggroup.com.au,,Derrim Porter,,P.O Box 2340,,,,Rowville,Vic,3937,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandra- accounts payable Pick Up From - 19 Corporate Ave. CMG - include 40% margin to Buy Price to get List Price Sales Fax (Fax purchase orders to this number) - 9237 4050 Metro freight deliveries - $40 as of 1/7/11,,,,,accounts.receivable@cmggroup.com.au,,,0,0,0,0,0,0,GST,0,,,,,,332-002,552800479,CMG PTY LTD,A/C 107452,P,,15248126938,,0,I,May-10,,Mainfreight,IPO0412,GST,N,N,,P,15
RACV,,*None,N,Customer Administration,"Level 6, 550 princes Highway",,,Noble Park,Vic,3174,Australia,13 19 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,11005258702,,0,S,,,,AgAutoOrderForm,GST,N,N,,P,16
ATO,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,17
Brian Clapham,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,18
FJ & GJ DE VRIES,,*None,N,P.O. BOX 43,,,,BANNOCKBURN,VIC,3331,,03 5281 1464,,,03 5281 1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,18143956907,,0,N,,,,,GST,N,N,,P,19
Valley Fast Country Couriers,,*None,N,44 Centre Road,,,,Morwell,Vic,3840,,03 5134 3988,,,03 5134 6567,,,,,P.O Box 373,,,,Morwell,Vic,3840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,0,0,3,1,21,0,GST,0,,,,,,,,,,P,,,,0,N,,,,,GST,N,N,,P,20
Smallaire,,*None,N,P.O. Box 851,,,,Horsham,Vic,3400,Australia,03 5382 5688,03 5382 5216,,03 5382 5465,info@smallaire.com.au,,,,170 Golf Course Road,,,,Horsham,Victoria,3400,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,15,GST,0,,,,,,083-680,871445339,SMALLAIRE P/L,AGRICULTURAL AUTOM,P,,78006222055,,0,I,,,K & D Freighters,AgAutoItemOderForm,GST,N,N,,P,21
Chain Wire and Rope Sales - Use Barry Evans Liftin,,*None,N,Unit 9/7-11 Rocco Drive,,,,Scoresby,Vic,3179,Australia,03 9764 9300,,,03 9764 9211,asarjeant@netspace.net.au,,Arthur Sarjeant,,P.O. Box 2684,,,,Rowville,Vic,3178,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,083-427,35618257,CHAIN & WIRE ROPE SALES P/L,AGRICULTURAL AUTOM,P,,44091115605,,0,I,,,,AgAutoItemOderForm,GST,N,N,,P,22
Blazing Signs,,*None,N,19 Fenton Avenue,,,,Rosebud,Vic,3939,Australia,03 5986 1211,,,,blazing@pac.com.au,,Mark Sinclair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,20766543318,,0,S,,,,AccountRight Enterprise's Plain Paper P.O.,GST,N,N,,P,23
Garrob Industries Pty Ltd,,*None,N,39 Erie Avenue,,,,Rowville,vic,3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,,,0,N,,,,,GST,N,N,,P,24
W.J. & K.L. Williams Pty Ltd,,*None,N,Factory 1929,Frankston Flinders Road,,,Hastings,Vic,3915,,59793144,,,59797233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,25
Panel Works,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,26
VFF Chicken Meat group,,*None,N,24-28 Collins Street,,,,Melbourne,Vic,,,9207 5572,,,92075576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,67079980304,,0,S,,,,,GST,N,N,,P,28
Intensive Farming Supplies Aust,,*None,N,P.O Box 2467,,,,Dry Creek,S.A.,5094,Australia,08 8349 8077,,0421 07 88 11,08 8349 8098,sales@ifsaustralia.com.au,,Kevin Markham,,"Factory 4,  9 Cardiff Court",,,,Cavan,S.A.,5094,Australia,08 8349 8077,,,08 8349 8098,kevin@ifsaustralia.com.au,,,,,,,,,,,,,,,,barbara@ifsaustralia.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,015-142,110147054,ANZ,,P,,46063721862,,0,I,May-10,,,Item - Plain Paper Purchase Order,GST,N,N,,P,29
Corti zootecnici S.r.l.,,*None,N,"via volta, 4 - 21020 ",,,,Monvalle [VA],,,Italy,1.13903E+13,,,,vendite@cortizootecnici.com,,"Virginie, Bruno Mazzoni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@cortizootecnica.com,IMOPRT,,,,,,,0,0,5,1,30,0,IMP,0,,,,,,,,,,P,,,,0,I,,,,AGITEMQUOTE,IMP,N,N,,P,30
Hongda Auto Spraying Systems Inc,,*None,N,"31-5, Hsia Tzou Ken, Wan Chiao Shiang, Chu-Chiy Hsiang,  Chai Yi Hsien",,,,,,,Taiwan,0011 886 5 279 1976,0011 886 5 279 1977,,0015 886-5-279 1113,hongda.fog1985@gmail.com,,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,IMP,0,,,,,,,,,,P,,,,0,I,,,,,IMP,N,N,,P,31
Gamek Pty Ltd,,*None,N,15 Rudd St,,,,Narellan,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,32
Rucon Pty Ltd,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,34
Australian Gas Association (DNU),,*None,N,PO Box 122,,,,BRAESIDE,Vic,3195,Australia,03 9580 4500,,,03 9580 5500,shubbard@aga.asn.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,082-962,28372121,THE AUSTRLIAN GAS ASSOCIATION,AGRIAUT,P,,98004206044,,0,S,Jun-00,,,AgAutoOrderForm,GST,N,N,,P,35
D and R Paper Distributors,,*None,N,8a Mornington Homemaker Centre,Cnr Tyabb Rd & Nepean Hway,,,Mornington,Vic,3931,,03 5975 7511,,,03 5977 0585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,29007159480,,0,N,,,,,GST,N,N,,P,36
PIPES Pty Ltd,,*None,N,7 June Avenue,,,,Dromana,Vic,3936,,03 5987 1491,,,03 5981 0231,orders@pipesnpumps.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,32841995309,,0,N,,,,,GST,N,N,,P,37
Complete Fax & Copier Company,,*None,N,P.O Box 11224,,,,Frankston,Vic,3199,Australia,03 9770 0744,,,,davidmiller3199@gmail.com,,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,7,0,GST,0,,,,,,633-000,140802182,COMPLETE FAX & COPIER TONERS,,P,,53088236560,,0,S,,,,AgAutoOrderForm,GST,N,N,,P,38
Mathews Auto Electrics,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,40
Eastern Energy Ltd,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,41
J & N Neskovic,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,43
Australasian Agri Services Pty Ltd,,*None,N,\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n,,,,REDLAND BAY,QLD,4165,Australia,07 3829 3242,0408 260 406 Luke,,07 3396 0266,luke@ausagservices.com.au,www.ausagservices.com.au,,,18 Lennox Street,,,,Redland Bay,QLD,4165,Australia,,,,,judith@ausagservices.com.au,,,,,,,,,,,,,,,,suzanne@ausagservices.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,084-129,483641469,AUSTRALASIAN AGRICULTURAL SERVIC,AG AUTOMATION,P,,84778116167,,10,I,May-10,,,AAA PO,GST,N,N,,P,46
Dromana Industrial Sales,,*None,N,16 Brasser Avenue,,,,Dromana,Vic,3936,,03 5981 0055,,,03 5981 0422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,083-617,28065842,DROMANA INDUSTRIAL SALES,AG AUTOMATION,P,,39004646084,,0,S,,,,,GST,N,N,,P,48
Amiad Australia Pty Ltl,,*None,N,3/15 Brisbane Street,,,,Eltham,Vic,3095,Australia,03 9439 3533,,,03 9439 1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,91006275654,,0,N,,,,,GST,N,N,,P,52
Gigola & Riccardi s.r.I,,*None,N,"Via A Volta, 7",,,,Brescia,Italy,,,0011 39 030725368,,,,info@gigolariccardi.it,,,,,,,,,,,,,,,,gigolariccardi@libero.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,IMP,0,,,,,,,,,,P,,,,0,N,,,,,IMP,N,N,,P,54
Cap-It-All Choretime,,*None,N,219 Parramatta Rd,,,,Silverwater,NSW,2128,,02 9648 4955,,,02 9648 4448,,,,,PO Box 6512,,,,Silverwater,NSW,2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,52769745322,,0,N,,,,,GST,N,N,,P,55
Digital Widget,,*None,N,710 Arroyo Drive #4,,,,South Pasadena,Cal,CA 91030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMOPRT,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,57
Radio Parts Pty Ltd,,*None,N,1097 Dandenong Rd ,,,,East  Malvern,Vic,3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,58
Battery Specialties (Vic) Pty L,,*None,N,240 Boundary Road,,,,Braeside,Vic,3195,,95872101,,,9587 0866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,59
Hillcorp Investments Pty Ltd,,*None,N,36 Callanans Road,,,,Red Hill South,Vic,3937,,03 5989 2571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,083-781,496168084,HILLCORP INVESTMENTS P/L,AG AUTOMATION,P,,51119870118,,0,N,,,,,GST,N,N,,P,61
Australia Post,,*None,N,,,,,,,,,03 5950 3493,03 5228 5511 nth Geel,,,charis.brewer@auspost.com.au,www.auspost.tracking.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dromana Post office- 03 5950 3493 Buisiness Ph: 131118,,,,,,,,0,0,3,1,20,0,GST,0,,,,,,064-787,8985995,AUSTRALIA POST,8985995,P,,28864970579,,0,S,5-1730,,,AgAutoOrderForm,GST,N,N,,P,62
M Sweetnam,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,63
