Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5933,04/07/2023,3-052-38317,,P,export freight,61019,"$1,000.15",,,Purchase; FedEx,,FRE,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,000.15",,*None,1280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision International,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5958,04/07/2023,353950,,P,Parts Russo Inv 356,51111,$469.15,,JOB NO:,Purchase; Precision International,,GST,$46.92,$0.00,GST,$0.00,B,,,5,1,30,0,$516.07,,*None,1006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabre Australia,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5959,04/07/2023,394201,,P,"Parts Turn 3 Inv 371, 1423",51111,"$1,728",,JOB NO:,Purchase; Fabre Australia,,GST,$172.8,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,900.8",,*None,1009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indy Parts,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,7001,04/07/2023,000-00029,,P,guides,51111,"$4,318.91",,,Purchase; Indy Parts,,FRE,$0.00,$0.00,FRE,$0.00,B,,0.6541,5,1,30,0,"$4,318.91",,*None,3320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Machining Service,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,,5939,05/07/2023,,,P,,58000,-$8,,,Northern Machining Service: Discounts on 00005868,,GST,-$.8,$0.00,,$0.00,B,,,0,0,0,0,-$8.8,,*None,924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Machining Service,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,,5940,05/07/2023,,,P,,58000,-$20,,,Northern Machining Service: Discounts on 00005867,,GST,-$2,$0.00,,$0.00,B,,,0,0,0,0,-$22,,*None,924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surman Metals,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5945,05/07/2023,I275355,,P,Ali plate holden nuts,51120,$56,,,Purchase; Surman Metals,,GST,$5.6,$0.00,GST,$0.00,B,,,5,1,30,0,$61.6,,*None,1039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Print,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5949,05/07/2023,210323992,,P,business cards,61060,$119.97,,Thank you!,Purchase; Vista Print,,GST,$12,$0.00,GST,$0.00,B,,,5,1,30,0,$131.97,,*None,3146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Shims,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5961,05/07/2023,36543,,P,Shims,51111,$193.5,,JOB NO:,Purchase; Precision Shims,,GST,$19.35,$0.00,GST,$0.00,B,,,5,1,30,0,$212.85,,*None,1066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goleby's,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5962,05/07/2023,86777,,P,Parts Mouse Motors Inv 421,51110,$752.65,,JOB NO:,Purchase; Goleby's,,GST,$75.26,$0.00,GST,$0.00,B,,,5,1,30,0,$827.91,,*None,2233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ayross,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5963,05/07/2023,99036448,,P,Mandrels,69300,"$1,406",,JOB NO:,Purchase; ayross,,GST,$140.6,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,546.6",,*None,1169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&N Tools,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5946,06/07/2023,2001,,P,engine shop tools,69310,$754.55,,,Purchase; C&N Tools,,GST,$75.45,$0.00,GST,$0.00,B,,,5,1,30,0,$830,,*None,1552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Boost,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5953,06/07/2023,2054,,P,ex manifold pattys pro towing,51110,"$1,513.64",,Thank you!,Purchase; 6 Boost,,GST,$151.36,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,665",,*None,1101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maatouks Racing,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5972,06/07/2023,901,,P,RBx Drive plates,51111,"$1,638",,,Purchase; Maatouks Racing,,GST,$163.8,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,801.8",,*None,1928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabre Australia,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6020,06/07/2023,394346,,P,ARP Studs Nuts Washers,51120,"$15,727.95",,JOB NO:,Purchase; Fabre Australia,,GST,"$1,572.8",$0.00,GST,$0.00,B,,,5,1,30,0,"$17,300.75",,*None,1009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRP,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6194,06/07/2023,S_#12214,,P,Fastners for Seefoo,58000,$65.65,,JOB NO:,Purchase; PRP,,GST,$6.56,$0.00,GST,$0.00,B,,,5,1,30,0,$72.21,,*None,1728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRP,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6200,06/07/2023,S_#12213,,P,Cam Gears,51111,$679.03,,JOB NO:,Purchase; PRP,,GST,$67.9,$0.00,GST,$0.00,B,,,5,1,30,0,$746.93,,*None,1728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surman Metals,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5966,07/07/2023,I275172,,P,Copper Sheet,51120,"$2,260",,,Purchase; Surman Metals,,GST,$226,$0.00,GST,$0.00,B,,,5,1,30,0,"$2,486",,*None,1039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plazmaman,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5967,07/07/2023,18515,,P,2JZ manifold for mouse.,51111,"$2,539",,,Purchase; Plazmaman,,GST,$253.9,$0.00,GST,$0.00,B,,,5,1,30,0,"$2,792.9",,*None,1267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNT Express,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5996,08/07/2023,66782863 wk6,,P,Domestic freight week 6,61018,$477.45,,,Purchase; TNT Express,,GST,$47.74,$0.00,GST,$0.00,B,,,5,1,30,0,$525.19,,*None,969
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5973,10/07/2023,,,A,building Materials,61100,$145.95,,,Purchase; Bunnings,,GST,$14.6,$0.00,GST,$0.00,B,,,5,1,30,0,$160.55,,*None,1234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eBay,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6012,10/07/2023,24-10278-87289,,P,stepper online new power supply line boring machine,69400,$69,,,Purchase; eBay,,GST,$6.9,$0.00,FRE,$0.00,B,,,5,1,30,0,$75.9,,*None,2089
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6013,10/07/2023,,,P,flights to Brisbane Jambo,63110,"$1,028.18",,,Purchase; Virgin,,GST,$102.82,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,131",,*None,1546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolworths,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5974,11/07/2023,6639,,P,tea & coffee for staff,68900,$68.41,,,Purchase; Woolworths,,GST,$6.84,$0.00,GST,$0.00,B,,,5,1,30,0,$75.25,,*None,1914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paint Tech,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5975,11/07/2023,INV-00089618,,A,engine paint ,51111,$100.13,,,Purchase; Paint Tech,,GST,$10.01,$0.00,GST,$0.00,B,,,5,1,30,0,$110.14,,*None,1605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lever Piano,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5976,11/07/2023,6236,,P,stainless wire,51111,$122.73,,,Purchase; Lever Piano,,GST,$12.27,$0.00,GST,$0.00,B,,,5,1,30,0,$135,,*None,3149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fcs cleaning supplies,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5997,11/07/2023,INV-12551,,P,Paper towel and urinal screens,60120,$266,,,Purchase; Fcs cleaning supplies,,GST,$26.6,$0.00,GST,$0.00,B,,,5,1,30,0,$292.6,,*None,1810
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6014,11/07/2023,7.95219E+12,,P,flights to brisbane Jambo,63110,"$1,039.49",,,Purchase; Virgin,,GST,$103.95,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,143.44",,*None,1546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surman Metals,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6029,11/07/2023,I275594,,P,"Ali Plate 9 x RB26 Block, 3 x Barra Block",51120,"$17,886",,JOB NO:Russo,Purchase; Surman Metals,,GST,"$1,788.6",$0.00,GST,$0.00,B,,,5,1,30,0,"$19,674.6",,*None,1039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENT,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6155,11/07/2023,16055,,P,torrington rings and fire rings,51110,"$1,403.5",,,Purchase; DENT,,GST,$140.35,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,543.85",,*None,1141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCPS industrial,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5977,12/07/2023,N94048,,P,stainless clamps and hose,61100,$94.72,,,Purchase; NCPS industrial,,GST,$9.47,$0.00,GST,$0.00,B,,,5,1,30,0,$104.19,,*None,1297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5978,12/07/2023,CF152674663AU,,P,Shipping to LLama NZ,61020,$61.82,,,Purchase; Australia Post,,GST,$6.18,$0.00,GST,$0.00,B,,,5,1,30,0,$68,,*None,2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgecrest,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6000,12/07/2023,24413,,P,Gasket for Jim Goritsas,51110,$195.45,,,Purchase; Ridgecrest,,GST,$19.55,$0.00,GST,$0.00,B,,,5,1,30,0,$215,,*None,1644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENT,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6017,12/07/2023,16061,,P,Crank Collar 2J Machine Face Cutter,69400,$814,,JOB NO:,Purchase; DENT,,GST,$81.4,$0.00,GST,$0.00,B,,,5,1,30,0,$895.4,,*None,1141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabre Australia,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6021,12/07/2023,394569,,P,Supertech Lifters Stock 31x4.8,51111,"$1,728.8",,JOB NO:,Purchase; Fabre Australia,,GST,$172.88,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,901.68",,*None,1009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nason,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6023,12/07/2023,2626942,,P,Mitsi Brg Stock,51111,$410.45,,,Purchase; Nason,,GST,$41.05,$0.00,GST,$0.00,B,,,5,1,30,0,$451.5,,*None,1243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Building Supplies,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5979,13/07/2023,209005451,,A,Building supplies,61100,$206,,,Purchase; SA Building Supplies,,GST,$20.6,$0.00,GST,$0.00,B,,,5,1,30,0,$226.6,,*None,2964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fassina Family Liquor,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5981,13/07/2023,19159,,P,Beer for staff,51111,$59.08,,,Purchase; Fassina Family Liquor,,GST,$5.91,$0.00,GST,$0.00,B,,,5,1,30,0,$64.99,,*None,3150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfitzner Property Pty Ltd,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5999,13/07/2023,585,,P,Water rates 6 bellfree,61082,$416.42,,,Purchase; Pfitzner Property Pty Ltd,,GST,$41.64,$0.00,GST,$0.00,B,,,5,1,30,0,$458.06,,*None,3020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENT,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6018,13/07/2023,16067,,P,Thermostat Housing RB30,51120,"$5,259",,JOB NO:,Purchase; DENT,,GST,$525.9,$0.00,GST,$0.00,B,,,5,1,30,0,"$5,784.9",,*None,1141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialised engine services,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6019,13/07/2023,1480,,P,Berg Bros Inv 1433,58000,"$1,045.45",,,Purchase; specialised engine services,,GST,$104.55,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,150",,*None,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watson Specialised Tooling Pty Ltd,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6033,13/07/2023,141836,,P,Hone stones ect,69200,$830,,,Purchase; Watson Specialised Tooling Pty Ltd,,GST,$83,$0.00,GST,$0.00,B,,,5,1,30,0,$913,,*None,1156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foodland,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5982,14/07/2023,148912,,P,Food staff barbeque,68900,$38.05,,,Purchase; Foodland,,GST,$3.81,$0.00,GST,$0.00,B,,,5,1,30,0,$41.86,,*None,1847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foodland,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5983,14/07/2023,224922,,P,food staff barbeque,68900,$8.92,,,Purchase; Foodland,,GST,$.89,$0.00,GST,$0.00,B,,,5,1,30,0,$9.81,,*None,1847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr chicken,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5984,14/07/2023,5107,,P,salads for staff barbeque,68900,$54.55,,,Purchase; mr chicken,,GST,$5.45,$0.00,GST,$0.00,B,,,5,1,30,0,$60,,*None,3151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6016,14/07/2023,227854,,P,#16 Oring Port adapter CNC,51120,$23.09,,JOB NO:,Purchase; APD,,GST,$2.31,$0.00,GST,$0.00,B,,,5,1,30,0,$25.4,,*None,1084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6091,14/07/2023,4320585260,,P,consumables,60120,$588.27,,,Purchase; Wurth,,GST,$58.83,$0.00,GST,$0.00,B,,,5,1,30,0,$647.1,,*None,1045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Miller Engineering,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6213,14/07/2023,100316,,P,Ashton pistons,51140,"$1,296.18",,,Purchase; Bill Miller Engineering,,FRE,$0.00,$0.00,FRE,$0.00,B,,0.645804,5,1,30,0,"$1,296.18",,*None,1286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Miller Engineering,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6214,14/07/2023,100315,,P,Maatouks-1390 rods,51140,"$1,181.78",,,Purchase; Bill Miller Engineering,,FRE,$0.00,$0.00,FRE,$0.00,B,,0.645804,5,1,30,0,"$1,181.78",,*None,1286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Miller Engineering,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6215,14/07/2023,100314,,P,E&H ,51140,"$2,592.37",,,Purchase; Bill Miller Engineering,,FRE,$0.00,$0.00,FRE,$0.00,B,,0.645804,5,1,30,0,"$2,592.37",,*None,1286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Miller Engineering,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6216,14/07/2023,100313,,P,Micks Motorsport,51140,"$5,922.08",,,Purchase; Bill Miller Engineering,,FRE,$0.00,$0.00,FRE,$0.00,B,,0.645804,5,1,30,0,"$5,922.08",,*None,1286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNT Express,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5995,15/07/2023,66830733 wk7,,P,domestic freight week 7,61018,$270.67,,,Purchase; TNT Express,,GST,$27.07,$0.00,GST,$0.00,B,,,5,1,30,0,$297.74,,*None,969
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bold Web Design,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5994,16/07/2023,INV-1630,,P,Jul website maintenance,68210,$500,,,Purchase; Bold Web Design,,GST,$50,$0.00,GST,$0.00,B,,,5,1,30,0,$550,,*None,2087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Building Supplies,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5987,17/07/2023,201028480,,A,building supplies,61100,$76.99,,,Purchase; SA Building Supplies,,GST,$7.7,$0.00,GST,$0.00,B,,,5,1,30,0,$84.69,,*None,2964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bespoke Manufacturing Pty Ltd,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5990,17/07/2023,23322,,P,anodise parts,61100,$815,,,Purchase; Bespoke Manufacturing Pty Ltd,,GST,$81.5,$0.00,GST,$0.00,B,,,5,1,30,0,$896.5,,*None,3154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaycar,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5992,17/07/2023,4159858,,A,usd extension leads,60119,$55.36,,,Purchase; jaycar,,GST,$5.54,$0.00,GST,$0.00,B,,,5,1,30,0,$60.9,,*None,2074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6090,17/07/2023,4320587505,,P,lamp,60120,$136.83,,,Purchase; Wurth,,GST,$13.68,$0.00,GST,$0.00,B,,,5,1,30,0,$150.51,,*None,1045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNC Cutting Services,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6001,18/07/2023,1001346,,P,"2JZ,  Honda K, DSM Gaskets",58010,"$2,800",,,Purchase; CNC Cutting Services,,GST,$280,$0.00,GST,$0.00,B,,,5,1,30,0,"$3,080",,*None,1260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6002,18/07/2023,EJ311875651AU,,P,export shipping to JD NZ and EVO gasket to USA,61020,$106.32,,,Purchase; Australia Post,,GST,$10.63,$0.00,GST,$0.00,B,,,5,1,30,0,$116.95,,*None,2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
betterbuild industries,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6003,18/07/2023,1461,,P,steel for new reception area,61100,$730.91,,,Purchase; betterbuild industries,,GST,$73.09,$0.00,GST,$0.00,B,,,5,1,30,0,$804,,*None,2970
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autopro Parafield,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6004,18/07/2023,687624,,P,oxy sensor,51111,$109.09,,,Purchase; Autopro Parafield,,GST,$10.91,$0.00,GST,$0.00,B,,,5,1,30,0,$120,,*None,3133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Machining Service,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6034,18/07/2023,8542,,P,,58010,$320,,,Purchase; Northern Machining Service,,GST,$32,$0.00,GST,$0.00,B,,,4,10,10,10,$352,,*None,924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelford Cams,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6035,18/07/2023,63745,,P,182-sg cams,51140,$946.56,,JOB NO:,Purchase; Kelford Cams,,FRE,$0.00,$0.00,FRE,$0.00,B,,,5,1,30,0,$946.56,,*None,1755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
