Co./Last Name,First Name,Purchase No.,Date,Supplier Invoice No.,Inclusive,Delivery Status,Journal Memo,Detail Date,Description,Account No.,Amount,Job,Comment,Promised Date,Tax Code,Tax Amount,Purchase Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
Cybersecure,,153092,6/7/2020,1310A200701,,P,Imported Cybersecure,,Cybersecure,61150,$135.44 ,,,,GST,$13.54 ,B,2,0,7,0,$148.98 ,,5408,726
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,153093,7/7/2020,10322871,,P,"Imported Momentum Energy, ",,Momentum Energy,66060,$822.94 ,,,,GST,$82.57 ,B,2,0,6,0,$905.51 ,,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
Revive Solutions,,153094,8/7/2020,305369,,P,Imported Revive Solutions,,Revive solutions (Hightlk),61150,$800 ,,,,GST,$80 ,B,2,0,5,0,$880 ,,1730,2226
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,153095,7/7/2020,345525316,,P,Imported Officeworks,,Officeworks,61300,"($2,060.36)",,,,GST,($206.04),B,2,0,6,0,"($2,266.40)",,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153097,7/7/2020,14800,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$1,150 ",,,,GST,$115 ,B,2,0,8,0,"$1,265 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Cut and Core,,153098,3/7/2020,67406,,P,Imported Cut and Core,,Cut and Core,54300,$726.70 ,,,,GST,$72.67 ,B,2,0,19,0,$799.37 ,,5451,1334
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,153099,10/7/2020,100720,,P,Imported Telstra Corp,,Telstra Mobile phones,61300,"$1,238.35 ",,,,GST,$87.56 ,B,2,0,12,0,"$1,325.91 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,153100,20/07/2020,10154719,,P,Imported Toshiba Australia Pty Limited,,Toshiba Australia Pty Ltd,61215,$33.53 ,,,,GST,$3.35 ,B,2,0,2,0,$36.88 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,
Air Aid Airconditioning,,153101,16/07/2020,7388,,P,Imported Air Aid Airconditioning,,Air Aid Airconditioning,61250,$400 ,,,,GST,$40 ,B,2,0,6,0,$440 ,,5473,1526
,,,,,,,,,,,,,,,,,,,,,,,,,
Z Transport Group,,153102,19/07/2020,3210116,,P,Imported Z Transport Group,,Z Transport Group,61215,$375.97 ,,,,GST,$37.60 ,B,2,0,3,0,$413.57 ,,5428,93
,,,,,,,,,,,,,,,,,,,,,,,,,
VBCS Plus Victoria Body Corporate Services Pty Ltd,,153103,15/07/2020,M0004878,,P,Imported VBCS Plus Victoria Body Corporate Services Pty Ltd,,VBCS plus,51100,$75 ,,,,GST,$7.50 ,B,2,0,7,0,$82.50 ,,2116,2438
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153104,1/7/2020,81691,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$2,285.15 ",,,,GST,$228.52 ,B,2,0,21,0,"$2,513.67 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Yarra Valley Water,,153105,9/7/2020,59189718021,,P,Imported Yarra Valley Water,,Yarra Valley Water,66090,$836.99 ,,,,FRE,$0.00 ,B,2,0,13,0,$836.99 ,,5463,1394
,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,153106,10/7/2020,67861,,P,Imported M & R Insurance Brokers Pty Ltd,,M and R Insurance Brokers Pty Ltd,61140,"$1,854.25 ",,,,GST,$167.40 ,B,2,0,12,0,"$2,021.65 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,153107,10/7/2020,68069,,P,Imported M & R Insurance Brokers Pty Ltd,,M and R Insurance Brokers Pty Ltd,61140,"$5,508.98 ",,,,GST,$500 ,B,2,0,12,0,"$6,008.98 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,153108,10/7/2020,67863,,P,Imported M & R Insurance Brokers Pty Ltd,,M and R Insurance Brokers Pty Ltd,61140,"$1,118.64 ",,,,GST,$102.76 ,B,2,0,12,0,"$1,221.40 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,153109,13/07/2020,68086,,P,Imported M & R Insurance Brokers Pty Ltd,,M and R Insurance Brokers Pty Ltd,61140,"$3,641.29 ",,,,GST,$328.04 ,B,2,0,9,0,"$3,969.33 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,153110,10/7/2020,67862,,P,Imported M & R Insurance Brokers Pty Ltd,,M and R Insurance Brokers Pty Ltd,61140,"$3,210.90 ",,,,GST,$289.28 ,B,2,0,12,0,"$3,500.18 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,153111,10/7/2020,68065,,P,Imported M & R Insurance Brokers Pty Ltd,,M and R Insurance Brokers Pty Ltd,61140,"$49,256.03 ",,,,GST,"$4,367.65 ",B,2,0,12,0,"$53,623.68 ",,5497,1736
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153112,22/07/2020,14853,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$1,380 ",,,,GST,$138 ,B,2,0,5,0,"$1,518 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153113,23/07/2020,14858,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,$800 ,,,,GST,$80 ,B,2,0,4,0,$880 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153114,23/07/2020,81898,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$1,470 ",,,,GST,$147 ,B,2,0,4,0,"$1,617 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
LMATS Pty LTD,,153115,28/07/2020,61580,,P,Imported LMATS Pty LTD,,LMATS Pty Ltd,54400,$460 ,,,,GST,$46 ,B,2,0,1,0,$506 ,,5550,2104
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153116,23/07/2020,14857,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$2,250 ",,,,GST,$225 ,B,2,0,6,0,"$2,475 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153117,31/07/2020,14882,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,$330 ,,,,GST,$33 ,B,2,0,5,0,$363 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,153118,28/07/2020,799,,P,Imported Racket Agency Pty Ltd,,Racket Agency Pty Ltd,59130,"$7,500 ",,,,GST,$750 ,B,2,0,8,0,"$8,250 ",,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Divers Pty Ltd,,153119,31/07/2020,442,,P,Imported Southern Divers Pty Ltd,,Southern Divers Pty Ltd,54300,"$7,375 ",,,,GST,$737.50 ,B,2,0,5,0,"$8,112.50 ",,1649,2164
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,153120,1/8/2020,1731,,P,Imported Hightalk Pty Ltd,,Hightalk Communications,61300,$85.46 ,,,,GST,$8.54 ,B,2,0,4,0,$94 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,153121,30/07/2020,10829,,P,Imported Jims Mowing,,Jims Mowing,61250,$90 ,,,,GST,$9 ,B,2,0,6,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Minsun Cleaning Pty Ltd,,153122,31/07/2020,452492,,P,Imported Minsun Cleaning Pty Ltd,,Minsun Cleaning Pty Ltd,61215,$460 ,,,,GST,$46 ,B,2,0,5,0,$506 ,,1634,2149
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153123,31/07/2020,82152,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,$420 ,,,,GST,$42 ,B,2,0,5,0,$462 ,,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecure,,153124,4/8/2020,1310A200801,,P,Imported Cybersecure,,Cybersecure,61150,$135.44 ,,,,GST,$13.54 ,B,2,0,1,0,$148.98 ,,5408,726
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153125,31/07/2020,3948,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI Kent Street No 1,61215,$180 ,,,,GST,$18 ,B,2,0,5,0,$198 ,,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
Monja Holdings Pty Ltd t/as Roof Clad Concepts,,153126,31/07/2020,1887,,P,Imported Monja Holdings Pty Ltd t/as Roof Clad Concepts,,Roof Clad Concepts,54300,$425 ,,,,GST,$42.50 ,B,2,0,10,0,$467.50 ,,2125,2448
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,153127,10/8/2020,10491249,,P,"Imported Momentum Energy, ",,Momentum Energy,66060,$861.30 ,,,,GST,$86.30 ,B,2,0,0,0,$947.60 ,,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,153128,31/07/2020,137632237,,P,Imported Visy Recycling,,Visy Recycling,61215,$41.25 ,,,,GST,$4.49 ,B,2,0,10,0,$45.74 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,153129,1/8/2020,15466522,,P,Imported TPG Telecom / AAPT,,TPG Telecom/AAPT,61150,$804 ,,,,GST,$80.40 ,B,2,0,9,0,$884.40 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153130,10/8/2020,SOI131,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI Kent St No 1,66010,"$6,750 ",,,,GST,$225 ,B,2,0,0,0,"$6,975 ",,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
Cut and Core,,153131,14/07/2020,67439,,P,Imported Cut and Core,,Cut and Core,54300,$380 ,,,,GST,$38 ,B,2,0,29,0,$418 ,,5451,1334
,,,,,,,,,,,,,,,,,,,,,,,,,
East Coast Marine Contracting Pty Ltd,,153132,10/8/2020,60,,P,Imported East Coast Marine Contracting Pty Ltd,,East Coast Marine Contracting,54300,"$1,500 ",,,,GST,$150 ,B,2,0,2,0,"$1,650 ",,2117,2439
,,,,,,,,,,,,,,,,,,,,,,,,,
PHMG (Please Hold (UK) Limited),,153133,2/8/2020,1103162-9R3,,A,Imported PHMG (Please Hold (UK) Limited),,PHMG (PleaseHold UK),61300,"$1,191 ",,,,FRE,$0.00 ,B,2,0,10,0,"$1,191 ",,1852,2309
,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Chun BC VIC Pty Ltd,,153134,27/07/2020,300002121,,P,Imported Philip Chun BC VIC Pty Ltd,,Philip Chun BC VIC Pty Ltd,54400,"$3,000 ",,,,GST,$300 ,B,2,0,22,0,"$3,300 ",,2126,2449
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153135,10/8/2020,14907,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,$270 ,,,,GST,$27 ,B,2,0,8,0,$297 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,153136,13/08/2020,52021,,P,Imported HR Consulting Melbourne,,HR Consulting Melbourne,61035,$450 ,,,,GST,$45 ,B,2,0,5,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
Point Ahead Pty Ltd,,153137,10/8/2020,843,,P,Imported Point Ahead Pty Ltd,,Point Ahead,61035,"$1,950 ",,,,GST,$195 ,B,2,0,8,0,"$2,145 ",,1651,2163
,,,,,,,,,,,,,,,,,,,,,,,,,
CGU Workers Compensation,,153138,1/8/2020,1082020,,P,Imported CGU Workers Compensation,,GCU Workers Compensation VIC,65140,"$6,318.15 ",,,,GST,$210.76 ,B,2,0,17,0,"$6,528.91 ",,5083,35
,,,,,,,,,,,,,,,,,,,,,,,,,
Ark Media Pty Ltd,,153139,31/07/2020,122031,,P,Imported Ark Media Pty Ltd,,Ark Media Pty Ltd,59110,"$3,206.25 ",,,,GST,$320.63 ,B,2,0,19,0,"$3,526.88 ",,2130,2453
,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Divers Pty Ltd,,153140,13/08/2020,448,,P,Imported Southern Divers Pty Ltd,,Southern Divers Pty Ltd,54300,$750 ,,,,GST,$75 ,B,2,0,6,0,$825 ,,1649,2164
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153141,18/08/2020,14937,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$2,280 ",,,,GST,$228 ,B,2,0,1,0,"$2,508 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
HP Financial Services Aust Pty Ltd,,153142,18/07/2020,1216293,,P,Imported HP Financial Services Aust Pty Ltd,,HP Financial Services Aust Pty Ltd,61130,"$1,170.37 ",,,,GST,$117.04 ,B,2,0,32,0,"$1,287.41 ",,1744,2195
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,153143,6/8/2020,60820,,P,Imported Telstra Corp,,Telstra Corp (Landlines),61300,$372.75 ,,,,GST,$37.27 ,B,2,0,13,0,$410.02 ,,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
High Access Hire Pty Ltd,,153144,20/08/2020,23417,,P,Imported Hire Access Hire Pty Ltd,,Hire Access Hire,54300,"$3,120 ",,,,GST,$312 ,B,2,0,0,0,"$3,432 ",,2114,2436
,,,,,,,,,,,,,,,,,,,,,,,,,
JT WORX PTY LTD,,153145,4/8/2020,171,,P,Imported JT Worx Pty Ltd,,JT Worx Pty Ltd,54300,"$2,300 ",,,,GST,$230 ,B,2,0,20,0,"$2,530 ",,2045,2397
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,153146,8/7/2020,10649047,,P,Imported Officeworks,,Officeworks Purchase of Mobile Phones for HM and DF,61300,"$2,243.73 ",,,,GST,$224.37 ,B,2,0,47,0,"$2,468.10 ",,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,153147,20/08/2020,10192945,,P,Imported Toshiba Australia Pty Limited,,Toshiba Australia Pty Limited,61215,$31.67 ,,,,GST,$3.17 ,B,2,0,5,0,$34.84 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,
Vodien Australia Pty Ltd,,153148,24/08/2020,44032303,,P,Imported Vodien Australia Pty Ltd,,Vodien Australia Pty Ltd Domain name renewal for AWC,61150,$247.50 ,,,,GST,$24.75 ,B,2,0,1,0,$272.25 ,,2133,2455
,,,,,,,,,,,,,,,,,,,,,,,,,
SGS Australia Pty Ltd,,153149,26/08/2020,SC50101507,,P,Imported SGS Australia Pty Ltd,,SGS Australia Pty Ltd,54400,$396 ,,,,GST,$39.60 ,B,2,0,2,0,$435.60 ,,2124,2447
,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Access Pty Ltd,,153150,24/08/2020,1156,,P,Imported Atlas Access Pty Ltd,,Atlas Access Pty Ltd,54300,"$7,005.58 ",,,,GST,$700.56 ,B,2,0,4,0,"$7,706.14 ",,1722,2222
,,,,,,,,,,,,,,,,,,,,,,,,,
icare Workers Insurance NSW,,153151,28/07/2020,1009551731,,P,Imported icare Workers Insurance NSW,,icare Workers Insurance NSW,65140,"$1,318.05 ",,,,GST,$131.81 ,B,2,0,31,0,"$1,449.86 ",,1684,2182
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,153152,10/8/2020,100820,,P,Imported Telstra Corp,,Telstra Mobile Phones,61300,"$1,223.61 ",,,,GST,$88.78 ,B,2,0,18,0,"$1,312.39 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153153,29/08/2020,2861,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$3,000 ",,,,GST,$300 ,B,2,0,2,0,"$3,300 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
Greencap  Pty Ltd,,153154,27/08/2020,sg2051718,,P,Imported Greencap  Pty Ltd,,Greencap Pty Ltd,54400,"$1,150 ",,,,GST,$115 ,B,2,0,4,0,"$1,265 ",,5483,1637
,,,,,,,,,,,,,,,,,,,,,,,,,
ACRA,,153155,26/08/2020,4971,,P,Imported ACRA,,ACRA Corporate Membership Renewal,51100,"$1,600 ",,,,GST,$160 ,B,2,0,5,0,"$1,760 ",,5412,742
,,,,,,,,,,,,,,,,,,,,,,,,,
Clouston Associates Australia Pty Ltd,,153156,15/08/2020,14333,,P,Imported Clouston Associates Australia Pty Ltd,,Clouston Associates Final Payment,66010,"$1,600 ",,,,GST,$160 ,B,2,0,16,0,"$1,760 ",,1710,2205
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153157,29/08/2020,2862,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$3,750 ",,,,GST,$375 ,B,2,0,3,0,"$4,125 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153158,31/08/2020,2863,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$5,000 ",,,,GST,$500 ,B,2,0,1,0,"$5,500 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Society of Building Consultants,,153159,6/7/2020,438,,P,Imported Australian Society of Building Consultants,,Australian Society of Building Consultants,59100,$150 ,,,,FRE,$0.00 ,B,2,0,57,0,$150 ,,2137,2456
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,153160,1/9/2020,1799,,P,Imported Hightalk Pty Ltd,,Hightalk Pty Ltd,61300,$85.46 ,,,,GST,$8.54 ,B,2,0,0,0,$94 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
ASSE Consultants Pty Ltd,,153161,31/08/2020,2865,,P,Imported ASSE Consultants Pty Ltd,,ASSE Consultants Pty Ltd,54400,"$3,840 ",,,,GST,$384 ,B,2,0,2,0,"$4,224 ",,1752,2241
,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecure,,153162,2/9/2020,1310A200901,,P,Imported Cybersecure,,Cybersecure,61150,$135.44 ,,,,GST,$13.54 ,B,2,0,0,0,$148.98 ,,5408,726
,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Chun BC VIC Pty Ltd,,153163,31/08/2020,300002304,,P,Imported Philip Chun BC VIC Pty Ltd,,Philip Chun BC Vic Pty Ltd,54400,"$2,000 ",,,,GST,$200 ,B,2,0,3,0,"$2,200 ",,2126,2449
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153164,1/9/2020,14972,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$1,830 ",,,,GST,$183 ,B,2,0,2,0,"$2,013 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153165,1/9/2020,14793,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells Pty Ltd,54400,"$1,110 ",,,,GST,$111 ,B,2,0,2,0,"$1,221 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,153166,1/9/2020,10920,,P,Imported AGL,,AGL Gas,66030,$601.34 ,,,,GST,$60.13 ,B,2,0,3,0,$661.47 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,153167,1/9/2020,15572642,,P,Imported TPG Telecom / AAPT,,TPG Telecom,61150,$804 ,,,,GST,$80.40 ,B,2,0,3,0,$884.40 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,
Optimatum Pty Ltd T/A Miglic Macleod,,153168,31/08/2020,1797,,P,Imported Optimatum Pty Ltd T/A Miglic Macleod,,Optimatum Pty Ltd t/a Miglic MacLeod ,54400,$720 ,,,,GST,$72 ,B,2,0,7,0,$792 ,,1923,2327
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,153169,31/08/2020,814,,P,Imported Racket Agency Pty Ltd,,Racket Agency Pty Ltd,59130,"$7,500 ",,,,GST,$750 ,B,2,0,7,0,"$8,250 ",,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153170,31/08/2020,SOI149,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI (Kent Street No 1) pty ltd,61215,$11.55 ,,,,GST,$1.16 ,B,2,0,7,0,$12.71 ,,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153171,31/08/2020,82249,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,$522.60 ,,,,GST,$52.26 ,B,2,0,7,0,$574.86 ,,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153172,1/9/2020,82333,,P,Imported Premier Technology Solutions,,Premier Technology Solutions,61150,"$1,815.85 ",,,,GST,$181.59 ,B,2,0,6,0,"$1,997.44 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Pointon Partners Lawyers,,153173,7/9/2020,27564,,P,Imported Pointon Partners Lawyers,,Pointon Partners Lawyers - Employee Share Plan,61035,"$1,500 ",,,,GST,$150 ,B,2,0,1,0,"$1,650 ",,1733,2230
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,153174,1/8/2020,81998,,P,Imported Premier Technology Solutions,,Premier Technology Solutions - Aug Premier Care Support,61150,"$1,815.85 ",,,,GST,$181.59 ,B,2,0,38,0,"$1,997.44 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,153175,31/08/2020,820,,P,Imported Racket Agency Pty Ltd,,Racket Agency Pty Ltd,54100,$885.10 ,,,,GST,$88.51 ,B,2,0,8,0,$973.61 ,,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,153176,31/08/2020,137872986,,P,Imported Visy Recycling,,Visy Recycling ,61215,$11.58 ,,,,GST,$1.16 ,B,2,0,8,0,$12.74 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
High Access Hire Pty Ltd,,153177,28/08/2020,19008,,P,Imported High Access Hire Pty Ltd,,High Access Hire Pty Ltd,54300,$327.50 ,,,,GST,$32.75 ,B,2,0,12,0,$360.25 ,,2114,2436
,,,,,,,,,,,,,,,,,,,,,,,,,
High Access Hire Pty Ltd,,153178,9/9/2020,23646,,P,Imported High Access Hire Pty Ltd,,High Access Hire Pty Ltd,54300,"$1,560 ",,,,GST,$156 ,B,2,0,0,0,"$1,716 ",,2114,2436
,,,,,,,,,,,,,,,,,,,,,,,,,
SOI (Kent Street No 1) Pty Ltd,,153179,1/9/2020,SOI139,,P,Imported SOI (Kent Street No 1) Pty Ltd,,SOI Kent Street No 1,66010,"$1,553.42 ",,,,GST,$155.34 ,B,2,0,13,0,"$1,708.76 ",,2096,2426
,,,,,,,,,,,,,,,,,,,,,,,,,
