Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Builders Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153822,16/03/2022,148.07,,A,Cosentino Builders Pty Ltd,61250,"$39,246.97 ",,,Purchase; Cosentino Builders Pty Ltd,,GST,"$3,924.70 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$43,171.67 ",,2280,2536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Door Tech Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153823,21/03/2022,17992,,A,Auto Door Tech Pty Ltd - Front main door full service,61250,$295 ,,,Purchase; Auto Door Tech Pty Ltd,,GST,$29.50 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$324.50 ,,*None,2616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153849,1/4/2022,2-100024998844,,A,MYOB AccountRight Live Plus Recurring Subscription\r\n(01/04/2022 - 30/04/2022),61290,$109.09 ,,,Purchase; MYOB Australia,,GST,$10.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$120 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDK Commercial Interiors Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153850,19/04/2022,421514,,A,DDK Commercial Interiors P/L Additional Furniture as per invoice,61250,"$3,886 ",,,Purchase; DDK Commercial Interiors Pty Ltd,,GST,$388.60 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$4,274.60 ",,*None,2605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Apartments Notting Hill,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153859,22/03/2022,79059,,A,Quest Mackay on Gordon this invoice has been enter twice - refund is due,61120,"$1,072.73 ",,,Purchase; Quest Apartments Notting Hill,,GST,$107.27 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,180 ",,1991,2365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Apartments Notting Hill,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153860,22/03/2022,79059 2,,A,Quest Mackay on Gordon inv no 79059 has been paid twice,61120,"($1,072.73)",,,Purchase; Quest Apartments Notting Hill,,GST,($107.27),$0.00 ,GST,$0.00 ,B,2,0,30,0,"($1,180)",,1991,2365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153868,26/04/2022,17598579,,P,Monthly account billing period 1 Mar -31 Mar 22,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBCS Plus Victoria Body Corporate Services Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153869,27/04/2022,M00060002,,A,VBCS Plus Fee Quarterly Membership April - June 2022,51100,$75 ,,,Purchase; VBCS Plus Victoria Body Corporate Services Pty Ltd,,GST,$7.50 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$82.50 ,,2116,2438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Office Furniture Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153871,28/04/2022,V15771,,A,Value office furniture 3 x office chairs,61215,"$1,067.27 ",,,Purchase; Value Office Furniture Pty Ltd,,GST,$106.73 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,174 ",,5536,2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waveform Acoustics,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153881,29/04/2022,13193,,A,Waveform Acoustics (inspection / testing of office),61250,$592 ,,,Purchase; Waveform Acoustics,,GST,$59.20 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$651.20 ,,*None,2625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Builders Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153882,29/04/2022,148.08,,A,Progress Invoice #8 Office Refurbishment,61250,"$6,241.23 ",,,Purchase; Cosentino Builders Pty Ltd,,GST,$624.12 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$6,865.35 ",,2280,2536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153895,1/5/2022,17725333,,A,TPG Telecom/AAPT monthly billing period 1/4/22 - 30/4/22,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrosion Control Engineering P/L,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153896,2/5/2022,VSO000381,,A,Corrosion Control Engineering,51050,$690 ,,,Purchase; Corrosion Control Engineering P/L,,GST,$69 ,$0.00 ,GST,$0.00 ,B,5,1,30,0,$759 ,,5100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153903,1/5/2022,89267,,P,Premier Technology Solutions Invoice from 30 March 2022,61150,"$1,441.32 ",,,Purchase; Premier Technology Solutions,,GST,$144.13 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,585.45 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153907,9/5/2022,18448,,A,Jims Mowing - garden maintenance done 9/5/22,61250,$90 ,,,Purchase; Jims Mowing,,GST,$9 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen David Vaughan,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153909,27/04/2022,270422,,A,Stephen D Vaughan - Research current building laws,59130,"$2,500 ",,,Purchase; Stephen David Vaughan,,FRE,$0.00 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$2,500 ",,*None,2629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153925,1/6/2022,2-10002937936,,A,MYOB Monthly subscription 1/6 - 30/6/22 ,61290,$109.09 ,,,Purchase; MYOB Australia,,GST,$10.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$120 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153946,21/06/2022,612122,,A,HR Consultanting melbourne ,61035,$450 ,,,Purchase; HR Consulting Melbourne,,GST,$45 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153947,20/06/2022,1002583,,A,Monash Self Storage Period from 26/6/22 to 25/7/22,61250,$518.18 ,,,Purchase; Monash Self Storage Centre,,GST,$51.82 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$570 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153948,31/05/2022,90165,,A,Premier Technology Solutions,61150,"$2,089.33 ",,,Purchase; Premier Technology Solutions,,GST,$208.95 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$2,298.28 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153949,22/06/2022,18951,,A,Jims Mowing - gardening maintenance 22/06/2022,61250,$90 ,,,Purchase; Jims Mowing,,GST,$9 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartered Accounts Australia & NZ,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153958,30/06/2022,AU62013508,,P,Chartered Accountant - Annual subscription fee for Nina Gaitz,51100,$704.55 ,,,Purchase; Chartered Accounts Australia & NZ,,GST,$70.45 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$775 ,,*None,2535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153959,1/7/2022,2-10003362359,,A,MYOB monthly subscription 01/07 - 31/07/22,61290,$109.09 ,,,Purchase; MYOB Australia,,GST,$10.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$120 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153960,1/7/2022,17945073,,A,TPG Telecom monthly invoice 01 June 22 to 30 June 2022,61150,$799 ,,,Purchase; TPG Telecom / AAPT,,GST,$79.90 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$878.90 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suk Kyun Shin,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153961,1/7/2022,495569,,A,Suk Kyun Shin Office Cleaning for month of June 2022,61215,$680 ,,,Purchase; Suk Kyun Shin,,GST,$68 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$748 ,,2238,2508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153962,1/7/2022,1072022,,A,AGL Gas Account,66030,$61.62 ,,,Purchase; AGL,,GST,$6.16 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$67.78 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickless Miller Meehans  Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153963,29/06/2022,1368,,A,Nickless Miller Meehans Pty Ltd,61015,"$2,340 ",,,Purchase; Nickless Miller Meehans  Pty Ltd,,GST,$234 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$2,574 ",,5251,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153964,1/7/2022,2835,,A,Hightalk Pty Ltd,61300,$362.73 ,,,Purchase; Hightalk Pty Ltd,,GST,$36.27 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VicRoads,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153965,1/7/2022,1072022,,A,VicRoads registration for Ford Sedan ZEN746,61200,$818.76 ,,,Purchase; VicRoads,,GST,$45.64 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$864.40 ,,5364,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153966,30/06/2022,143279755,,A,Visy Recycling for period 1/6 to 30/6/2022,61215,$59.08 ,,,Purchase; Visy Recycling,,GST,$5.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$64.99 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waveform Acoustics,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153967,5/7/2022,13285,,A,Waveform Acoustics - Consulting & Inspection ,61250,$888 ,,,Purchase; Waveform Acoustics,,GST,$88.80 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$976.80 ,,*None,2625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153968,30/06/2022,DP-90408,,A,Premier Technology Solutions,61150,"$8,801.52 ",,,Purchase; Premier Technology Solutions,,GST,$880.15 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$9,681.67 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153969,1/7/2022,90620,,P,Premier Technology Solutions ,61150,"$2,166.48 ",,,Purchase; Premier Technology Solutions,,GST,$216.65 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$2,383.13 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153973,13/07/2022,19148,,A,Jims Mowing gardening maintenance attended 12/7/22,61250,$90 ,,,Purchase; Jims Mowing,,GST,$9 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
