Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
11253,Loan - 2013 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11254,Loan - 2014 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11255,Loan - 2015 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11256,Loan - 2016 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11257,Loan - 2017 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11258,Loan - 2018 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11259,Loan- 2019 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11260,Loan - Ian & Jenny Godson,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11261,Loan - Employee advances,,-£45.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11262,Loan- 2022 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11263,Loan- 2023 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11264,Loan - 2022 Directors Loan,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11265,Loan - 2024 Director Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11266,Loan - 2025 Director Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11270,Sundry Debtor,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11300,Loans - Employee shareholders,H,"£185,344.38",Asset,,,N,,,,,,,,,,,,N
11301,Shareholder loan - D.Ferguson,,"£34,760.66",Other Asset,,N-T,N,,,,,,,,,,,I,
11302,Shareholder loan - J.Heath,,"£27,808.83",Other Asset,,N-T,N,,,,,,,,,,,I,
11303,Shareholder loan - A.Czerwinski,,"£27,808.84",Other Asset,,N-T,N,,,,,,,,,,,I,
11304,Shareholder loan - H.Matthey,,"£13,904.16",Other Asset,,N-T,N,,,,,,,,,,,I,
11305,Shareholder loan - B.Grey,,"£13,904.16",Other Asset,,N-T,N,,,,,,,,,,,I,
11306,Shareholder loan - D. Soliman,,"£30,221.19",Other Asset,,N-T,N,,,,,,,,,,,O,
11307,Shareholder Loan - N. Gaitz,,"£18,468.27",Other Asset,,N-T,N,,,,,,,,,,,O,
11308,Shareholder Loan - N. Way,,"£18,468.27",Other Asset,,N-T,N,,,,,,,,,,,O,
11309,Shareholder loan - D.Ross,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11400,Prepaid Insurance,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11500,Prepaid Interest,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11700,Other Prepayments,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11800,Long term investments,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11950,Withholding Credits,H,£0.00,Asset,,,N,,,,,,,,,,,,Y
11960,Voluntary Withholding Credits,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11970,ABN Withholding Credits,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
12000,Fixed Assets,H,"£371,580.69",Asset,,,N,,,,,,,,,,,,Y
12200,Office Equipment,H,£0.00,Asset,,,N,,,,,,,,,,,,Y
12210,Office Equipment,,"£140,742.10",Fixed Asset,,GST,N,,,,,,,,,,,I,
12220,Accumulated Amortisation,,"-£140,742.10",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12300,Buildings & Improvements,H,£0.00,Asset,,,N,,,,,,,,,,,,Y
12310,Bldgs & Imprv at Cost,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
12320,Bldgs & Imprv Accum Dep,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
12400,Leasehold Improvements,H,"£212,920.88",Asset,,,N,,,,,,,,,,,,N
12410,Leasehold Impr - at cost,,"£260,036.22",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12420,Leasehold Imrp - accum dep,,"-£47,115.34",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12500,Vehicles,H,"£74,235.46",Asset,,,N,,,,,,,,,,,,Y
12510,Vehicles - at Cost,,"£58,672.04",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12515,Excess depreciation limit,,£0.00,Fixed Asset,,N-T,N,,,,,,,,,,,I,
12520,Vehicles - Accum Dep,,"-£13,783.91",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12530,Borrowing Exp,,"£2,250.80",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12540,Less Acc: Dep,,"-£2,250.80",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12550,Vehicles at cost- BYD,,"£46,185.91",Fixed Asset,,GST,N,,,,,,,,,,,I,
12560,Vehicle Accum Dep - BYD,,"-£16,838.58",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12570,Vehicle at cost - Hyundai,,£0.00,Other Asset,,GST,N,,,,,,,,,,,O,
12580,Vehicle Accum Dep - Hyundai,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
12600,Plant & Equipment,H,£0.00,Asset,,,N,,,,,,,,,,,,N
12610,Plant & Equipment,,"£38,711.01",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12620,Plant & Equip - Accum Depn,,"-£38,711.01",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12700,Furniture and Fixtures,H,"£84,424.35",Asset,,,N,,,,,,,,,,,,Y
12710,Furniture & Fixtures Orig Co,,"£135,858.41",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12720,Furniture & Fixtures Accum Dep,,"-£51,434.06",Fixed Asset,,N-T,N,,,,,,,,,,,I,
12800,Bonds Refundable,H,"£12,730.00",Asset,,,N,,,,,,,,,,,,Y
12810,Bond refundable  ,,"£12,730.00",Other Asset,,N-T,N,,,,,,,,,,,O,
13000,Goodwill on purchase,,"£50,000.00",Other Asset,,FRE,N,,,,,,,,,,,I,
20000,Liabilities,H,"£1,598,249.50",Liability,,,N,,,,,,,,,,,,Y
21000,Current Liabilities,H,"£1,598,249.50",Liability,,,N,,,,,,,,,,,,Y
21100,Credit Cards,H,"£16,137.88",Liability,,,N,,,,,,,,,,,,Y
21110,Bankcard,,£0.00,Credit Card,,N-T,Y,,,,,,N,,,N,,O,
21120,Diners Club,,£0.00,Credit Card,,N-T,Y,,,,,,N,,,N,,O,
21130,MasterCard,,£0.00,Credit Card,,N-T,N,,,,,,N,,,N,,O,
21140,Visa - Ian,,£0.00,Credit Card,,N-T,Y,,,,,,N,,,N,,O,
21150,Company  VISA,,"£12,676.74",Credit Card,,N-T,N,,,,,,N,,,N,,O,
21151,Company Visa Clearing,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21160,Company AMEX,,"£3,461.14",Credit Card,,N-T,N,,,,,,N,,,N,,O,
21199,Payables,H,"£206,473.28",Liability,,,N,,,,,,,,,,,,Y
21200,Trade Creditors,,"£162,817.02",Accounts Payable,,N-T,N,,,,,,,,,,,O,
21205,Other Creditors,,"£43,656.26",Other Liability,,N-T,N,,,,,,,,,,,O,
21210,A/P Accrual - Inventory,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21250,Provision for Tax,,"£33,579.00",Other Liability,,N-T,N,,,,,,,,,,,O,
21280,Resident Withholding Tax,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21300,GST Liabilities,H,"£276,385.32",Liability,,,N,,,,,,,,,,,,Y
21310,GST Collected,,"£341,539.47",Other Liability,,N-T,N,,,,,,,,,,,O,
21330,GST Paid,,"-£98,364.57",Other Liability,,N-T,N,,,,,,,,,,,O,
21335,GST Liability - Trade Debtors,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21340,GST Liability - FBT Recovered,,£225.18,Other Liability,,N-T,N,,,,,,,,,,,O,
21350,Fuel Tax Credits Accrued,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21355,WET Payable,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21360,Import Duty Payable,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21370,Dividends Payable,,"£377,873.13",Other Liability,,N-T,N,,,,,,,,,,,O,
21371,Chattel Mortage - Audi A4,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21372,Unexpired Interest - Audi A4,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21373,Chattel Mortgage - Audi Q5,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21374,Unexpired Interest - Audi Q5,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21375,Chattel Mortgage - Alfa,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21376,Unexpired Interest - Alfa,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21377,Chattel Mortgage - Toyota,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21378,Unexpired Interest - Toyota,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21380,ABN Withholdings Payable,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21381,Chattel Mortgage - Porsche,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,Porsche purchased Oct 2016,O,
21382,Unexpired Interest - Porsche,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21383,Chattel Mortgage  - BYD,,"£35,309.34",Other Liability,,N-T,N,,,,,,,,,,,O,
21384,Unexpired  Interest -BYD,,"-£2,324.10",Other Liability,,N-T,N,,,,,,,,,,,O,
21390,Luxury Car Tax Payable,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21400,Payroll Liabilities,H,"£220,773.96",Liability,,,N,,,,,,,,,,,,Y
21410,Superannuation Payable,,"£71,435.46",Other Liability,,N-T,N,,,,,,,,,,,O,
21420,PAYG Withholding Payable,,"£149,338.50",Other Liability,,N-T,N,,,,,,,,,,,O,
21430,Salary Sac MV Payable,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
21500,Accrued LSL & AL,,"£374,632.88",Other Liability,,N-T,N,,,,,,,,,,,O,
21560,Child Support Payments,,-£85.95,Other Liability,,N-T,N,,,,,,,,,,Child Support Payments,O,
21600,Customer Deposits,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
21700,Accrued expenses,,£0.00,Other Liability,,FRE,N,,,,,,,,,,General accrued expenses,O,
21800,Unearned Revenue,,"£92,480.00",Other Liability,,N-T,N,,,,,,,,,,,O,
21900,Other Current Liabilities,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
22000,Long Term Liabilities,H,£0.00,Liability,,,N,,,,,,,,,,,,Y
22100,ANZ Business Loan,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
22200,Chattel Mortgage - Alfa,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
22201,Unexpired Interest - Alfa,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
22202,Chattel Mortgage - Merc,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
22203,Unexpired Int - Merc,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
22204,Chattel Mortgage - BMW,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
22205,Unexpired Int - BMW,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
22206,Chattel Mortgage - Mitsubishi,,£0.00,Long Term Liability,,N-T,Y,,,,,,,,,,,F,
22207,Unexpired Int - Mitsubishi,,£0.00,Long Term Liability,,N-T,Y,,,,,,,,,,,F,
22210,Chattel Mortgage - Porche,,£0.00,Long Term Liability,,N-T,Y,,,,,,,,,,,F,
22211,Unexpired Interest - Porche,,£0.00,Long Term Liability,,N-T,Y,,,,,,,,,,,F,
22300,Other Long Term Liabilities,,£0.00,Other Liability,,N-T,Y,,,,,,,,,,,O,
23000,Provison for credit,,£0.00,Other Liability,,N-T,N,,,,,,,,,,,O,
30000,Equity,H,"£2,225,713.28",Equity,,,N,,,,,,,,,,,,Y
31000,Owner's/Shareholder's Equity,H,"£297,945.40",Equity,,,N,,,,,,,,,,,,Y
31100,Owner's/Sharehldr Capital,,"£297,945.40",Equity,,N-T,N,,,,,,,,,,,F,
31200,Owner's/Sharehldr Drawings,,£0.00,Equity,,N-T,N,,,,,,,,,,,F,
38000,Retained Earnings,,"£1,944,392.23",Equity,,N-T,N,,,,,,,,,,,F,
39000,Current Year Earnings,,"-£16,624.35",Equity,,N-T,N,,,,,,,,,,,,
39999,Historical Balancing,,"£4,153.39",Equity,,N-T,N,,,,,,,,,,,F,
40000,Income,H,"£6,619,025.13",Income,,,N,,,,,,,,,,,,Y
41000,Consulting Fees,,"£3,708,039.46",Income,,GST,N,,,,,,,,,,,,
41100,NSW Consulting Fees,,"£2,370,142.11",Income,,GST,N,,,,,,,,,,,,
41500,AWC Consulting Fees,,"£536,322.55",Income,,GST,N,,,,,,,,,,,,
42000,Product Sales,,£0.00,Income,,GST,N,,,,,,,,,,,,
43000,Expenses Reimbursed,,£0.00,Income,,GST,N,,,,,,,,,,,,
44000,SUSPENSE,,"£4,521.00",Income,,N-T,N,,,,,,,,,,,,
45000,FBT Recovered,,£0.00,Income,,N-T,Y,,,,,,,,,,,,
45500,Freight Recovered,,£0.00,Income,,GST,N,,,,,,,,,,,,
46000,Late Fees Collected,,£0.01,Income,,N-T,N,,,,,,,,,,,,
48000,Miscellaneous Income,,£0.00,Income,,N-T,Y,,,,,,,,,,,,
49000,Fuel Tax Credits,,£0.00,Income,,N-T,Y,,,,,,,,,,,,
50000,Cost of Sales,H,"£3,098,377.08",Cost of Sales,,,N,,,,,,,,,,,,Y
51000,Purchases - Maintenance and Consumables,,"£28,993.16",Cost of Sales,,GST,N,,,,,,,,,,,,
51050,Purchases - Technical Equipment,,"£38,897.43",Cost of Sales,,GST,N,,,,,,,,,,,,
51051,Purchases Safety Equipment - Non-Project,,£0.00,Cost of Sales,,GST,N,,,,,,,,,,,,
51100,Client Registration Systems - Non-Project,,"£1,891.12",Cost of Sales,,GST,N,,,,,,,,,,,,
51200,"Safety, Training and Inductions - Non Project",,"£3,922.44",Cost of Sales,,GST,N,,,,,,,,,,,,
51300,Medicals - Non Project,,"£10,536.47",Cost of Sales,,GST,N,,,,,,,,,,,,
51500,Technical Software - Non Project,,£483.09,Cost of Sales,,GST,N,,,,,,,,,,,,
52000,Purchases - Resale,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
53000,Not in use,H,£0.00,Cost of Sales,,,N,,,,,,,,,,,,N
53200,cos/purchases,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
53400,COSDISBURSEMENT,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
54000,Consulting Fee Costs,H,"£2,646,756.55",Cost of Sales,,,N,,,,,,,,,,,,Y
54100,Consulting - Materials,,"£16,012.42",Cost of Sales,,GST,N,,,,,,,,,,,,
54200,Consulting - Salaries,,"£1,361,187.72",Cost of Sales,,N-T,N,,,,,,,,,,,,
54300,Consulting - Subcontractors,,"£448,972.44",Cost of Sales,,GST,N,,,,,,,,,,,,
54301, Trendspek - job specific cost,,£0.00,Cost of Sales,,GST,N,,,,,,,,,,,,
54350,Consulting - Subcontractor CAD,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
54400,Consulting - Consultants,,"£208,660.97",Cost of Sales,,GST,N,,,,,,,,,,,,
54500,Consulting - Travel,,"£160,430.68",Cost of Sales,,GST,N,,,,,,,,,,,,
54501,Consulting - Own Car KM's travel,,"£23,953.61",Cost of Sales,,N-T,N,,,,,,,,,,,,
54600,Consulting - LAFHA,,£0.00,Cost of Sales,,N-T,Y,,,,,,,,,,,,
54700,Consulting - Car Allowance,,£0.00,Cost of Sales,,N-T,Y,,,,,,,,,,,,
54750,Consulting - Trendspek,,"£44,182.43",Cost of Sales,,GST,N,,,,,,,,,,,,
54800,"Consulting - Safety, Training and Inductions",,"£1,699.21",Cost of Sales,,GST,N,,,,,,,,,,,,
54810,Training costs - not reimbursed,,£295.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
54820,Consulting - Medicals,,£219.99,Cost of Sales,,GST,N,,,,,,,,,,,,
54850,Infracorr Vehicle fuel/tolls,,£0.00,Cost of Sales,,GST,N,,,,,,,,,,,,
54900,Sales - Other Costs,,"£1,700.41",Cost of Sales,,GST,N,,,,,,,,,,,,
54910,Sales - Own Car KM's travel,,£135.75,Cost of Sales,,FRE,N,,,,,,,,,,,,
54920,Sales - Travel,,£525.14,Cost of Sales,,GST,N,,,,,,,,,,,,
54930,Sales - Salaries,,"£378,780.78",Cost of Sales,,N-T,N,,,,,,,,,,,,
55000,Product Sales Costs,H,£0.00,Cost of Sales,,,N,,,,,,,,,,,,Y
55100,Product Sales - Materials,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
55200,Product Sales - Salaries,,£0.00,Cost of Sales,,N-T,N,,,,,,,,,,,,
55300,Product Sales - Subcontractors,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
55400,Product Sales - Consultants,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
55500,Product Sales - Travel,,£0.00,Cost of Sales,,GST,Y,,,,,,,,,,,,
58000,Discounts Given,,£0.00,Cost of Sales,,GST,N,,,,,,,,,,,,
59000,Business Development,H,"£366,896.82",Cost of Sales,,,N,,,,,,,,,,,,Y
59100,Business Development,,"£4,739.77",Cost of Sales,,GST,N,,,,,,,,,,,,
59110,Advertising & Promotion,,"£18,612.53",Cost of Sales,,GST,N,,,,,,,,,,,,
59120,Conference & Seminar Costs,,"£11,260.94",Cost of Sales,,GST,N,,,,,,,,,,,,
59130,BD - External Consulting,,"£4,915.00",Cost of Sales,,GST,N,,,,,,,,,,,,
59140,BD - Corporate Memberships,,£950.00,Cost of Sales,,GST,N,,,,,,,,,,,,
59200,BD - Salaries,,"£293,191.92",Cost of Sales,,N-T,N,,,,,,,,,,,,
59500,BD - Travel,,"£32,583.06",Cost of Sales,,GST,N,,,,,,,,,,,,
59501,BD - Own Car KM's travel,,£643.60,Cost of Sales,,N-T,N,,,,,,,,,,,,
60000,Expenses,H,"£2,851,833.51",Expense,,,N,,,,,,,,,,,,Y
61000,General & Administrative Exp,H,"£590,241.83",Expense,,,N,,,,,,,,,,,,Y
61010,Advertising & Promotion,,£0.00,Expense,,GST,N,,,,,,,,,,,,
61015,Accounting,,"£8,490.00",Expense,,GST,N,,,,,,,,,,,,
61017,Amortisation Expense,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
61019,Bad Debts,,"£2,415.00",Expense,,N-T,N,,,,,,,,,,,,
61020,Bank Fees & Charges,,"£3,544.08",Expense,,N-T,N,,,,,,,,,,,,
61021,Computing Equiptment,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61022,Borrowing Costs,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
61030,Internal Conference and Seminars,,"£43,184.13",Expense,,GST,N,,,,,,,,,,,,
61035,Business Consultants,,"£49,729.50",Expense,,GST,N,,,,,,,,,,,,
61036,Couriers,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61037,Quality/OHS Audits,,"£7,025.03",Expense,,GST,N,,,,,,,,,,,,
61038,Human Resources,,£0.00,Expense,,GST,N,,,,,,,,,,,,
61040,Depreciation - Capital <$1000,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
61050,Depreciation,,"£45,042.53",Expense,,N-T,N,,,,,,,,,,,,
61060,Directors Fees,,"£6,250.00",Expense,,N-T,N,,,,,,,,,,,,
61070,Donations,,"£4,828.00",Expense,,FRE,N,,,,,,,,,,,,
61080,Business Development,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61090,Office Equipment Purchase,,"£1,019.21",Expense,,GST,N,,,,,,,,,,,,
61100,Filing Fees,,"£1,201.00",Expense,,FRE,N,,,,,,,,,,,,
61110,Fines,,£120.00,Expense,,FRE,N,,,,,,,,,,,,
61120,General Expenses,,£0.00,Expense,,GST,N,,,,,,,,,,,,
61130,Hire/Rent Plant & Equipment,,"£1,817.92",Expense,,GST,N,,,,,,,,,,,,
61140,Insurance,,"£120,288.40",Expense,,GST,N,,,,,,,,,,,,
61149,ICT head account,H,"£66,741.43",Expense,,,N,,,,,,,,,,,,N
61150,ICT - Services and Consumables,,"£56,642.06",Expense,,GST,N,,,,,,,,,,,,
61151,ICT - Hardware and CAPEX,,"£42,741.31",Expense,,N-T,N,,,,,,,,,,,,
61152,ICT - Consulting,,"£35,548.89",Expense,,GST,N,,,,,,,,,,,,
61153,Telephone,,"£23,151.14",Expense,,GST,N,,,,,,,,,,,,
61154,Telephone - Hardware,,"£8,041.40",Expense,,GST,N,,,,,,,,,,,,
61155,ICT - Internet,,£0.00,Expense,,GST,N,,,,,,,,,,,,
61160,Interest - Australia,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61165,Legal Fee,,"£1,864.00",Expense,,GST,N,,,,,,,,,,,,
61170,Materials & Supplies,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61175,Purchases,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61180,M/V Car - Fuel & Oil,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61181,MV/PARKING/TOLLS,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61182,MV - Km's,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61185,MV - Depreciation,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
61190,M/V Car - Lease,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
61195,MV - Interest,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61200,M/V Car - Rego/Insurance - Tesla,,£731.26,Expense,,GST,N,,,,,,,,,,,,
61205,M/V Car - Rego/Insurance - BYD,,"£1,995.54",Expense,,N-T,N,,,,,,,,,,,,
61207,M/V Car - Rego/ Insurance - Huyndai,,£0.00,Expense,,GST,N,,,,,,,,,,,,
61210,M/V Car - Maintenance/Repairs - Tesla,,£218.14,Expense,,GST,N,,,,,,,,,,,,
61212,M/V Car - Maintenance/Repairs - BYD,,"£1,495.99",Expense,,GST,N,,,,,,,,,,,,
61213,M/V Car Maintenance/ Repair - Hyundai,,£0.00,Expense,,GST,N,,,,,,,,,,,,
61215,Office Expenses,,"£16,228.29",Expense,,GST,N,,,,,,,,,,,,
61220,"Printing, Stationery & Postage",,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61230,Protective Clothing,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61240,Petty Cash,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61250,Building Repairs & Maintenance,,"£10,691.00",Expense,,GST,N,,,,,,,,,,,,
61260,"Replacements (Tools, etc)",,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61262,Safety Ware,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61265,Salaries,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61266,Salaries - Car allowance,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61267,Salaries - Novated Lease,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
61268,Night Shift Allowance,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61269,Superannuation,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61270,Security,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61280,Staff Amenities,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61281,Health & Fitness,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61290,Software subscriptions,,"£45,102.56",Expense,,GST,N,,,,,,,,,,,,
61295,SUSPENSE,,£0.00,Expense,,N-T,N,,,,,,,,,,,,
61300,Telephone - Services Fees,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61301,Telephone - Hardware,,£0.00,Expense,,GST,Y,,,,,,,,,,,,
61310,Training,,"£19,542.35",Expense,,GST,N,,,,,,,,,,,,
61400,Travel Expenses - Admin,,"£25,320.22",Expense,,GST,N,,,,,,,,,,,,
61401,Admin - Own Car KM's travel,,£972.88,Expense,,N-T,N,,,,,,,,,,,,
61450,Travel Allowance - Admin,,"£5,000.00",Expense,,N-T,N,,,,,,,,,,,,
61600,Discounts Taken,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
61700,Freight Paid,,£0.00,Expense,,N-T,Y,,,,,,,,,,,,
