Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Invoice No.,Date,Customer PO,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Salesperson Last Name,Salesperson First Name,Promised Date,Referral Source,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Sale Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Amount Paid,Payment Method,Payment Notes,Name on Card,Card Number,Authorisation Code,BSB,Account Number,Drawer/Account Name,Cheque Number,Category,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight Frank Australia Pty Ltd,,Knight Frank Australia Pty Ltd,"Level 31, 360 Collins Street",Melbourne  VIC  3000,,,100831,30/06/2022,,,P,To write off bad debts,61019,"($12,000.69)",,,Sale; Knight Frank Australia Pty Ltd,,,,,N-T,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"($12,000.69)",,,,,,,,,,,1207,1332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owners Corporation Plan 329917K-3 C/o Ace Body Cor,,Owners Corporation Plan 329917K-3 C/o Ace Body Cor,PO Box 240,SURREY HILLS  VIC  3217,,,100832,30/06/2022,,,P,To write off Bad debts,61019,"($2,384.33)",,,Sale; Owners Corporation Plan 329917K-3 C/o Ace Body Cor,,,,,N-T,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"($2,384.33)",,,,,,,,,,,C2159,2469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape Australia Pty Ltd,,Shape Australia Pty Ltd,"Level 7, 5 Queens Road",MELBOURNE  VIC  3004,,,100833,30/06/2022,,,P,To write off bad debts,61019,"($1,064.25)",,,Sale; Shape Australia Pty Ltd,,,,,N-T,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"($1,064.25)",,,,,,,,,,,C2077,2446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE UNIVERSITY OF SYDNEY,,,,,,X,100834,19/02/2024,,,A,,46000,$0.01 ,,,Finance Charge; THE UNIVERSITY OF SYDNEY; CR002962,,,,,N-T,$0.00 ,$0.00 ,,$0.00 ,I,0,0,0,0,0,$0.01 ,EFTPOS,,,,,,,,,,C1584,2721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM Alliance Coal Operations Pty Ltd,,BM Alliance Coal Operations Pty Ltd,"Level 22, 71 Eagle Street",Brisbane  QLD  4000,,,100836,31/03/2024,,,P,Adjustment for Invoice 2505IC,41000,$0.74 ,,,Sale; BM Alliance Coal Operations Pty Ltd,,,,,GST,$0.07 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.83 ,,,,,,,,,,,1221,1606
BM Alliance Coal Operations Pty Ltd,,BM Alliance Coal Operations Pty Ltd,"Level 22, 71 Eagle Street",Brisbane  QLD  4000,,,100836,31/03/2024,,,P,Adjustment for Invoice 2505IC,41000,$0.01 ,,,Sale; BM Alliance Coal Operations Pty Ltd,,,,,GST,$0.01 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.83 ,,,,,,,,,,,1221,1606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM Alliance Coal Operations Pty Ltd,,BM Alliance Coal Operations Pty Ltd,"Level 22, 71 Eagle Street",Brisbane  QLD  4000,,,100837,31/03/2024,,,P,Adjustment for 2389IC,41000,($101.34),,,Sale; BM Alliance Coal Operations Pty Ltd,,,,,GST,($10.13),$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($111.47),,,,,,,,,,,1221,1606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassell Limited,,Hassell Limited,61 Collins Street,Melbourne  VIC  3000,,,100838,27/06/2024,,,A,2791IC Overpaid to be refund,44000,"$4,521.00 ",,,Sale; Hassell Limited,,,,,N-T,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"$4,521.00 ",EFTPOS,,,,,,,,,,C2517,2749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cbus Property Melbourne  P/L,,Cbus Property Melbourne  P/L,"Level 14, 447 Collins Street",MELBOURNE  VIC  3000,,,100839,30/06/2024,,,P,Bad debts write off,61019,"($2,415.00)",,ARI-20240826,Sale; Cbus Property Melbourne  P/L,,,,,GST,($241.50),$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"($2,656.50)",,,,,,,,,,,C2430,2646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA Foundation Limited,,ACA Foundation Limited,"Building V, 30A Jessie Street,",Preston  VIC  3072,,,100840,9/12/2024,,,A,Razana Razak ACA conference cost reimbursement,59500,"$2,000.00 ",,,Sale; ACA Foundation Limited,,,,,GST,$200.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"$2,200.00 ",EFTPOS,,,,,,,,,,N00014,2905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australasian Corrosion Association,,Australasian Corrosion Association,,,,,100841,16/12/2024,,,A,Shamir Bhuiyan ACA conference cost reimbursement,59500,"$2,100.00 ",,,Sale; Australasian Corrosion Association,,,,,GST,$210.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.00 ,,,,,,,,,,,1013,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA Foundation Limited,,ACA Foundation Limited,"Building V, 30A Jessie Street,",Preston  VIC  3072,,,100842,16/01/2025,,,P,"Flight for Donna Rutherford to ACA conference, paid by Infracorr",59500,$516.45 ,,,Sale; ACA Foundation Limited,,,,,GST,$51.64 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$568.09 ,EFTPOS,,,,,,,,,,N00014,2905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Godson Superannuation Fund,,Ian Godson Superannuation Fund,C/- 20 Business Park Drive,Notting Hill  VIC  3168,,,100843,21/02/2025,,,A,Reimbursement the maintenance cost for the office roller shutter,85000,"$5,200.00 ",,,Sale; Ian Godson Superannuation Fund,,,,,GST,$520.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"$5,720.00 ",,,,,,,,,,,C1062,2348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP Capital Investors Ltd,,AMP Capital Investors Ltd,c/o Winton Associates,PO Box 1075,North Sydney  NSW  2059,,100844,26/03/2025,CRN,,P,CRN for amount over paid,41000,($6.70),,,Sale; AMP Capital Investors Ltd,,,,,GST,($0.67),$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($7.37),,,,,,,,,,,1009,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beca Pty Ltd,,Beca Pty Ltd,"Level 4, 825 Ann Street",Fortitude Valley  QLD  4006,,,100845,26/03/2025,Adj,,P,Adjustment ,41000,$5.04 ,,,Sale; Beca Pty Ltd,,,,,GST,$0.50 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$5.54 ,,,,,,,,,,,C2103,2442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Engineering Pty Ltd,,Building Engineering Pty Ltd,125 Hawke Street,WEST MELBOURNE  VIC  3003,,,100846,26/03/2025,ADJ,,P,Adjustment,41000,$0.02 ,,,Sale; Building Engineering Pty Ltd,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.02 ,,,,,,,,,,,C1986,2363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Legal,,Crawford Legal,"Level 1, 139 Frome Street",ADELAIDE  SA  5000,Australia,,100847,26/03/2025,CRN,,P,CRN for 2513IC to adjust,41000,($0.88),,,Sale; Crawford Legal,,,,,GST,($0.09),$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.97),,,,,,,,,,,C2299,2547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine & Civil Maintenance PL,,Marine & Civil Maintenance PL,PO Box 1466,Camberwell East  VIC  3126,,,100848,26/03/2025,CRN,,P,CRN for 3960IC,41000,($0.02),,,Sale; Marine & Civil Maintenance PL,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.02),,,,,,,,,,,1092,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ports Authority of New South Wales - Sydney,,Ports Authority of New South Wales - Sydney,PO Box 25,Millers Point  NSW  2000,Australia,,100849,26/03/2025,CRN,,P,CRN for 2600IC,41000,($0.01),,,Sale; Ports Authority of New South Wales - Sydney,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.01),,,,,,,,,,,1211,1434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE UNIVERSITY OF SYDNEY,,THE UNIVERSITY OF SYDNEY,"Level 3, Jane Foss Russell Building (G02). Darlington Campus",Darlington  NSW  2006,,,100850,26/03/2025,Adjustment,,A,Adjsutment,41000,$0.65 ,,,Sale; THE UNIVERSITY OF SYDNEY,,,,,GST,$0.06 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.71 ,,,,,,,,,,,C1584,2721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trendspek Operations Pty Limited,,Trendspek Operations Pty Limited,"Level 1, 477 Pitt Street",Sydney  NSW  2000,,,100851,26/03/2025,CRN,,P,CRN for 2978IC and 3102IC,41000,($0.02),,,Sale; Trendspek Operations Pty Limited,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.02),,,,,,,,,,,C2246,2603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Towers Limited,,Twin Towers Limited,41 Summit Road,MOUNT BULLA  VIC  3723,Australia,,100852,26/03/2025,CRN,,P,CRn for 3196IC,41000,($0.01),,,Sale; Twin Towers Limited,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.01),,,,,,,,,,,C2309,2550
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Melbourne,,University of Melbourne,Property & Campus Services,625 Swanson Street,Carlton  VIC  3053,,100853,26/03/2025,ADJ,,P,Adjustment for 3105IC,41000,$0.01 ,,,Sale; University of Melbourne,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.01 ,,,,,,,,,,,1149,130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventia Australia Pty Ltd ,,Ventia Australia Pty Ltd ,"Level 8, 80  Pacific Highway",NORTH SYDNEY  NSW  2060,,,100854,26/03/2025,ADJ,,P,Adjustment for 2709IC,41000,$0.01 ,,,Sale; Ventia Australia Pty Ltd ,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.01 ,,,,,,,,,,,1293,2111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM Alliance Coal Operations Pty Ltd,,BM Alliance Coal Operations Pty Ltd,"Level 22, 71 Eagle Street",Brisbane  QLD  4000,,,100855,3/4/2025,,,P,Adjustment,41000,($0.02),,,Sale; BM Alliance Coal Operations Pty Ltd,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.02),,,,,,,,,,,1221,1606
