ContactName,AccountNumber,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PhoneNumber,MobileNumber,FaxNumber,EmailAddress,Website,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,Discount,TaxNumber,BankAccountNumber,BankAccountName,SalesAccount,DueDateSalesDay,DueDateSalesTerm
Windsor Park Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Armadale Health Service,,,,,,,,,,6444 5143,,,HCN.NurseWestAdminFinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
St John of God - Subiaco,,Group.accountspayable@sjog.org.au,Individually in PDF attachment with the word STATEMENT on the subject line,,,,,,,9261 3315,,,group.accountspayable@sjog.org.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Odontia,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Bentley Hospital,,,,,,,,,,9334 3611,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
St John of God - Murdoch,,,,,,,,,,9261 3315,9261 3320 finance,,group.accountspayable@sjog.org.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Perth Radiological Clinic Midland,,,,,,,,,,,,,Matt.McQuillan@perthradclinic.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Radiowave Therapy Clinic,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Casuarina Prison - Outpatients,,***NO CREDIT NOTES***,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Casuarina Prison - Infirmary,,***NO CREDIT NOTES***,,,,,,,,08 9411 5444,9264 6225 head office,08 9411 5437,dawn.penhorwood@correctiveservices.wa.gov.au,,Kaye Couzins,,,,,,,,,0.0,,,,,30.0,5.0
Silver Chain - Crisis Respite Care,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Bethesda Hospital Inc,,,,,,,,,,9340 6422,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Armadale Health Service and Mental Health,,,,,,,,,,see card details,,,beatrice.forbes@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Graylands Hospital,,,,,,,,,,6444 5143,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Murdoch Dental Centre,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Shoalwater Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Manning,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Castledare Village,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Alma Street Centre,,,,,,,,,,6444 5143,,,HCN.NurseWestAdminFinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Fremantle Hospital & Health Service,,HSS.NurseWestAdministrationFinance@health.wa.gov.au,,,,,,,,6444 5143,,,hss.apvendor@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Disability Services Commission,,,,,,,,,,9426 9200,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Sir Charles Gairdner Hospital - PCA,,;rushton.hunt@health.wa.gov.au.;Luba.Kovalenko@health.wa.gov.au,,,,,,,,6444 5143,,,SCGOPHCGFinance.ClinicalCorporate@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,2.0
Dental Integrity,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Oat Street,,,,,,,,,,9202 2876,site - see details,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,2.0
Woodlake Aged Care (aegis),,,,,,,,,,,,,woodlake@aegiscare.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Balcatta,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Armadale Nursing Centre,,,,,,,,,,9399 3132,,9497 3928,,,,,,,,,,,,0.0,,,,,30.0,5.0
123 Dental,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Weston Lodge,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Elloura Lodge,,,,,,,,,,(03) 8573-0444,,(03) 8573-0422,accountspayable@regis.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Craigwood (Craigcare Como),,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Maurice Zeffert Home (Inc),,,,,,,,,,9375 4600,,,accounts@mzh.org.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Bassendean Aged Care-AEGIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Silver Chain - Maddington,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Winthrop Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Mindarie Quinns Dental Centre,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Wesley College,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Wooroloo Prison Farm,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Ellenbrook Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Hakea Co-Morbidity,,,,,,,,,,9264 1093,OSS1300345677,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Northbridge Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Kardinya Dental,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Hills Family Dental Centre,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Eastern Goldfields Regional Prison,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Roleystone District High School,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Nursewest Public Health Division,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Sir Charles Gairdner Hospital - Ward D20,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Swan Health Service Mental Health,,,,,,,,,,9347 5789,,,rodney.gingrich@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Greenough Regional Prison,,,,,,,,,,9923 6528,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Joondalup Health Campus Mental Health Unit.,,,,,,,,,,,,,accountspayable.vim@ramsayhealth.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Kevin and Christine Cass-Ryall,,,,,,,,,,,,,cass-ryalk@ramsayhealth.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Julie Beeck,,,,,,,,,,,,,julie.beeck@synovate.com,,,,,,,,,,,0.0,,,,,30.0,5.0
Chris and Vicki Prastidis,,,,,,,,,,,,,chrisp@wavessurfwear.com,,,,,,,,,,,0.0,,,,,30.0,5.0
Debbie Karasinski,,,,,,,,,,,,,dkarasinski@senses.asn.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Bernie & Dawn Eastman,,Director,BDMS Eastman Pty Ltd,4 Gifford Gardens,,CITY BEACH,WA,6015,,,,,eastman@vianet.net.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Tony & Carolyn Monissee,,,,,,,,,,,,,tony.monisse@brentnallswa.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Harry and Rita Kleyn,,,,,,,,,,,,,harry@wabusinessnews.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Graham Greenacre and Margaret,,,,,,,,,,,,,graham.greenacre@ghd.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Mike & Hilary Gallagher,,,,,,,,,,,,,mike.gallagher@L-3com.com,,,,,,,,,,,0.0,,,,,30.0,5.0
Douglas Ockerby and Partner,,,,,,,,,,,,,doug@ockerby.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Peter and Shelley Carter,,,,,,,,,,,,,pwc@crosbytiles.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Carine Dental Surgery,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Booragoon Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
South East Metropolitan Languag Development Cntr,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Mitch Artus,,Managing Director,Downings Legal,PO Box 7222,,CLOISTERS SQUARE,WA,6850,,,,,martus@downings.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Sonja Bogunovich,,Executive Dean School Business,University of Notre Dame Australia,PO Box 225,,FREMANTLE,WA,6959,,,,,sbogunovich@nd.edu.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Anthony Monisse,,,,,,,,,,,,,tony.monisse@brentnallswa.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Peter & Judy Stannard,,,,,,,,,,,,,pstannard@peterstannard.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Nursing Australia,,,,,,,,,,13 10 95,,,sally.decarle@nursingaustralia.com,,,,,,,,,,,0.0,,,,,30.0,5.0
Culunga Aboriginal community school,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Edgewater,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
St Ives - Murdoch,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Pardelup Prison Farm,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Albany Regional Prison,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Casuarina Prison - Co Morbidity,,,,,,,,,,9411 5478,,,dawn.penhorwood@correctiveservices.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
ZZWood Recruitment,,PO Box 998,,,,Subiaco,WA,6904,,9221 8122,,9221 8277,,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Ellison House,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,2.0
Communical Disease North Public Health Unit,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Stephen & Sue O'Keefe,,,,,,,,,,,,,saokeefe3011@gmail.com,,,,,,,,,,,0.0,,,,,30.0,5.0
Liam & Michelle Taylor,,,,,,,,,,,,,centremanager@surgefitness.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
"Bentley Hospital (wd 1,2,3,4 &5)",,,,,,,,,,6444 5143,,,HCN.NurseWestAdminFinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
"Bentley Adult Mental Health 6,7,8,9,10",,,,,,,,,,9334 3866,Lexie Wills,,blmhrosteroffice@health.wa.gov.au,hcn.apfinance@health.wa.gov.au,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Sharon Ackerman,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Bentley Adolescent Unit (wd 5),,,,,,,,,,9416 3745,,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,0.0,,,,,30.0,5.0
Sir Charles Gairdner Hospital - AIN,,,,,,,,,,6457 2012,,,SCGOPHCGFinance.ClinicalCorporate@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Steve Erceg,,38 East Churchill Avenue,,,,BEELIAR,WA,6164,,08 9434 1940,0477 507 168,,steve_erz@yahoo.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Department of Child Protection,,,,,,,,,,9274 9411,,,Courtney.Buchanan@communities.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Selby Lodge,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Care Group,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
King Edward Memorial Hospital Mother & Baby,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Department of Education,c.86,,,,,,,,,,,,shaun.gledhill@education.wa.edu.au,,,,,,,,,,,0.0,,,,,14.0,2.0
St John Ambulance - Australia,,,,,,,,,,9334 1289,,,human.resources@ambulance.net.au,accounts.payable@stjohnambulance.com.au,,,,,,,,,,0.0,,,,,30.0,5.0
Regis - Weston Lodge,,,,,,,,,,,,,westonoc@regis.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Craig ZZ Van Heurck,,7 Watkins Road,,,,DALKEITH,WA,6009,,,,,,,,,,,,,,,,0.0,,,,8-1100,30.0,5.0
ZZTitan Recruitment,,PO Box 1209,,,,WEST PERTH,WA,6872,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Rockingham-Kwinana District Hospital Mental Health,,POSTED,,,,,,,,9599 4000 reception,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Amberly Nursing Home - Aegis,,,,,,,,,,6254 8225,,,accounts@aegiscare.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
ZZ Pact Construction,,PO Box 701,,,,Cloverdale,WA,6985,,9340 5900,0478 487 675,9201 8360,alongden@pactconstruction.com.au,pactconstruction.com.au,Site Manager,,,,,,,,,0.0,,,,6-2020,30.0,5.0
ZZ Wild West Hyundai,,PO Box 1578,Wangara Drive,,,WANGARA,WA,6947,,,,,,,,,,,,,,,,0.0,,,,8-1300,30.0,5.0
Brightwater Marangaroo (Discovery/Endevour),,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,2.0
ZZ Petrine Costigan Lawyers,Employment,"Suite 25, Level 16, 327-329 Pitt Street",,,,Sydney,NSW,2000,,02 8203 4609,,02 8203 3036,,,,,,,,,,,,0.0,,,,,30.0,5.0
Osborne Park Older Adult Mental Health,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Kailis House,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Osborne Park Hospital AIN,,,,,,,,,,9346 8279 finance,9346 8076 Ian,,ian.rowe@health.wa.gov.au,ophbedmanagement@health.wa.gov.au,,,,,,,,,,0.0,,,,,30.0,5.0
Royal Perth Hospital - AIN,,,,,,,,,,,,,vivienne.emmelman@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Graylands - MHOA,,,,,,,,,,6444 5143,,,HCN.NurseWestAdminFinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Department of Psychiatry - MHOA,,,,,,,,,,6444 5143,,,HCN.NurseWestAdminFinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Osborne Lodge,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Peel Mental Health Services,,PO Box 162,,,,Mandurah,WA,6210,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Southern Cross Care,,,,,,,,,,9282 9919,,,hcinvoices@scrosswa.org.au,home care invoices,,,,,,,,,,0.0,,,,,30.0,5.0
Osborne Aged Care Facility,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Joondalup,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,,,,,,,,,,,0.0,,,,,30.0,2.0
BaptistCare - Community Care,,,,,,,,,,9282 8616,,,melissa.mendolia@baptistcare.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Baptistcare - Kalkarni,,,,,,,,,,9282 8616,Head Office,,accounts.payable@baptistcare.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
ValleyView Residence (Southern Cross Care),,,,,,,,,,,,,rjohn@scrosswa.org.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Linear Clinical Research Ltd,,,,,,,,,,6151 0700,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Rise - Parkerville,,,,,,,,,,6274 3701,,,accountspayable@risenetwork.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater - Warnbro,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Rise - The Grove,,,,,,,,,,6274 3701,,,accountspayable@risenetwork.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Bentley,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,,,,,,,,,,,0.0,,,,,30.0,2.0
Rise - Kedining,,,,,,,,,,6274 3701,,,accountspayable@risenetwork.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Rise - Pioneer,,,,,,,,,,6274 3701,,,accountspayable@risenetwork.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Braemar Lodge,,,,,,,,,,9339 9445,,,accounts@braemar.org.au,,,,,,,,,,,0.0,,,,,30.0,5.0
