Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables,,
AJL001,Short term Safety support,OHS,D,Short Term safety report services at AJ Lucas , C&I Division-HDD,,0%,,,,,Y,Y,
ALE001,Allardyce Engineering,OHS,D,Development and roll out of HSE Management System,,0%,,,,,Y,Y,,
AAP001,Aust Associated Press,OHS,D,Perth Bureau workplace inspection,,0%,,,,,Y,Y,,
BMV001,Dev of Feasibility,ENV,D,Development of Environment studies for BMV feasibility study,Bob Thornton,0%,,,John Miragliotta,Bakyrchik Mining Venture LLP,Y,Y,,
BHP014,Develop of Documentation,OHS,D,Development of Operational & Maintenance Docmentation for the Newman Hub Fixed Plant,,0%,,,TWS,BHPB Shared Business Services,Y,Y,,
BHP021,Prov of OHS advisor,OHS,D,Provision of OHS Advisor at Ore Body 18,,0%,,,,,Y,Y,,
BHP022,JV - ALBA BHP,OHS,D,Provision of Technical writer to BHP Iron Ore- Fred Campbell,,0%,,,,,Y,Y,,
BHP020,,TRA,D,,,0%,,,,,Y,Y,,
CAV001,Cavotec Australia,OHS,D,Assistance with high risk action items identified during their Rio Tinto Cat 3 Pre-qualification audit,,0%,,,,,Y,Y,,
PML007a,Block IV & V DEIA,ENV,D,Project supervision and Management in Perth,,0%,,,,,Y,Y,,
ERS006a,,ENV,D,,,0%,,,,,Y,Y,,
ENI052b,General env support,ENV,D,General Environment Support,,0%,,,,,Y,Y,,
GEO005,Short term site safety,OHS,D,Short term site safety report,,0%,,,,,Y,Y,,
HAP001,Helicopters Australia,OHS,D,DEv and impllement an OHS Management System,,0%,,,,,Y,Y,,
IMO001,Lead Auditor services,ENV,D,Lead Auditor services for ICMI audits,,0%,,,,,Y,Y,,
RIO306,Access Infrastructure,TEC,D,,,0%,,,,,Y,Y,,
JHG010,Provision of Safety Advis,OHS,D,Provision of Safety Advisor at JHG Worsley Site- David Kennedy,,0%,,,,,Y,Y,,
JHG011,Safety Advisor -D.Gries,OHS,D,Safety Advisor -David Gries,,0%,,,,,Y,Y,,
JHG008,Provision-Safety Manager,OHS,D,Provision of Operation Safety Manager ( Chris Coutinho ) under direction of Regional Safety Manager,Nathan Cracknell,0%,,,Ahmed Saeed,John Holland Pty Ltd,Y,Y,,
JHG007,Occ: Safety Manager,OHS,D,Provision of services of Occupational Safety Manager-Kylie Webb,,0%,,,,,Y,Y,,
MGI004A,Koolan Island safety off,OHS,D,Koolan Island safety office Dec 09 to June10,,0%,,,,,Y,Y,,
MAC001,Macmahon,OHS,D,Macmahon procedure writing,,0%,,,,,Y,Y,,
MDP001,Mitsuibishi Dev Pty Ltd,OHS,D,Safety Management and Compliance Audit,,0%,,,,,Y,Y,,
MGI005,OHS performance audit,OHS,D,OHS Performance audit for Tallering Peak and Koolan Island Operations,,0%,,,,,Y,Y,,
IMM029,Ivanhoe Mines Mongolia,ENV,D,,,0%,,,,,Y,Y,,
IMM030a,Offshore ESIA Support,ENV,D,Offshore services ( Australia) for the Oyu Tolgoi Proj: Assistance & development of ESIA for IFC/EBRD requirements,,0%,,,,,Y,Y,,
PWB002,Petrowaste Busters,OHS,D,Consulting Services on HSE issues related to waste management,,0%,,,,,Y,Y,,
TPI001,Transpacific Industries,ENV,D,Transpacific Industries Group Ltd,,0%,,,,,Y,Y,,
TDS001,Tricon Drilling,OHS,D,Development and roll out of HSE Management System,Graeme Evans,0%,,,,,Y,Y,,
RIO236,Banlaw Pty Ltd,TEC,D,,,0%,,,,,Y,Y,,
RIO248,Kangavans,TEC,D,,,0%,,,,,Y,Y,,
RIO111,Total Corrosion Managemen,TEC,D,,,0%,,,,,Y,Y,,
RIO339,Global Testing Services,TEC,D,,,0%,,,,,Y,Y,,
RIO348,Powerlines Plus,TEC,D,,,0%,,,,,Y,Y,,
RIO349,Radlink Communication,TEC,D,,,0%,,,,,Y,Y,,
RIO350,Onesteel,TEC,D,,,0%,,,,,Y,Y,,
RIO351,DART International,TEC,D,,,0%,,,,,Y,Y,,
RIO353,Drillline Pty Ltd,TEC,D,,,0%,,,,,Y,Y,,
RIO355,I.Power Solution,TEC,D,,,0%,,,,,Y,Y,,
RTB001,Safety support service,OHS,D,Short term Safety Support- Kat Hampson,,0%,,,,,Y,Y,,
TRC001,Env Auditor Cert,TRA,D,Thompson REuters Environmental Audit Certificate W/shop at Duxton Hotel 8-12 Mar 2010,,0%,,,,,Y,Y,,
EPL001,ENI Pakistan Ltd,SCA,D,ENI Pakistan Ltd,,0%,,,,,Y,Y,,
SCA000,SCA000,SCA,D,,,0%,,,,,Y,Y,,
NMC007,Newmont,ENV,D,,,0%,,,,,Y,Y,,
STR005,EHS MS Audit,ENV,D,,,0%,,,,,Y,Y,,
SAS000,SAS000,Assurance,D,,,0%,,,,,N,Y,,
NMC005,NMC005,ENV,D,,,0%,,,,,Y,Y,,
CAV002,Cavotec,OHS,D,Assistance with high risk action items,,0%,,,,,Y,Y,,
CAP009,Follow up Koolyanobbing,ENV,D,Perform the following services for Cliffs' Koolyanobbing operations,,0%,,,,,Y,Y,,
POR002,Koolyanobbing,ENV,D,Koolyanobbing Pits ABC Approvals,,0%,8/1/2008,,,Cliffs Asia Pacific Iron Ore Pty Ltd,Y,Y,,
BER001,FH Bertling,OHS,D,HSE Management System Gap analysis,,0%,,,,,Y,Y,,
BER002,FH Bertling,OHS,D,Cadia East Expension Project,,0%,,,,,Y,Y,,
GEO006,Safety support-Pluto proj,OHS,D,Safety support-Pluto proj Nabeel Akram,,0%,,,,,Y,Y,,
MGR001,Marble Group,OHS,D,OHS management system,,0%,,,,,Y,Y,,
MSF001,Mine Site Fencing,OHS,D,Support of development of Safety Management System,,0%,,,,,Y,Y,,
NGA001,Ngarda Civil & Mining,OHS,D,Critical Task assessment /Gap Analysis & develop relevant work instructions for all Ngarda current operations,,0%,,,,,Y,Y,,
IMM031,ESIA Support,ENV,D,ESIA Support Mongolia,,0%,,,,,Y,Y,,
IMM032,ESIA Support Australia,ENV,D,ESIA Support Australia,,0%,,,,,Y,Y,,
SDA002,Sundance Resource,ENV,D,Review ESIAfor Mbalam Project Cameroon against Int'l Finance Corp IFC Standards,,0%,,,,,Y,Y,,
WPR004,Western Power,OHS,D,Development of auditing system,,0%,,,,,Y,Y,,
WPR005,Western Power,OHS,D,Western Power Evaluate internal review,,0%,,,,,Y,Y,,
TDS002,Tricon Drilling,OHS,D,Provision of ongoing HSE assistance & development,,0%,,,,,Y,Y,,
RTR002,Rio Tinto Iron Ore,OHS,D,Assist to develop the O&M component of internal feasibility report for the rail expansion project,,0%,,,,,Y,Y,,
RIO358,IMP Group Pty Ltd,TEC,D,IMP Group Pty Ltd,,0%,,,,,Y,Y,,
RIO346,Aggreko,TEC,D,Aggreko,,0%,,,,,Y,Y,,
RIO187,Rock on Group,TEC,D,Rock on Group,,0%,,,,,Y,Y,,
RIO341,Access Unlimited,TEC,D,Access Unlimited,,0%,,,,,Y,Y,,
RIO343,Welltech,TEC,D,Welltech,,0%,,,,,Y,Y,,
RIO303,New Job,TEC,D,,,0%,,,,,Y,Y,,
RIO354,Specialized lifting Serv,TEC,D,,,0%,,,,,Y,Y,,
RNM001,RNM001,OHS,D,,,0%,,,,,Y,Y,,
ETI001,ETI001,SCA,D,,,0%,,,,,Y,Y,,
OHS000,OHS,OHS,D,,,0%,,,,,N,N,,
ENV000,ENV000,ENV,D,,,0%,,,,,N,N,,
RIO331,Gumala Contracting,TEC,D,,,0%,,,,,Y,Y,,
ARL002,Avoca,OHS,D,Risk register,,0%,,,,,Y,Y,,
RIO000,RIO,TEC,D,,,0%,,,,,Y,Y,,
NEBDIS101,NEBDIS101,TRA,D,,,0%,,,,,Y,Y,,
NEB047,NEB047,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS102,NEBDIS102,TRA,D,,,0%,,,,,Y,Y,,
NEB037,NEB037,TRA,D,,,0%,,,,,Y,Y,,
RPL042,RPL042,TRA,D,,,0%,,,,,Y,Y,,
RRE001,RRE001,OHS,D,,,0%,,,,,Y,Y,,
NEB052,NEB052,TRA,D,NEB052,,0%,,,,,Y,Y,,
NEBDIS103,NEBDIS103,TRA,D,NEBOSH distance,,0%,,,,,Y,Y,,
ILA100,Internal/Lead Auditor,TRA,D,Internal/Lead Auditor,,0%,,,,,Y,Y,,
EMA100,Env Management System,TRA,D,Env Management System,,0%,,,,,Y,Y,,
OMA100,OHS Management,TRA,D,OHS Management,,0%,,,,,Y,Y,,
TRA001,Training Marketing,TRA,D,Training Marketing,,0%,,,,,Y,Y,,
SEA000,East Asia,SEA,D,East Asia,,0%,,,,,N,Y,,
SEA,East Asia,,H,East Asia,,0%,,,,,N,N,,
ILA101,ILA101,TRA,D,ILA101,,0%,,,,,Y,Y,,
SNA000,Sust North America,SNA,D,Sustainability North America,,0%,,,,,Y,Y,,
SNA,Sust North America,,H,,,0%,,,,,N,N,,
GEO007,GEO007,OHS,D,GEO007,,0%,,,,,Y,Y,,
NEB050,NEB050,TRA,D,NEB050,,0%,,,,,Y,Y,,
RPL104,RPL104 Andy Clarke,TRA,D,RPL104,,0%,,,,,Y,Y,,
BMV002,Environmental studies,ENV,D,Feasibility Study Environmental studies,,0%,,,,,Y,Y,,
RTR004,New Rolling stock doc rev,OHS,D,New Rolling stock documentation review,,0%,,,,,Y,Y,,
GFR002,Update & revise SMP,OHS,D,Update and revise the SMP plan,,0%,,,,,Y,Y,,
PML008,Onsite HSE support,OHS,D,Onsite HSE support for Drilling program of block XX,,0%,,,,,Y,Y,,
MOE001a,Mongolian Energy corp,ENV,D,EIA Boorchiin Basin Borefield,,0%,,,,,Y,Y,,
RPL000,RPL000,TRA,D,,,0%,,,,,Y,Y,,
BIS004,Pre Audit for Comcare Aud,Assurance,D,Conduct Pre-Audit for Comcare Audit,,0%,,,,,Y,Y,,
Assurance,Assurance,,H,,,0%,,,,,N,N,,
RIO320,Davey Bedford,TEC,D,Davey Bedford Aust Pty Ltd,,0%,,,,,Y,Y,,
RIO359,Neal Kent Dozer,TEC,D,Neal Kent Dozer Contractor,,0%,,,,,Y,Y,,
RIO345,SW19,TEC,D,SW19,,0%,,,,,Y,Y,,
RIO284,Ngarda Mining,TEC,D,Ngarda Mining,,0%,,,,,Y,Y,,
RIO347,E&B Bowman,TEC,D,E&B Bowman,,0%,,,,,Y,Y,,
RIO298,Komatsu,TEC,D,Komatsu,,0%,,,,,Y,Y,,
GFR001,HSE Mgt system,OHS,D,HSE management system Gap analysis,,0%,,,,,Y,Y,,
CML001,Coalspur Mining,ENV,D,Intergrated Management system scopping study,,0%,,,,,Y,Y,,
IMM033,Cultural Heritage program,ENV,D,Cultural Heritage program,,0%,,,,,Y,Y,,
IMM032a,ESIA Support ( Aust),ENV,D,ESIA Support ( Aust),,0%,,,,,Y,Y,,
MCA001,Millennium Challenge A/C,SEA,D,Millennium Challenge A/C,,0%,,,,,Y,Y,,
MOE001,Mongolian Energy Corp,ENV,D,,,0%,,,,,Y,Y,,
ENI053,Marine Baseline survey,ENV,D,Marine Baseline survey,,0%,,,,,Y,Y,,
BBS001,Bilfinger Berger,OHS,D,,,0%,,,,,Y,Y,,
PPP003,Contracts,TRA,D,,,0%,,,,,Y,Y,,
TRC005,Thomson Reuters,TRA,D,,,0%,,,,,Y,Y,,
ENI051,EIA support,ENV,D,Timor Leste Area EIA support,,0%,,,,,Y,Y,,
MOE002a,ESIA review&Gap analysis,ENV,D,ESIA review&Gap analysis,,0%,,,,,Y,Y,,
SAF002,Improvement of Doc&system,OHS,D,,,0%,,,,,Y,Y,,
RIO332,Magellan Powertronics,TEC,D,Surveillance Audit,,0%,,,,,Y,Y,,
ERS007a,Mine closure&reclamation,ENV,D,Mine closure and Rehab plan,,0%,,,,,Y,Y,,
NEB039,NEB039,TRA,D,,,0%,,,,,Y,Y,,
TRC008,Thomson Reuters,TRA,D,Thomson Reuters,,0%,,,,,Y,Y,,
IMM027,Offshore ESIA Support,ENV,D,,,0%,,,,,Y,Y,,
ERS008a,ERS008a offshore,ENV,D,ERS008a Offshore,,0%,,,,,Y,Y,,
KNS001,Safety Audit,TRA,D,Koniambo Nickel SAS,,0%,,,,,Y,Y,,
WSE010,Woodside Compliance,ENV,D,Woodside Compliance audit,,0%,,,,,Y,Y,,
TRC009,Thompson Reuters,TRA,D,Thompson Reuters,,0%,,,,,Y,Y,,
IMM031a,Offshore ESIA Support,ENV,D,Prov of maps & figures for ESIA -Offshore,,0%,,,,,Y,Y,,
GFR003,audit of Ergonomics,OHS,D,,,0%,,,,,Y,Y,,
RAB001,Skills Assessment,TRA,D,,,0%,,,Tony Webster-Smith,RABQSA International Inc,Y,Y,,
RPL114,RPL114-William Summers,TRA,D,,,0%,,,,,Y,Y,,
ILA102,ILA102,TRA,D,ILA102,,0%,,,,,Y,Y,,
RTP001,Rio Tinto Pannawonica,OHS,D,Facilitate Health & vehicle risk assessment w/shop for Mesa J,,0%,,,,,Y,Y,,
DIS105,DIS105,TRA,D,DIS105,,0%,,,,,Y,Y,,
NEB100,NEB100,TRA,D,,,0%,,,,,Y,Y,,
IMM030,Offfshore ESIA Support,ENV,D,,,0%,,,,,Y,Y,,
RIO297,Hitachi,TEC,D,Hitachi,,0%,,,,,Y,Y,,
RIO300,Ausco Modular,TEC,D,Ausco Modular,,0%,,,,,Y,Y,,
RIO361,Bennelongia Pty Ltd,TEC,D,Bennelongia Pty Ltd,,0%,,,,,Y,Y,,
RIO357,Logicamms,TEC,D,Logicamms,,0%,,,,,Y,Y,,
RIO290,Ecologia Environment,TEC,D,Ecologia Environment,,0%,,,,,Y,Y,,
RIO291,Technical Lubrication,TEC,D,Technical Lubrication,,0%,,,,,Y,Y,,
RIO342,WA Eco Enterprise,TEC,D,WA Eco Enterprise,,0%,,,,,Y,Y,,
RIO115,Decmil Australia,TEC,D,Decmil Australia,,0%,,,,,Y,Y,,
RIO160,Schenck Australia Pty Ltd,TEC,D,Schenck Australia Pty Ltd,,0%,,,,,Y,Y,,
RIO362,Otraco,TEC,D,Otraco,,0%,,,,,Y,Y,,
RIO113,Westrac,TEC,D,Westrac,,0%,,,,,Y,Y,,
RIO172,Control Systems Tech,TEC,D,Control Systems Technology,,0%,,,,,Y,Y,,
GAC100,PPP Gascoyne,TRA,D,PPP Gascoyne Cert IV OHS,,0%,,,,,Y,Y,,
WOR013,Annual Env rpt verificati,ENV,D,Annual Environmental Report ( AER)verification audit,,0%,,,,,Y,Y,,
RPL050,RPL General,TRA,D,RPL General,,0%,,,,,Y,Y,,
ORA100,Operational risk assessmt,TRA,D,Operational risk assessment,,0%,,,,,Y,Y,,
LAC050,LAC material re-write,TRA,D,LAC material re-write,,0%,,,,,Y,Y,,
PWB003,Petrol Waste Buster,OHS,D,Petrol Waste Buster,,0%,,,,,Y,Y,,
TLF001,Dev safety Mgt system,OHS,D,The Label Factory- Development safety Management system,,0%,,,,,Y,Y,,
ENI054,Greenbase NPI reporting,ENV,D,Greenbase NPI reporting 2009-10,,0%,,,,,Y,Y,,
ENI056,ENI056,ENV,D,,,0%,,,,,Y,Y,,
IMM034a,DEIA support offshore,ENV,D,,,0%,,,,,Y,Y,,
JHG013,Site safety support,OHS,D,site safety support -Davil Creek project,,0%,,,,,Y,Y,,
GEO008,Safety support service,OHS,D,safety support service- Dampier fuel warf project,,0%,,,,,Y,Y,,
RPL116,RPL116,TRA,D,RPL116,,0%,,,,,Y,Y,,
MSP003,Contractability project,OHS,D,MSP Contractability project,,0%,,,,,Y,Y,,
NEBDIS104,NEBDIS104,TRA,D,NEBOSH,,0%,,,,,Y,Y,,
NEB000,NEB000,TRA,D,NEBOSH admin,,0%,,,,,Y,Y,,
NEB041,NEB041,TRA,D,NEBOSH,,0%,,,,,Y,Y,,
NEB044,NEB044,TRA,D,NEB044,,0%,,,,,Y,Y,,
RIO352,Mobile Dewatering,TEC,D,Mobile Dewatering,,0%,,,,,Y,Y,,
NEBDIS106,NEBOSH106,TRA,D,NEBOSH,,0%,,,,,Y,Y,,
RIO164,ABB Australia,TEC,D,,,0%,,,,,Y,Y,,
RIO125,Allmine Pty Ltd,TEC,D,,,0%,,,,,Y,Y,,
RPL118,RPL118,TRA,D,RPL118,,0%,,,,,Y,Y,,
PED100,PPP Contract 20103134,TRA,D,2010-11 Perth Region Productivity Placements Program Diploma OHS,,0%,,,,,Y,Y,,
PID100,PPP Contract 20103135,TRA,D,2010-11 Pilbara Region Productivity Placements Program Diploma OHS,,0%,,,,,Y,Y,,
RPL119,RPL119-Rachel Smith,TRA,D,RPL119,,0%,,,,,Y,Y,,
IMM034,Onshore ESIA Support,ENV,D,IMM034 Onshore,,0%,,,,,Y,Y,,
RIO275,Mobecrete Concrete,TEC,D,,,0%,,,,,Y,Y,,
RIO154,Austindo WA,TEC,D,,,0%,,,,,Y,Y,,
RIO360,Ranger Drilling Services,TEC,D,,,0%,,,,,Y,Y,,
RIO365,Golder Associates,TEC,D,Golder Associates,,0%,,,,,Y,Y,,
RIO363,OTEK Australia,TEC,D,,,0%,,,,Robe River Iron Associates,Y,Y,,
RIO364,Worley Parsons,TEC,D,,,0%,,,,,Y,Y,,
RIO146,RCR Engineering,TEC,D,,,0%,,,,,Y,Y,,
IMM030C,ESIA support offshore,ENV,D,ESIA support offshore,,0%,,,,,Y,Y,,
RIO299,Central Systems,TEC,D,,,0%,,,,,Y,Y,,
LYN001,Lynas Corporation,OHS,D,Site safety support at Mt. Weld,,0%,,,,,Y,Y,,
KID100,PPP Kimberly Region,TRA,D,PPP Kimberly Region,,0%,,,,,Y,Y,,
GFR005,Site Safety support,OHS,D,Site Safety support,,0%,,,,,Y,Y,,
WPR006,Review contrctor perform,OHS,D,Review contractor ( Thiess) safety performance,,0%,,,,,Y,Y,,
MSP001,MSP Engineering,OHS,D,HSE management plan,,0%,,,,,Y,Y,,
SAF001,Safety BU development,OHS,D,Safety BU development,,0%,,,,,Y,Y,,
RIO112,Metago Environmental,TEC,D,Metago Environmental,,0%,,,,,Y,Y,,
ASI100,ASIS Training,TRA,D,ASIS Training,,0%,,,,,Y,Y,,
RPL120,RPL120,TRA,D,,,0%,,,,,Y,Y,,
MSP002,Integreated OHS&ENV mgt,OHS,D,Integrated OHS& ENV management manual,,0%,,,,,Y,Y,,
ENI046,Oil Spill Report Prep,ENV,D,,,0%,,,,,Y,Y,,
MOE003,Review &gas analysis,ENV,D,Review &gas analysis-Offshore,,0%,,,,,Y,Y,,
CAK001,Cameco Aust-Kintyre Proj,TRA,D,Audit of Safety, Environment and Heritage Management,,0%,,,,,Y,Y,
GFR004,Management Sys Dev,OHS,D,Management System Development,,0%,,,,,Y,Y,,
IMM031b,ESIA Support,ENV,D,,,0%,,,,,Y,Y,,
NEB030,NEB030,TRA,D,,,0%,,,,,Y,Y,,
IMM030b,ESIA support Onshore,ENV,D,,,0%,,,,,Y,Y,,
SAI001,SAI Audit,ENV,D,,,0%,,,,,Y,Y,,
ENI051a,Env impact assessment,ENV,D,Timor Leste contract area C Drilling Environmental Impact assessment,,0%,,,,,Y,Y,,
GFR007,Dev of SMP for JR,OHS,D,Development of SMP for JR Electrical for Area C project,,0%,,,,,Y,Y,,
IMM036a,Asset Retirement Oblig,ENV,D,Asset Retirement obligation Offshore,,0%,,,,,Y,Y,,
NMC011,Boddington Pre-Cert Audit,Assurance,D,Boddington Pre-Cert Audit,,0%,,,,,Y,Y,,
ACL001,NEBOSH Int'l course,TRA,D,NEBOSH Int'l General Certificate course in Pakistan,,0%,,,,,Y,Y,,
PKD001,PKD Resource -Sri Lanka,ENV,D,Environmental Component of Pre Feasibility Study,,0%,,,,,Y,Y,,
MGI006,Safety Audit-Koolan Islan,OHS,D,High Impact Safety Audit for Koolan Island Operations,,0%,,,,,Y,Y,,
RIO370,Gascoyne Pest Mgt,TEC,D,Gascoyne Pest Management,,0%,,,,,Y,Y,,
ENI055,Extended Oil Spill model,ENV,D,Extended Oil Spill modelling for Kitan,,0%,,,,,Y,Y,,
GFR008,Safety support-Cundaline,OHS,D,Safety Planning support for Cundaline Raw Water Project,,0%,,,,,Y,Y,,
ETI002,ETI002,SCA,D,ETI002,,0%,,,,,Y,Y,,
DEW001,Downer EDI,ENV,D,Mobile Asphalt works approval documentation,,0%,,,,,Y,Y,,
RIO158,Mteso Minerals,TEC,D,,,0%,,,,,Y,Y,,
RIO366,Env Resources Mgt Aust,TEC,D,Environmental Resources Management Australia,,0%,,,,,Y,Y,,
RIO122,Becker Demolition,TEC,D,,,0%,,,,,Y,Y,,
RIO369,Tim Davies Landscaping,TEC,D,,,0%,,,,,Y,Y,,
RIO371,Tutt Bryant Crane Hire,TEC,D,,,0%,,,,,Y,Y,,
RIO277,Central Mining&Contractin,TEC,D,,,0%,,,,,Y,Y,,
RIO174,Tasman Power,TEC,D,,,0%,,,,,Y,Y,,
RIO336,Pilbara Food Services,TEC,D,,,0%,,,,,Y,Y,,
RIO368,Neowest Building Co.,,TEC,D,,,0%,,,,,Y,Y,
NMC000,Newmont Admin,Assurance,D,,,0%,,,,,Y,Y,,
ENI052C,Environmental Support,ENV,D,Environmental Support Oct & Nov 2010,,0%,,,,,Y,Y,,
GFR006,Site safety support@areaC,OHS,D,,,0%,,,,,Y,Y,,
RIO373,Piacentini&Son Pty Ltd,TEC,D,,,0%,,,,,Y,Y,,
RIO214,Wilsons Security,TEC,D,,,0%,,,,,Y,Y,,
DMP001,Lead Auditor OHS System,TRA,D,Lead Auditor OHS System Training,,0%,,,,,Y,Y,,
RPL123,RPL123,TRA,D,,,0%,,,,,Y,Y,,
RPL015,RPL015 Rusdianto,TRA,D,,,0%,,,,,Y,Y,,
RPL029,RPL Alan Vasey,TRA,D,,,0%,,,,,Y,Y,,
RPL115,RPL115- Uwe Krueger,TRA,D,,,0%,,,,,Y,Y,,
RPL043,RPL043- Bridget White,TRA,D,,,0%,,,,,Y,Y,,
MOE003a,MEC ESIA review&Gap Analy,ENV,D,MEC ESIA review&Gap Analysis Onshore,,0%,,,,,Y,Y,,
CAP010,Koolyanobbing operations,ENV,D,Provide services for Koolyanobbing operations,,0%,,,,,Y,Y,,
ENI031,Kitan Preliminary Env Rpt,ENV,D,,,0%,,,,,Y,Y,,
PML009,EBRD Env & social rpt,ENV,D,EBRD Environmental and Social report Block XX,,0%,,,,,Y,Y,,
RIO156,Boom Logistics,TEC,D,,,0%,,,,,Y,Y,,
RIO375,PBA New Zealand,TEC,D,,,0%,,,,,Y,Y,,
GSI004,Goldfields St.Ives,TRA,D,,,0%,,,,,Y,Y,,
ILA103,ILA103,TRA,D,,,0%,,,,,Y,Y,,
RPL124,RPL124,TRA,D,,,0%,,,,,Y,Y,,
RPL125,RPL125,TRA,D,,,0%,,,,,Y,Y,,
WNR004,Westnet Railway Proj,TRA,D,Risk workshop and framework,,0%,,,,,Y,Y,,
RIO372,Advanced Fencing,TEC,D,,,0%,,,,Pilbara Iron Company (Services) Pty Ltd,Y,Y,,
RIO374,Wellard Technologies,TEC,D,,,0%,,,,Pilbara Iron Company (Services) Pty Ltd,Y,Y,,
BHP025,Isolation procedure Dev,TRA,D,Isolation procedure Development,,0%,,,,,Y,Y,,
BHP026,BHP Pyrenees Compliance,ENV,D,BHP Petroleum Pyrenees Compliance Audit,,0%,,,,,Y,Y,,
IMM036,Estimate decommission lib,ENV,D,Onshore- Estimation of decommission liabilities,,0%,,,,,Y,Y,,
GFR009,Safety support -Cundaline,OHS,D,Site Safety Support - Cundaline Project,,0%,,,,,Y,Y,,
JHG014,Davel Creek,OHS,D,JHG- Site Safety Support Davel Creek,,0%,,,,,Y,Y,,
CHE002,Storyboard for CHESM,OHS,D,Storyboard for CHESM Elearning Modules,,0%,,,,,Y,Y,,
RIO201,Kustom Concrete,TEC,D,,,0%,,,,,Y,Y,,
RIO377,Global Security Managemen,TEC,D,,,0%,,,,,Y,Y,,
RIO378,Capital Cranes&Hoists,TEC,D,,,0%,,,,,Y,Y,,
RIO367,HMER,TEC,D,,,0%,,,,,Y,Y,,
WOR014,Annual HSE &HSEC audit,ENV,D,Annual Public HSE and Community HSEC Verification Audit,,0%,,,,,Y,Y,,
