{},,,,,,,,,,,,,,,,,,,,,,,,,
Cheque Account,Cheque No.,Date,Inclusive,Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Memo,Allocation Account No.,Amount,Job No.,Tax Code,Tax Amount,Printed,Currency Code,Exchange Rate,Statement Text,Allocation Memo,Category,Card ID,Record ID,Delivery Status,Is Year-End Adjustment
11111,tfr,02/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,02/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,02/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,02/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
19001,tfr,03/07/2021,X,,,Walton Global,,,,Mick Transfer money to Walton Global Account BOQ,,"10,000.00",,,,,,,,,,,,P,N
,tfr,03/07/2021,X,,,Walton Global,,,,Mick Transfer money to Walton Global Account BOQ,21401,"10,000.00",,N-T,0,,,,,,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,05/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"2,000.00",,,,,,,,,,*None,3885,P,N
,tfr,05/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"2,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,05/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,,925,,,,,,,,,,*None,2864,P,N
,tfr,05/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,61102,925,,GNR,0,,,,,,,*None,2864,P,N
,tfr,05/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,61102,0,,GNR,0,,,,,,,*None,2864,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,05/07/2021,X,Walton Global Pty Ltd,,Walton Global Pty Ltd,,,,Walton Global Pty Ltd- RENT,,700,,,,,,,,,,*None,4899,P,N
,tfr,05/07/2021,X,Walton Global Pty Ltd,,Walton Global Pty Ltd,,,,Walton Global Pty Ltd- RENT,62601,700,,N-T,0,,,,,,,*None,4899,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,05/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,,500,,,,,,,,,,*None,4607,P,N
,tfr,05/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,11113,500,,N-T,0,,,,,,,*None,4607,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,05/07/2021,X,New Project A/C 0942 BOQ,,Mackaroo Profit A/C 2282 BOQ,,,,Mackaroo Profit A/C 2282 BOQ,,300,,,,,,,,,,*None,4783,P,N
,tfr,05/07/2021,X,New Project A/C 0942 BOQ,,Mackaroo Profit A/C 2282 BOQ,,,,Mackaroo Profit A/C 2282 BOQ,19001,300,,N-T,0,,,,,,,*None,4783,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,05/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,,250,,,,,,,,,,*None,4607,P,N
,tfr,05/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,11113,250,,N-T,0,,,,,,,*None,4607,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
21002,tfr,05/07/2021,X,,,V8 Service station Hughenden,,,,Fuel on rental car,,41.47,,,,,,,,,,,,P,N
,tfr,05/07/2021,X,,,V8 Service station Hughenden,,,,Fuel on rental car,62001,37.7,,GST,3.77,,,,,,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,06/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"2,000.00",,,,,,,,,,*None,2703,P,N
,tfr,06/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"2,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
21002,tfr,06/07/2021,X,,,PJ & CR Fuel Supplies Winton,,,,Fuel on rental car,,64.13,,,,,,,,,,,,P,N
,tfr,06/07/2021,X,,,PJ & CR Fuel Supplies Winton,,,,Fuel on rental car,62001,58.3,,GST,5.83,,,,,,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11115,tfr,07/07/2021,X,Stripe,,Stripe,,,,Stripe,,2.86,,,,,,,,,,*None,4904,P,N
,tfr,07/07/2021,X,Stripe,,Stripe,,,,Stripe,60036,2.86,,N-T,0,,,,,,,*None,4904,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,07/07/2021,X,,,Cameron Juillerat,,,,Allowances paid to Cameron trip to Melbourne 6-10 July 2021,,140,,,,,,,,Allowances paid to Sam trip to Tasmania 13-104 April 2021,,,,P,N
,tfr,07/07/2021,X,,,Cameron Juillerat,,,,Allowances paid to Cameron trip to Melbourne 6-10 July 2021,11815,140,,N-T,0,,,,,Allowances paid to Sam trip to Tasmania 13-104 April 2021,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"4,000.00",,,,,,,,,,*None,3885,P,N
,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"4,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"2,000.00",,,,,,,,,,*None,3885,P,N
,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"2,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"2,000.00",,,,,,,,,,*None,3885,P,N
,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"2,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"2,000.00",,,,,,,,,,*None,3885,P,N
,tfr,08/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"2,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,09/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"10,000.00",,,,,,,,,,*None,3885,P,N
,tfr,09/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"10,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,09/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"3,000.00",,,,,,,,,,*None,3885,P,N
,tfr,09/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"3,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,09/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,09/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,12/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,,"2,000.00",,,,,,,,,,*None,4607,P,N
,tfr,12/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,11113,"2,000.00",,N-T,0,,,,,,,*None,4607,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,12/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,12/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,12/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,,925,,,,,,,,,,*None,2864,P,N
,tfr,12/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,61102,925,,GNR,0,,,,,,,*None,2864,P,N
,tfr,12/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,61102,0,,GNR,0,,,,,,,*None,2864,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,12/07/2021,X,Walton Global Pty Ltd,,Walton Global Pty Ltd,,,,Walton Global Pty Ltd- RENT,,700,,,,,,,,,,*None,4899,P,N
,tfr,12/07/2021,X,Walton Global Pty Ltd,,Walton Global Pty Ltd,,,,Walton Global Pty Ltd- RENT,62601,700,,N-T,0,,,,,,,*None,4899,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,12/07/2021,X,New Project A/C 0942 BOQ,,Mackaroo Profit A/C 2282 BOQ,,,,Mackaroo Profit A/C 2282 BOQ,,300,,,,,,,,,,*None,4783,P,N
,tfr,12/07/2021,X,New Project A/C 0942 BOQ,,Mackaroo Profit A/C 2282 BOQ,,,,Mackaroo Profit A/C 2282 BOQ,19001,300,,N-T,0,,,,,,,*None,4783,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,12/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,,250,,,,,,,,,,*None,4607,P,N
,tfr,12/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,11113,250,,N-T,0,,,,,,,*None,4607,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11115,tfr,13/07/2021,X,Stripe,,Stripe,,,,Stripe,,145.16,,,,,,,,,,*None,4904,P,N
,tfr,13/07/2021,X,Stripe,,Stripe,,,,Stripe,60036,145.16,,N-T,0,,,,,,,*None,4904,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,13/07/2021,X,ANZ Bank,,ANZ Bank,,,,ANZ Bank accounting servicing fee,,10,,,,,,,,,,*None,22,P,N
,tfr,13/07/2021,X,ANZ Bank,,ANZ Bank,,,,ANZ Bank accounting servicing fee,60001,10,,FRE,0,,,,,,,*None,22,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,13/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,13/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,14/07/2021,X,,,Technicians and Administrtion (1st half of month),,,,Wages period (1-15 July 2021),,"22,416.30",,,,,,,,,,,,P,N
,tfr,14/07/2021,X,,,Technicians and Administrtion (1st half of month),,,,Wages period (1-15 July 2021),11815,"22,416.30",,N-T,0,,,,,,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,14/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"5,000.00",,,,,,,,,,*None,3885,P,N
,tfr,14/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"5,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,14/07/2021,X,,,Mick Walton wages (1st half of month),,,,Wages period (1-15 July 2021),,"3,506.00",,,,,,,,,,,,P,N
,tfr,14/07/2021,X,,,Mick Walton wages (1st half of month),,,,Wages period (1-15 July 2021),11815,"3,506.00",,N-T,0,,,,,,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,14/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"2,000.00",,,,,,,,,,*None,2703,P,N
,tfr,14/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"2,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,15/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"5,000.00",,,,,,,,,,*None,3885,P,N
,tfr,15/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"5,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,15/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"5,000.00",,,,,,,,,,*None,2703,P,N
,tfr,15/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"5,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,15/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,,"2,000.00",,,,,,,,,,*None,4607,P,N
,tfr,15/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,11113,"2,000.00",,N-T,0,,,,,,,*None,4607,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,15/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,15/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11115,tfr,16/07/2021,X,Stripe,,Stripe,,,,Stripe,,2.51,,,,,,,,,,*None,4904,P,N
,tfr,16/07/2021,X,Stripe,,Stripe,,,,Stripe,60036,2.51,,N-T,0,,,,,,,*None,4904,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,16/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"5,000.00",,,,,,,,,,*None,3885,P,N
,tfr,16/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"5,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,16/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"1,000.00",,,,,,,,,,*None,3885,P,N
,tfr,16/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"1,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,16/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,16/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11112,tfr,16/07/2021,X,ANZ Bank,,ANZ Bank,,,,ANZ Bank accounting servicing fee,,10,,,,,,,,,,*None,22,P,N
,tfr,16/07/2021,X,ANZ Bank,,ANZ Bank,,,,ANZ Bank accounting servicing fee,60001,10,,FRE,0,,,,,,,*None,22,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,19/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ,,"3,000.00",,,,,,,,,,*None,3885,P,N
,tfr,19/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ,11112,"3,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,19/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,,925,,,,,,,,,,*None,2864,P,N
,tfr,19/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,61102,925,,GNR,0,,,,,,,*None,2864,P,N
,tfr,19/07/2021,X,ISTS rent,,ISTS rent,,,,ISTS rent,61102,0,,GNR,0,,,,,,,*None,2864,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,19/07/2021,X,Walton Global Pty Ltd,,Walton Global Pty Ltd,,,,Walton Global Pty Ltd- RENT,,700,,,,,,,,,,*None,4899,P,N
,tfr,19/07/2021,X,Walton Global Pty Ltd,,Walton Global Pty Ltd,,,,Walton Global Pty Ltd- RENT,62601,700,,N-T,0,,,,,,,*None,4899,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,19/07/2021,X,New Project A/C 0942 BOQ,,Mackaroo Profit A/C 2282 BOQ,,,,Mackaroo Profit A/C 2282 BOQ,,300,,,,,,,,,,*None,4783,P,N
,tfr,19/07/2021,X,New Project A/C 0942 BOQ,,Mackaroo Profit A/C 2282 BOQ,,,,Mackaroo Profit A/C 2282 BOQ,19001,300,,N-T,0,,,,,,,*None,4783,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,19/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,,250,,,,,,,,,,*None,4607,P,N
,tfr,19/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,11113,250,,N-T,0,,,,,,,*None,4607,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,19/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"1,000.00",,,,,,,,,,*None,3885,P,N
,tfr,19/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"1,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,19/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,510,,,,,,,,,,*None,3885,P,N
,tfr,19/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,510,,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,TrvlAllo,19/07/2021,X,,,Mick Walton,,,,Allowances paid to Mick trip extended to NZ 23-25 July 2021,,210,,,,,,,,Allowances paid to Mick trip extended to NZ 23-25 July 2021,,,,P,N
,TrvlAllo,19/07/2021,X,,,Mick Walton,,,,Allowances paid to Mick trip extended to NZ 23-25 July 2021,11815,210,,N-T,0,,,,,Allowances paid to Mick trip extended to NZ 23-25 July 2021,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,20/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"2,000.00",,,,,,,,,,*None,3885,P,N
,tfr,20/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"2,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11112,tfr,20/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,,"2,500.00",,,,,,,,,,*None,4607,P,N
,tfr,20/07/2021,X,ANZ (new Directors) Account 205581,,ANZ Project Account 205581,,,,ANZ Project Account 205581,11113,"2,500.00",,N-T,0,,,,,,,*None,4607,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,21/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"4,500.00",,,,,,,,,,*None,3885,P,N
,tfr,21/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"4,500.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,22/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"3,000.00",,,,,,,,,,*None,3885,P,N
,tfr,22/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"3,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,22/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"2,000.00",,,,,,,,,,*None,2703,P,N
,tfr,22/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"2,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"14,000.00",,,,,,,,,,*None,2703,P,N
,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"14,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"2,000.00",,,,,,,,,,*None,2703,P,N
,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"2,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"2,000.00",,,,,,,,,,*None,2703,P,N
,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"2,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"1,000.00",,,,,,,,,,*None,2703,P,N
,tfr,23/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"1,000.00",,N-T,0,,,,,,,*None,2703,P,N
