Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
Department of Transport and Main Roads,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2270,01/07/2021,,,P,12 months monthly registration 121BD6,62004,$728.23,,,Purchase; Department of Transport and Main Roads,,GST,$72.82,$0.00,GST,$0.00,B,,,5,1,30,0,$801.05,,*None,3024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane City Council- Rates,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2280,01/07/2021,,,P,Rates GTCC from 01-07-2021 to 30-09-2021,62617,$690.05,,,Purchase; Brisbane City Council- Rates,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,$690.05,,*None,2055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Better Online ,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2324,01/07/2021,2020,,P,"Cloud online monthly services. (Invoice dated 15-06-2021) by the time I got the invoice, the June GST was already reported. ",61001,$257.4,,,Purchase; Better Online ,,GST,$25.74,$0.00,GST,$0.00,B,,,5,1,30,0,$283.14,,*None,4830
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manly Boathouse Restaurant & Bar,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2325,01/07/2021,,,P,Mid year lunch for employees,61801,"$1,001.36",,,Purchase; Manly Boathouse Restaurant & Bar,,GST,$100.14,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,119.67",,*None,5483
Manly Boathouse Restaurant & Bar,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2325,01/07/2021,,,P,Credit Card surcharge,61801,$18.17,,,Purchase; Manly Boathouse Restaurant & Bar,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,119.67",,*None,5483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorpass,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,4080,01/07/2021,33,,P,Fuel all cars from 1 March to 31  March 2024,62001,"$3,647.41",,,Purchase; Motorpass,,GST,$364.74,$0.00,GST,$0.00,B,,,5,1,30,0,"$4,012.15",,*None,2867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workcover Queensland,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2255,02/07/2021,,,P,Workcover premium 2021-2022,61402,"$4,657.25",,,Purchase; Workcover Queensland,,GST,$465.73,$0.00,GST,$0.00,B,,,5,1,30,0,"$5,379.13",,*None,2734
Workcover Queensland,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2255,02/07/2021,,,P,Stamp duty workcover,61402,$256.15,,,Purchase; Workcover Queensland,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,"$5,379.13",,*None,2734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2273,05/07/2021,2901,,A,Shippping pendulum on 10-06-2021,60027,$617.36,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,$617.36,,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Express,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2271,07/07/2021,556,,P,Outdoor plant maintenance,61107,$80,,,Purchase; Garden Express,,GST,$8,$0.00,GST,$0.00,B,,,5,1,30,0,$88,,*None,3566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Storage- Bohle,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2272,07/07/2021,8274,,P,Townsville storage 6 months rental,61615,$256.36,,,Purchase; National Storage- Bohle,,GST,$25.64,$0.00,GST,$0.00,B,,,5,1,30,0,$282,,*None,4026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Securities & Investment Commission,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2276,07/07/2021,,,P,ASIC Annual renewal,60012,$248.18,,,Purchase; ASIC,,GST,$24.82,$0.00,GST,$0.00,B,,,5,1,30,0,$273,,ASIC,3210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2278,07/07/2021,1-78500198207,,P,MYOB monthly subscription,60017,$425.75,,,Purchase; MYOB Australia Pty Ltd,,GST,$42.58,$0.00,GST,$0.00,B,,,5,1,30,0,$468.33,,*None,4389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PricewaterhouseCoopers (PWC),,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2282,07/07/2021,41063997,,P,Auditor training course,61804,"$1,359.09",,,Purchase; PricewaterhouseCoopers (PWC),,GST,$135.91,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,495",,*None,4066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Energy,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2286,07/07/2021,1.67002E+11,,P,Lota electricity bill,61103,$172.46,,,Purchase; Origin Energy,,GST,$17.25,$0.00,GST,$0.00,B,,,5,1,30,0,$189.71,,*None,2858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beakon Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2283,08/07/2021,ORC6137,,P,License fee for undertaking work as a contractor for Brisbane Airport,60012,$195.45,,,Purchase; Beakon Pty Ltd,,GST,$19.55,$0.00,GST,$0.00,B,,,5,1,30,0,$215,,*None,5456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2275,09/07/2021,2252640,,P,Endorsement/alteration advice for the correction & additional equipment as requested.,61401,$941.47,,,Purchase; Regional Insurance Broker (RIBSQ Pty Ltd),,GST,$94.15,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,035.62",,*None,2860
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xero Australia Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2277,10/07/2021,INV-17304756,,P,Xero monthly subscription for GTCC,62623,$24.55,,,Purchase; Xero Australia Pty Ltd,,GST,$2.45,$0.00,GST,$0.00,B,,,5,1,30,0,$27,,*None,5083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seek Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2279,12/07/2021,97680087,,P,Technician advertisement position,60018,$750,,,Purchase; Seek Limited,,GST,$75,$0.00,GST,$0.00,B,,,5,1,30,0,$825,,*None,2076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMM Holdings Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2281,12/07/2021,BMCP526082,,P,Car service 121 DB6,62005,$177.27,,,Purchase; LMM Holdings Pty Ltd,,GST,$17.73,$0.00,GST,$0.00,B,,,5,1,30,0,$198.22,,BMW,5441
LMM Holdings Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2281,12/07/2021,BMCP526082,,P,Bank surcharge,62005,$3.22,,,Purchase; LMM Holdings Pty Ltd,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,$198.22,,BMW,5441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartons Motors PTY LTD,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2284,12/07/2021,GBCSB513976,,P,Car service 75.000 kms ,62005,$449.09,,,Purchase; Bartons Motors PTY LTD,,GST,$44.91,$0.00,GST,$0.00,B,,,5,1,30,0,$494,,*None,3054
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sullivan and Nicolaides ,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2285,13/07/2021,275846,,P,COVID test for Mick to travel to New Zealand,61515,$131.82,,,Purchase; Sullivan and Nicolaides ,,GST,$13.18,$0.00,GST,$0.00,B,,,5,1,30,0,$145,,*None,5457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgestone Select,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2287,15/07/2021,140280,,P,2 tyres for 589 YSF,62005,$551.82,,,Purchase; Bridgestone Select,,GST,$55.18,$0.00,GST,$0.00,B,,,5,1,30,0,$607,,*None,3613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Global,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2288,16/07/2021,,,P,Buying Mirvac credits for induction Sam Brunton at Kawana Shopping world. (Reimbursed to Natalie Cameron),60101,$20,,,Purchase; Rapid Global,,GST,$2,$0.00,GST,$0.00,B,,,5,1,30,0,$22,,*None,3113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2290,16/07/2021,,,P,Stationary for ISTS,61301,$104.91,,,Purchase; Office Works,,GST,$10.49,$0.00,GST,$0.00,B,,,5,1,30,0,$115.4,,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Express,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2291,19/07/2021,563,,P,Backyard maintenance,61107,$80,,,Purchase; Garden Express,,GST,$8,$0.00,GST,$0.00,B,,,5,1,30,0,$88,,*None,3566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Body Corporate for The Workstores Wakerley,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2297,20/07/2021,,,P,Body Corporate fee for Walton Global,62610,"$1,123.33",,,Purchase; The Body Corporate for The Works Wakerley ,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,123.33",,*None,4953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorpass,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2295,22/07/2021,211,,P,Fuel all cars 23-06-2021 to 22-07-2021,62001,"$2,553.46",,,Purchase; Motorpass,,GST,$255.35,$0.00,GST,$0.00,B,,,5,1,30,0,"$2,808.81",,*None,2867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Transport and Main Roads,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2296,27/07/2021,,,P,12 months vehicle registration 099ZYW (Jimni),62004,$728.23,,,Purchase; Department of Transport and Main Roads,,GST,$72.82,$0.00,GST,$0.00,B,,,5,1,30,0,$801.05,,*None,3024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartons Motors PTY LTD,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2298,27/07/2021,GBCSB515126,,P,Car service at 75.000kms 215XRP,62005,$500,,,Purchase; Bartons Motors PTY LTD,,GST,$50,$0.00,GST,$0.00,B,,,5,1,30,0,$550,,*None,3054
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Blue Self Storage,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2299,27/07/2021,10223,,P,Storage box 6 months in Cairns original value $540. $27 discount,61606,$466.36,,,Purchase; Big Blue Self Storage,,GST,$46.64,$0.00,GST,$0.00,B,,,5,1,30,0,$513,,Cairns Storage,4551
Big Blue Self Storage,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2299,27/07/2021,10223,,P,,61606,$0.00,,,Purchase; Big Blue Self Storage,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,$513,,Cairns Storage,4551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolworths,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2302,29/07/2021,,,P,Office supplies  for the training central,62612,$13.64,,,Purchase; Woolworths,,GST,$1.36,$0.00,GST,$0.00,B,,,5,1,30,0,$15,,*None,4377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolworths,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2303,29/07/2021,1721,,P,Office supplies Lota,61304,$34.36,,,Purchase; Woolworths,,GST,$3.44,$0.00,GST,$0.00,B,,,5,1,30,0,$37.8,,*None,4377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgestone Select,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2305,29/07/2021,140510,,P,2 new tyres for 215XRP,62005,$553.64,,,Purchase; Bridgestone Select,,GST,$55.36,$0.00,GST,$0.00,B,,,5,1,30,0,$609,,*None,3613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BizFurn Express Australia,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2309,30/07/2021,QCP74043,,P,Adjustable desk for Carl station,60014,$491.82,,,Purchase; BizFurn Express Australia,,GST,$49.18,$0.00,GST,$0.00,B,,,5,1,30,0,$541,,*None,5476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadgets 4 Geeks Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2310,30/07/2021,1-284494,,P,USB Charging station and stand for phones at Lota ,61007,$61.73,,,Purchase; Gadgets 4 Geeks Pty Ltd,,GST,$6.17,$0.00,GST,$0.00,B,,,5,1,30,0,$67.9,,*None,5477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrubs Detailing Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2311,30/07/2021,INV-0144,,P,Car detailing 215 XRP and 589 YSF,62005,$327.2,,,Purchase; Scrubs Car Detailing,,GST,$32.72,$0.00,GST,$0.00,B,,,5,1,30,0,$359.92,,*None,4986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom Office Cleaning,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2300,31/07/2021,33833,,P,Cleaning at the GTCC in July,62622,$300,,,Purchase; Zoom Services,,GST,$30,$0.00,GST,$0.00,B,,,5,1,30,0,$330,,*None,3472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom Office Cleaning,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2301,31/07/2021,33767,,P,Cleaning at HQ Lota in July,61107,"$1,057.66",,,Purchase; Zoom Services,,GST,$105.77,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,163.43",,*None,3472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red ICT,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2312,31/07/2021,786565,,P,Internet NBN Lota,61004,$108.18,,,Purchase; Red ICT,,GST,$10.82,$0.00,GST,$0.00,B,,,5,1,30,0,$228,,*None,4820
Red ICT,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2312,31/07/2021,786565,,P,Internet NBN GTCC,62614,$99.09,,,Purchase; Red ICT,,GST,$9.91,$0.00,GST,$0.00,B,,,5,1,30,0,$228,,*None,4820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Accountants,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2318,31/07/2021,INV-21030,,P,Monthly fee agreement financial year 2021-2022,60008,"$1,220",,,Purchase; Empire Accountants,,GST,$122,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,343.2",,*None,4764
Empire Accountants,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2318,31/07/2021,INV-21030,,P,Surcharge fee from the bank,60008,$1.2,,,Purchase; Empire Accountants,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,343.2",,*None,4764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJK Collective,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2319,31/07/2021,325401,,P,Air conditioning annual service,61101,$263.64,,,Purchase; SJK Collective,,GST,$26.36,$0.00,GST,$0.00,B,,,5,1,30,0,$290,,AirconditionerS,4110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Components Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2361,31/07/2021,,,P,This transaction had to be re entered again as the original one for $171.91 was amended with another invoice that was not provided. By the time 10 items were received from the original 20. MYOB does not allow to amend the transaction because of the items received already.,61705,$78.14,,,Purchase; RS Components Pty Ltd,,GST,$7.81,$0.00,GST,$0.00,B,,,5,1,30,0,$85.95,,*None,3881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nifty Group Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2313,01/08/2021,INV-5393,,P,Monthly online back up,61001,$80.91,,,Purchase; Nifty IT,,GST,$8.09,$0.00,GST,$0.00,B,,,5,1,30,0,$89,,*None,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citygreen,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2314,01/08/2021,23160,,P,Indoor Plants hire and maintenance,61107,$65,,,Purchase; Citygreen,,GST,$6.5,$0.00,N-T,$0.00,B,,,5,1,30,0,$71.5,,*None,3020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorpass,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2316,01/08/2021,1,,P,Fuel all vehicles 20 July 2021 to 31- July 2021. This is a bill with the new Motorpass account,62001,"$1,118.83",,,Purchase; Motorpass,,GST,$111.88,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,230.71",,*None,2867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Versatex Trading Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2317,02/08/2021,2108004,,P,"Slip test machine parts, sand blasting, powder: Interpon Zinc prime, metal details",61705,$185.29,,,Purchase; Versatex Trading Pty Ltd,,GST,$18.53,$0.00,GST,$0.00,B,,,5,1,30,0,$203.82,,Ace Powder Coat,4973
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2315,03/08/2021,1-78729639615,,P,MYOB monthly subscription,60017,$259.55,,,Purchase; MYOB Australia Pty Ltd,,GST,$25.96,$0.00,GST,$0.00,B,,,5,1,30,0,$285.51,,*None,4389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Energy,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2331,03/08/2021,1.24002E+11,,P,,61103,$141.12,,,Purchase; Origin Energy,,GST,$14.11,$0.00,GST,$0.00,B,,,5,1,30,0,$155.23,,*None,2858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moreton Bay Suzuki,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2320,05/08/2021,SZPST67529,,P,JImny service 15.000KMS ,62005,$299.09,,,Purchase; Moreton Bay Suzuki,,GST,$29.91,$0.00,GST,$0.00,B,,,5,1,30,0,$329,,*None,5223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2321,05/08/2021,,,P,Testing equipment,61705,$110.96,,,Purchase; Bunnings Warehouse,,GST,$11.1,$0.00,GST,$0.00,B,,,5,1,30,0,$122.06,,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Qantas Club Service,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2329,09/08/2021,1943981330,,P,Qantas Club membership Cameron Juillerat,61508,$490.91,,,Purchase; Qantas Airways LTD,,GST,$49.09,$0.00,N-T,$0.00,B,,,5,1,30,0,$540,,*None,3025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xero Australia Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2336,10/08/2021,INV-17724006,,P,Xero monthly subscription,62623,$24.55,,,Purchase; Xero Australia Pty Ltd,,GST,$2.45,$0.00,GST,$0.00,B,,,5,1,30,0,$27,,*None,5083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACQ Operations Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2363,14/08/2021,,,P,"Roadside assistance for the following vehicles 861 BK7, 728WLM, 215XRP, 589YSF, 156XIB, 559ZDV, 448BG4, 405XQC. Invoice not provided by Mick as he said that everything was direct debit over the phone",62004,$189.09,,,Purchase; RACQ Operations Pty Ltd,,GST,$18.91,$0.00,GST,$0.00,B,,,5,1,30,0,$208,,*None,3747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Better Online ,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2334,15/08/2021,2126,,P,Monthly cloud subscription,61001,$257.4,,,Purchase; Better Online ,,GST,$25.74,$0.00,GST,$0.00,B,,,5,1,30,0,$283.14,,*None,4830
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Utilities,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2332,18/08/2021,109553167,,P,Walton Global water and sewerage,62619,$188.63,,,Purchase; Urban Utilities,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,$188.92,,*None,3027
Urban Utilities,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2332,18/08/2021,109553167,,P,Surcharge balance paid by credit card on 06-11-2021,62619,$.29,,,Purchase; Urban Utilities,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,$188.92,,*None,3027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Express,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2333,19/08/2021,570,,P,Backyard maintenance,61107,$80,,,Purchase; Garden Express,,GST,$8,$0.00,GST,$0.00,B,,,5,1,30,0,$88,,*None,3566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2340,19/08/2021,226202,,P,Envelopes to send the reports from NSW to Brisbane,61301,$54.82,,,Purchase; Australia Post,,GST,$5.48,$0.00,GST,$0.00,B,,,5,1,30,0,$60.3,,*None,3854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoTrain Industry Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2365,19/08/2021,INV-9715,,P,QR SARC Induction for Jack,61804,$218.18,,,Purchase; GoTrain Industry Pty Ltd,,GST,$21.82,$0.00,GST,$0.00,B,,,5,1,30,0,$240,,*None,5529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Transport and Main Roads,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2335,20/08/2021,476467,,P,Car registration 12 months 448BG4,62004,$923.91,,,Purchase; Department of Transport and Main Roads,,GST,$92.39,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,016.3",,*None,3024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Express,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2339,20/08/2021,573,,P,Backyard maintenance,61107,$80,,,Purchase; Garden Express,,GST,$8,$0.00,GST,$0.00,B,,,5,1,30,0,$88,,*None,3566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daxon Fabrication,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2341,24/08/2021,R3977,,P,Pendulum repairs,61701,$148.75,,,Purchase; Daxon Fabrication,,GST,$14.88,$0.00,GST,$0.00,B,,,5,1,30,0,$163.63,,*None,3790
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
