Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Currency Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
11815,Payroll Clearing,,£0.15,Bank,55,N-T,,N,,,,,,N,,,N,,,
11816,Partnership paypal account,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11818,Undeposited Funds,,£431.83,Bank,0,N-T,,N,,,,,,N,,,N,,,
11825,Trade Debtors NZ,,£0.00,Accounts Receivable,,N-T,,Y,,,,,,,,,,,O,
11826,Trade Debtots NZ Exchange,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
11830,Less Prov'n for Doubtful Debts,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
11833,Trade Debtors Singapore,,£0.00,Accounts Receivable,,N-T,,Y,,,,,,,,,,,O,
11834,Trade Debtors Sing Exchange,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
11850,Credit Note Clearing Account,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11910,Voluntary Withholding Credits,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
11920,ABN Withholding Credits,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
12001,Other Assets,H,"£14,118.96",Asset,,,,N,,,,,,,,,,,,Y
12100,Deposits Paid,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
12200,Prepaid Insurance,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
12300,Prepaid Borrowing Expenses,,"£6,410.50",Fixed Asset,,N-T,,N,,,,,,,,,,,I,
12500,Formation Costs,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
12600,ATO Instalment Paid,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13300,Leasehold Improvements,H,"£393,914.37",Asset,,,,N,,,,,,,,,,,,N
13310,L'hold Improvements at Cost,,"£374,333.90",Other Asset,,N-T,,N,,,,,,,,,,,O,
13320,L'hold Improve Amortisation,,"-£38,373.67",Other Asset,,N-T,,N,,,,,,,,,,,O,
13330,Plant  and Equipment,,"£427,698.16",Fixed Asset,,N-T,,N,,,,,,,,,,,I,
13340,Accum Dep Plant and Equip,,"-£369,744.02",Fixed Asset,,N-T,,N,,,,,,,,,,,I,
13400,Testing Equipment,H,£0.00,Asset,,,,N,,,,,,,,,,,,N
13410,Maastrad Skid Tester,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13411,Tortus 11 Dry Fiction Tester,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13412,Tortus 11 Friction Tester,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13413,Tortus 3,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13414,Roughness Meter,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13415,Tortus 2 - Serial #157,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13416,Pendulum #10,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13417,Tortus 3,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13418,25 x Slider 96's,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13450,Less Accumulated depreciation,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
13500,IT Equip & Software,H,"£7,038.76",Asset,,,,N,,,,,,,,,,,,N
13510,IT Equipment at cost,,"£7,038.76",Other Asset,,N-T,,N,,,,,,,,,,,O,
13520,IT Equipment Accum Depn,,£0.00,Other Asset,,N-T,,N,,,,,,,,,,,O,
13600,Building Improvements Lota,H,£0.00,Asset,,,,N,,,,,,,,,,,,N
13610,Building Improvements at cost,,£0.00,Other Asset,,N-T,,N,,,,,,,,,,,O,
13620,Building Improvemts Accum Depn,,£0.00,Other Asset,,N-T,,N,,,,,,,,,,,O,
13700,General STS Pool,,£0.00,Other Asset,,N-T,,N,,,,,,,,,,,O,
14000,Loan to NZ and SNG,H,"-£66,813.97",Asset,,,,N,,,,,,,,,,,,N
14001,Loan to New Zeland,,"-£66,813.97",Other Asset,,N-T,,N,,,,,,,,,,,O,
14002,Loan to Singapore,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
14400,Shares in subsidiary company,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
14500,NZ ISTS Contra Acct,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
15500,SING ISTS Contra Acct,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
17500,UPE Receivable - Walton Global Trust,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
18000,Contra ISTS Partnership,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
18011,Trade Debtors,,"£176,358.37",Accounts Receivable,,N-T,,N,,,,,,,,,,,O,
19000,PAYPAL Account Mackaroo,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
19001,BOQ Vehicle A/C 2282 BOQ,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,Account opened in Bank of Queensland. It will receive 1% of the weekly revenue,,
19999,Suspense,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
20000,Liabilities,H,"£241,494.82",Liability,,,,N,,,,,,,,,,,,Y
21000,Current Liabilities,H,"£241,494.82",Liability,,,,N,,,,,,,,,,,,Y
21001,Credit Cards,H,"-£10,072.45",Liability,,,,N,,,,,,,,,,,,Y
21002,ANZ (new) CrCard 89489,,"-£10,072.45",Credit Card,,N-T,,N,,,,,,N,,,N,,O,
21100,GST Liabilities,H,"£51,131.44",Liability,,,,N,,,,,,,,,,,,Y
21101,GST Collected,,"£116,853.42",Other Liability,,N-T,,N,,,,,,,,,,,O,
21102,GST Paid,,"-£73,600.16",Other Liability,,N-T,,N,,,,,,,,,,,O,
21103,ATO Running Balance A/c,,"£11,861.93",Other Liability,,N-T,,N,,,,,,,,,,,O,
21104,PAYG Income Tax Instalement,,£0.00,Other Liability,,N-T,,N,,,,,,,,,,,O,
21105,Provision for FBT payable,,£0.00,Other Liability,,N-T,,N,,,,,,,,,,,O,
21106,Company Income Tax Payable,,"-£3,983.75",Other Liability,,N-T,,N,,,,,,,,,,,O,
21200,Payroll Liabilities,H,"£49,732.00",Liability,,,,N,,,,,,,,,,,,Y
21201,Payroll Deductions Payable,,"£5,345.14",Other Liability,,N-T,,N,,,,,,,,,,,O,
21202,Parental Leave Funds,,£0.00,Other Liability,,N-T,,N,,,,,,,,,,,O,
21203,PAYG Withholding Payable,,"£44,386.86",Other Liability,,N-T,,N,,,,,,,,,,,O,
21204,Superannuation Payable,,£0.00,Other Liability,,N-T,,N,,,,,,,,,,,O,
21300,Long Term Liabilities,H,"£184,967.08",Liability,,,,N,,,,,,,,,,,,Y
21301,BMW FINANCE 049DV7,,"£17,418.23",Long Term Liability,,N-T,,N,,,,,,,,,,,F,
21302,RAV4 FINANCE 469HZ3,,"£17,647.63",Long Term Liability,,N-T,,N,,,,,,,,,,,F,
21303,RAV4 FINANCE 204IS2,,"£19,843.26",Long Term Liability,,N-T,,N,,,,,,,,,,,F,
21304,RAV4 FINANCE 480JW9,,"£18,661.47",Long Term Liability,,N-T,,N,,,,,,,,,,,F,
21305,RAV4 FINANCE 483WJ9,,"£20,008.79",Long Term Liability,,N-T,,N,,,,,,,,,,,F,
21306,RAV FINANCE DL34BV,,"£25,563.22",Long Term Liability,,N-T,,N,,,,,,,,,,,F,
21307,RAV4 FINANCE 154KV2,,"£22,405.92",Long Term Liability,,N-T,,N,,,,,,,,,,,F,
21308,ALTITUDE FINANCE 750MO6,,"£43,418.56",Other Liability,,N-T,,N,,,,,,,,,,,F,
21346,Received Item,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
21350,Sales Tax Payable,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
21360,Import Duty Payable,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
21370,Voluntary Withholdings Payable,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
21395,ATO - Suspence,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
21400,Mike Walton - Personal Accts,H,"-£22,050.00",Liability,,,,N,,,,,,,,,,,,N
21401,Loan - Mick Walton 18752,,"-£24,050.00",Other Liability,,N-T,,N,,,,,,,,,,,O,
21402,Mike Walton 13658,,"£2,000.00",Other Liability,,N-T,,N,,,,,,,,,,,O,
21500,Intercompany Loaans,H,"-£23,949.24",Liability,,,,N,,,,,,,,,,,,Y
21501,Loans - Walton Global,,"£22,675.30",Other Liability,,N-T,,N,,,,,,,,,,,O,
21502,Mackaroo - ISTS Loans,,£0.00,Credit Card,,N-T,,N,,,,,,N,,,N,,O,
21503,Loans -  UAE,,"-£46,624.54",Other Liability,,N-T,,N,,,,,,,,,,,O,
21600,Client Deposits,,£115.50,Other Liability,,N-T,,N,,,,,,,,,,,O,
21700,Other Current Liabilities,,£0.00,Other Liability,,N-T,,N,,,,,,,,,,,O,
21905,Trade Creditors,,"£11,620.49",Accounts Payable,,N-T,,N,,,,,,,,,,,O,
21910,Trade Creditors Singapore,,£0.00,Accounts Payable,,N-T,,Y,,,,,,,,,,,O,
21911,Trade Creditors Sing Exchange,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
21950,Trade Creditors NZ,,£0.00,Accounts Payable,,N-T,,Y,,,,,,,,,,,O,
21951,Trade Creditors NZ Exchange,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22100,Bank Loans,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22101,Testers Loan,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22102,ANZ ChtlMtge 329RTY,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22103,ANZ Loan int 329RTY,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22107,ANZ ChtlMtge M/V 789RDY,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22108,ANZ Loan Int 789RDY,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22110,ANZ ChtleMtge S691AZK,,£0.00,Long Term Liability,,N-T,,Y,,,,,,,,,,,F,
22111,ANZ Loan interest,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22200,Other Long Term Liabilities,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
22250,Loan Mick & Steph,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
23000,ANZ (old) CrCard 56327,,£0.00,Credit Card,,N-T,,Y,,,,,,N,,,N,,O,
24100,ANZ Chttl Mtge 599TEG,,£0.00,Long Term Liability,,N-T,,Y,,,,,,,,,,,F,
24110,ANZ ChMtge Interest 599TEG,,£0.00,Long Term Liability,,N-T,,Y,,,,,,,,,,,F,
25100,ANZ Loan 51126,,£0.00,Long Term Liability,,N-T,,Y,,,,,,,,,,,F,
25200,ANZ Chttl Mtge Regn 589SZI,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25201,ANZ Loan Int Regn 589SZI,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25300,ANZ ChtleMtge 288WGI,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25310,ANZ ChMtge Year end adjustment,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25315,ANZ Chattel Mortg 489 WJO,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25320,ANZ Chattel Mortg 728 WLM,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25325,ANZ Chattel Mortg 353 XFU,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25326,Unexpired Interest 353 XFU,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25330,ANZ Chattel Mortage 841XCP,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25335,ANZ Chatttel Mortgage 405 XQC,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25336,Unexpired Interest 405XQC,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25337,ANZ Chattel Mortgage 215 XRP,,£0.00,Long Term Liability,,N-T,,Y,,,,,,,,,,,F,
25338,Unexpired Interest 215 XRP,,£0.00,Long Term Liability,,N-T,,Y,,,,,,,,,,,F,
25339,ANZ Chatel Mortgage 589 YSF,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25340,Unexpired Interest 589 YSF,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25341,ANZ Chatel Mortgage 559 ZDV,,£0.00,Long Term Liability,,N-T,,Y,,,,,,,,,,,O,
25342,BOQ Finance 156 XIB,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
25343,BOQ Finance 878ZVZ,,£0.00,Other Liability,,N-T,,Y,,,,,,,,,,,O,
30000,Equity,H,"£1,028,563.29",Equity,,,,N,,,,,,,,,,,,Y
31110,Opening Balance,,£0.00,Equity,,N-T,,N,,,,,,,,,,,F,
31115,Capital Introduced M Walton,,£0.00,Equity,,N-T,,N,,,,,,,,,,,F,
31120,Drawings - Walton Holdings,,£0.00,Equity,,N-T,,N,,,,,,,,,,,F,
31310,Drawings - Mackaroo Pty Ltd,,-£577.00,Equity,,N-T,,N,,,,,,,,,,,F,
32000,Income Tax on Earnings,,£0.00,Equity,,N-T,,N,,,,,,,,,,,F,
35000,Partners' Equity,H,£0.00,Equity,,,,N,,,,,,,,,,,,Y
35100,Partner A,H,£0.00,Equity,,,,N,,,,,,,,,,,,Y
35110,Partner A Capital,,£0.00,Equity,,N-T,,N,,,,,,,,,,,O,
35120,Partner A Drawings,,£0.00,Equity,,N-T,,N,,,,,,,,,,,O,
37000,Issued Capital,,£4.00,Equity,,N-T,,N,,,,,,,,,,,F,
38000,Retained Earnings,,"£798,066.03",Equity,,N-T,,N,,,,,,,,,,,O,
38500,Capitla Profits Reserve,,"£98,384.06",Equity,,N-T,,N,,,,,,,,,,,F,
38600,Capital Loss Reserve,,"-£107,699.77",Equity,,N-T,,N,,,,,,,,,,,F,
39000,Current Year Earnings,,"£240,385.97",Equity,,N-T,,N,,,,,,,,,,,,
39999,Historical Balancing,,"£7,059.48",Equity,,N-T,,N,,,,,,,,,,,O,
40000,Income,H,"£2,224,119.51",Income,,,,N,,,,,,,,,,,,Y
42000,Sales - Mick,,£790.00,Income,,GST,,Y,,,,,,,,,,,,
42001,Sales Monica,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42002,Sales - Kelly,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42003,Sales- Jenessa,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42004,Sales- Nikita,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42101,Sales - Courtney,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42102,Sales - Chantelle,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42103,Sales - Belinda,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42104,Sales - Corey,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42106,Sales - Michael Richardson,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
42300,Sales New Zealand,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
42301,Sales Singapore,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
42400,Sales International,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
42600,Income from ISTS New Zeland,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
42601,Income from ISTS Singapore,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
43000,Program Testing,,"£1,517,104.92",Income,,GST,,N,,,,,,,,,,,,
43001,Special Request Testing,,"£379,911.82",Income,,GST,,N,,,,,,,,,,,,
43002,GPC Testing,,"£52,285.00",Income,,GST,,N,,,,,,,,,,,,
43003,Equipment sales,,"£246,175.50",Income,,N-T,,N,,,,,,,,,,,,
43004,International Income,,£0.00,Income,,N-T,,N,,,,,,,,,,,,
43005,Proceeds on Sale,,"£27,727.27",Income,,GST,,N,,,,,,,,,,,,
43006,Miscellaneous Receipts,,£0.00,Income,,N-T,,N,,,,,,,,,,,,
43007,Freight,,£125.00,Income,,N-T,,N,,,,,,,,,,,,
45000,Jobkeeper Subsidy (NO GST),,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
45010,COVID Cashflow Boost,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
48100,ISTS Disbursements,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
48200,Freight Collected,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
48400,Equip & Vehicle Rental,,£0.00,Income,,GST,,Y,,,,,,,,,,,,
48500,Centrelink Payments,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
49000,Late Fees Collected,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
49500,Interest Income,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
49998,Currency Gain Loss,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
49999,Currency Gain / loss,,£0.00,Income,,N-T,,Y,,,,,,,,,,,,
50000,Cost of Sales,H,"£95,601.87",Cost of Sales,,,,N,,,,,,,,,,,,Y
50001,Cost of Sales,,"£95,601.87",Cost of Sales,,N-T,,N,,,,,,,,,,,,
51000,Freight,,£0.00,Cost of Sales,,GST,,Y,,,,,,,,,,,,
51001,Control test samples,,£0.00,Cost of Sales,,N-T,,Y,,,,,,,,,,,,
60000,General Expenses,H,"£1,904,324.72",Expense,,,,N,,,,,,,,,,,,Y
60001,Bank Fees,,"£1,056.94",Expense,,FRE,,N,,,,,,,,,,,,
60002,Bank Interest Charged,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
60003,Paypal collection fees,,£0.00,Expense,,N-T,,Y,,,,,,,,,,,,
60004,Bank Charges Capital Acct,,£0.00,Expense,,N-T,,Y,,,,,,,,,,,,
60005,Borrowing Costs,,£0.00,Expense,,N-T,,Y,,,,,,,,,,,,
60006,Debt Collection,,£0.00,Expense,,GST,,Y,,,,,,,,,,,,
60007,Bad Debts,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
60008,Accountancy Fees,,"£18,831.69",Expense,,GST,,N,,,,,,,,,,,,
60009,MYOB Fees,,"£2,013.12",Expense,,GST,,N,,,,,,,,,,,,
60010,Late Fees Paid,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
60011,Legal Fees,,£0.00,Expense,,GST,,Y,,,,,,,,,,,,
60012,Fees & Licences,,"£11,181.23",Expense,,GST,,N,,,,,,,,,,,,
60013,Assets < $1000,,"£1,202.59",Expense,,GST,,N,,,,,,,,,,,,
60014,Office equipment,,£289.64,Expense,,GST,,N,,,,,,,,,,,,
60015,Depreciation Expense,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
60016,Books ,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
60017,MYOB,,"£1,996.36",Expense,,GST,,N,,,,,,,,,,,,
60018,Advertising,,"£3,878.24",Expense,,GST,,N,,,,,,,,,,,,
60019,Client Business Meeting,,£125.86,Expense,,GST,,N,,,,,,,,,,,,
60020,Company Registration,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
60022,Contractor Services,,£0.00,Expense,,GST,,Y,,,,,,,,,,,,
60023,Sponsorships,,£0.00,Expense,,GST,,Y,,,,,,,,,,,,
60024,Donations,,£0.00,Expense,,N-T,,Y,,,,,,,,,,,,
60025,Dump,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
60026,Import Duty,,£0.00,Expense,,N-T,,Y,,,,,,,,,,,,
60027,Shipping ,,"£10,279.80",Expense,,N-T,,N,,,,,,,,,,,,
60029,Fringe Benefits Tax,,"£11,396.00",Expense,,N-T,,N,,,,,,,,,,,,
60031,Standards,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
60032,Interest Expense,,"£3,892.07",Expense,,N-T,,N,,,,,,,,,,,,
60033,China Standards,,£0.00,Expense,,N-T,,Y,,,,,,,,,,,,
60034,Customs Australia,,£0.00,Expense,,GST,,Y,,,,,,,,,,,,
60035,Fraudulent Expenses Credit Card,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
60036,Stripe Collection Fees,,"£2,387.35",Expense,,N-T,,N,,,,,,,,,,,,
60100,WH&S,H,"£5,696.22",Expense,,,,N,,,,,,,,,,Work Health and Safety Expenses,,N
60101,Inductions,,"£4,354.11",Expense,,GST,,N,,,,,,,,,,,,
60102,First Aid Kit,,£65.09,Expense,,GST,,N,,,,,,,,,,,,
60103,Works Health and Safety Audit,,£688.35,Expense,,GST,,N,,,,,,,,,,,,
60104,ASIC (Airport),,£321.40,Expense,,GST,,N,,,,,,,,,,,,
60105,Evacuation Diagram,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
60106,Clothing Onsite,,£0.00,Expense,,GST,,N,,,,,,,,,,Special pants or shirts  that technicians need o wear to perform slip test different from normal uniform,,
60107,Smoke and Fire Alarm,,£250.00,Expense,,GST,,N,,,,,,,,,,,,
60108,Fire Extinghuisher,,£17.27,Expense,,GST,,N,,,,,,,,,,,,
61000,IT & COMMUNICATIONS,H,"£35,381.60",Expense,,,,N,,,,,,,,,,,,N
61001,Computer/ IT Services,,"£16,484.91",Expense,,GST,,N,,,,,,,,,,,,
61002,Computer Backup Service,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
61003,Website Maintenance,,£499.86,Expense,,GST,,N,,,,,,,,,,,,
61004,Telephone & Internet,,"£14,829.50",Expense,,GST,,N,,,,,,,,,,,,
61005,Computer programs,,£314.86,Expense,,GST,,N,,,,,,,,,,,,
61006,IT Security,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
61007,IT  Accesories and Products,,"£1,565.19",Expense,,GST,,N,,,,,,,,,,,,
61008,ISTS App Expenses,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
61009,Webstore,,£72.60,Expense,,GST,,N,,,,,,,,,,,,
61010,Microsoft monthly Subscription,,"£1,614.68",Expense,,GST,,N,,,,,,,,,,,,
61100,Property Expenses,H,"£62,106.88",Expense,,,,N,,,,,,,,,,,,N
61101,Office Maintenance & Repairs,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
61102,Office rent,,"£34,625.00",Expense,,GNR,,N,,,,,,,,,,,,
61103,Office Electricity,,"£1,815.26",Expense,,GST,,N,,,,,,,,,,,,
61104,Office Rates,,"£6,499.10",Expense,,N-T,,N,,,,,,,,,,,,
61105,Office water & sewerage,,"£1,048.00",Expense,,N-T,,N,,,,,,,,,,,,
61106,Administration Fees,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
61107,Cleaning and Gardening,,"£17,126.86",Expense,,GST,,N,,,,,,,,,,,,
61108,Air Conditoner,,£488.64,Expense,,GST,,N,,,,,,,,,,,,
61109,Miscellaneous Expenses,,£504.02,Expense,,GST,,N,,,,,,,,,,,,
61200,Property Renovations,H,£0.00,Expense,,,,N,,,,,,,,,,,,N
61201,Whites Rd Office Reno,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
61202,Office Renovations,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
61203,Hire Equipment,,£0.00,Expense,,GST,,Y,,,,,,,,,,,,
61300,Admin Expenses,H,"£18,528.22",Expense,,,,N,,,,,,,,,,,,N
61301,Printing Stationery & Postage,,"£14,661.13",Expense,,GST,,N,,,,,,,,,,,,
61302,Freight Charges,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
61303,Post Box Fees,,£218.18,Expense,,GST,,N,,,,,,,,,,,,
61304,Office Supplies,,"£3,360.91",Expense,,GST,,N,,,,,,,,,,,,
61305,Art Desing Report,,£0.00,Expense,,GST,,N,,,,,,,,,,,,
61306,Kitchen Items,,£288.00,Expense,,GST,,N,,,,,,,,,,,,
61400,Insurance,H,"£31,227.37",Expense,,,,N,,,,,,,,,,,,N
61401,Insurance,,"£20,274.02",Expense,,GST,,N,,,,,,,,,,,,
61402,Workcover,,"£8,203.12",Expense,,GST,,N,,,,,,,,,,,,
61403,Insurance Stamp Duty,,"£2,209.60",Expense,,N-T,,N,,,,,,,,,,,,
61404,Underwriter Fee,,£0.00,Expense,,N-T,,N,,,,,,,,,,,,
61405,Broker Fee,,£519.61,Expense,,N-T,,N,,,,,,,,,,,,
61406,Emargency Services Levy ESL,,£21.02,Expense,,N-T,,N,,,,,,,,,,,,
