ContactName,AccountNumber,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PhoneNumber,MobileNumber,FaxNumber,EmailAddress,Website,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,DueDateSalesTerm,TaxNumber,BankAccountNumber,BankAccountName,SalesAccount
 Ken Brown,*None,PO Box 375,,,,Clayfield,QLD,4011,,,,,,,,,,,,,,,,2,,Unknown,,
 Koolan Iron Ore Pty Ltd,KIO,Level 1,2 Kings Park Road,,,West Perth,WA,6005,Australia,08 9426 7527,08 9426 7500,,accounts@mtgibsoniron.com.au,,,,,,,,,,,2,,Unknown,,
 CPB Contractors Pty Ltd,*None,Attn: Accounts Payable,PO Box 5000,,,Crows Nest,NSW,1585,Australia,+61 2 8668 6000,,+61 2 8668 6501,JDE.invoices@cpbcon.com.au,JDE.queries@cpbcon.com.au- payment enquiry,,,,,,,,,,2,,Unknown,,
 Linkforce Engineering,*None,PO Box 1845,,,,Subiaco,WA,6904,,,,,admin@linkforce.com.au,,,,,,,,,,,2,,Unknown,,
 Liquid Learning Group Pty Ltd,*None,Attn: Elizabeth Somerville,PO Box 48,,,St Leonards,NSW,2065,,,,,elizabeths@liquidlearning.com.au,,,,,,,,,,,2,,Unknown,,
 Macmahon Contractors Pty Ltd,MAC,"Level 3, 27-31 Troode Street",,,,West Perth,WA,6005,,08 9158 2753,0427 385 691 Mob,08 9158 2774,cmunyard@macmahon.com.au,,,,,,,,,,,2,,Unknown,,
 Mark A Underwood,*None,4 Coast Rise,,,,Swanbourne,WA,6010,,,,,,,,,,,,,,,,2,,Unknown,,
 Mining Technicians  Group Australia Pty Ltd,MTA,Unit 1-8 Cohn Street,,,,Carlisle,WA,6101,australia,08 9277 8886,0447 308 762,08 9463 7890,ap@mtga.com.au,purchasing@mtga.com.au-quotes,,,,,,,,,,2,,Unknown,,
 Toll Mining Services Pty Ltd(former Mitchell Corp),MTC001,PO Box 2588,,,,South Hedland,WA,6722,,08 9172 1951,,08 9172 1561,,,,,,,,,,,,2,,Unknown,,
 Mitsubishi Development Pty Ltd,MDP,"Level 35, Exchange Plaza, ",2 The Esplanade,,,Perth,WA,6000,,02 9951 4800-Sydney,08 6210 7905 -krystie,08 6210 7911,krystie.francis@mdp.mitsubishicorp.com.au; Arran.Gracie@mdp.com.au,,,"Level 36 , AMP Centre",50 Bridge Street,,,Sydney,NSW,2000.0,,2,,Unknown,,
 Mobile Dewatering,*None,Cnr Military & Bulbey Street,,,,Bellevue,WA,6056,,9250 4995,,,,,,,,,,,,,,2,,Unknown,,
 Mount Gibson Iron Ltd,MGI000,Level 1- 2 Kings Park Road,,,,West Perth,WA,6005,Australia,08 9426 7527,0478 409 485,08 9485 2305,admin@mtgibsoniron.com.au; accounts@mtgibsoniron.com.au,,,PO Box 55,,,,West Perth,WA,6872.0,,2,,Unknown,,
 Nabors Training Centre,*None,Attn: Larissa Fernandes,Administration Coordinator,,,,,,OMAN,,,,larissa.Fernandes@nabors.com,,,,,,,,,,,2,,Unknown,,
 NewGen Power Kwinana Pty Ltd,NEW,PO Box 349,,,,Kwinana,WA,6966,,08 9410 7726,08 9410 7700 (Main),(08) 9410 7799,accounts@newgenwa.com.au,melissa.coats@newgenwa.com.au;luke.mosele@newgenwa.com.au,,,,,,,,,,2,,Unknown,,
 Newmont Asia Pacific,NMC,"Level 2, 388 Hay Street",,,,Subiaco,WA,6008,Australia,(08) 9983 6287,08 9423 6335-account,08 9423 6234,invoices@newmont.com,APACInvoiceQueries@newmont.com,,Newmont Boddington Gold,,,,,,,,2,,Unknown,,
 Oyu Tolgoi LLC,*None,Accounts Payable,"7th Floor, Finance Center","Building #8 , 1st Khoroo","Jigjidjav Street, Chingeltei Distrrict",Ulaanbaatar,,210349,MONGOLIA,,,,OTSSAccountsPayable@ot.mn,,,,,,,,,,,2,,Unknown,,
 Petromatad Invest Limited,*None,"3905, Two Exchange Square, ","Suite No. 7703, 8 Connaught Plact, Central",,,Hong Kong,,,Hong Kong,clyde.evans@petromata,97611319888,,clyde.evans@petromatad.com,douglas.mcgay@petromatad.com,,,,,,,,,,2,,Unknown,,
 Petromatad Invest Limited &,*None,Central Asian Petroleum Corporation Ltd,"Suite 409, NIC Building Amar Street 8","Sukhbaatar District ,",,Ulaanbaatar,,210646,MONGOLIA,976 11 331099,,976 11 321799,sean.mcgay@petromatad.com,,,,,,,,,,,2,,Unknown,,
 Petrowaste Busters,PWB,Att: Bilan Hasan Awan,"Office  No. 4, Block 18, ","PHA Apartments, G-7/1",,Islamabad,,,PAKISTAN,,,,,,,,,,,,,,,2,,Unknown,,
 Pilbara Iron Company (Services) Pty Ltd,PIL,"Level 18, Central Park",152 St Georges Terrace,,,Perth,WA,6000,Australia,please email,08 9205 2413 -Serene,08 6102 3313,invoices@riotinto.com,P2P.concierge@riotinto.com,,,,,,,,2124.0,,2,,Unknown,,
 PT Mamahak Coal Mining,*None,"Graha Iskandarsyah, 11th Floor",Jl. Iskandarsyah Raya No. 66C,Kebayoran Baru,,Jakarta,,12160,INDONESIA,,,,gordong@southgobi.com,,,,,,,,,,,2,,Unknown,,
 PTT Asia Pacific Mining Pty Ltd,*None,"Level 2 , 56 Ord Street",,,,West Perth,WA,6005,,,,,rbelton@pttapm.com,,,,,,,,,,,2,,Unknown,,
 RABQSA International Inc,RAB,PO Box 347,,,,Penrith,NSW,2750,,knewman@rabqsa.com,02 4728 4605 accts,,accounts@rabqsa.com,,,,,,,,,,,2,,Unknown,,
 Ronald Chell,*None,4 Ramirez Court,,,,Wickham,WA,6720,,,,,,,,,,,,,,,,2,,Unknown,,
 Saferight Pty Ltd,*None,42 Belmont Avenue,,,,Belmont,WA,6104,,,,,,,,,,,,,,,,2,,Unknown,,
 SAI Global Limited,SAI,Locked Bag 8,,,,East Perth,WA,6892,,accounts.payable@saig,Ph: 9221 6800,,accounts.receivable@saiglobal.com,shalini.ram@sai-global.com,,,,,,,,,,2,,Unknown,,
 Sandwell Services Pty Ltd,*None,"L7, 200 Adelaide Terrace",,,,East Perth,WA,6004,,,,,glennys.hebenton@ausencosandwell.com,,,,,,,,,,,2,,Unknown,,
 Shaw River Resources,SRR,PO Box 1259,,,,West Perth,WA,6872,,9226 4455,,92264255,,,,1205 Hay Street,,,,West Perth,WA,6005.0,Australia,2,,Unknown,,
 South Gobi Sands LLC,SGS000,"4th Floor, Olympic Street - 6","1st khoroo, Sukhbaatar District",,,Ulaanbaatar,,210648,MONGOLIA,oyuntsetsegd@southgob,+ 976 11 310775,,oyuntsetsegd@southgobi.com,,,,,,,,,,,2,,Unknown,,
 Stijin Kuppers,*None,270 North Beach Road,,,,Karrinyup,WA,6018,,,,,,,,,,,,,,,,2,,Unknown,,
 Sustainability Assurance Services Pty Ltd,*None,PO Box 894,,,,Balcatta,WA,6914,Australia,,,,,,,,,,,,,,,5,,Unknown,,
 Sustainability Central Asia Pty Ltd,*None,,,,,,,,,,,,aamir.nanawati@sustainability.net.au,,,,,,,,,,,5,,Unknown,,
 Sustainability East Asia (Mongolia),*None,,,,,,,,,,,,,,,,,,,,,,,5,,Unknown,,
 Thomson Reuters,TRC,Attn: Alastair Ramsay,"Level 5 , 100 Harris Street",,,Pyrmont,NSW,2009,,,,,lidia.misev@thomsonreuters.com,,,,,,,,,,,2,,Unknown,,
 Tiwest Joint Venture,TIW000,Locked Bag 381,Bentley Delivery Centre ,,,Bentley,WA,6983,,08 9365 1304,08 9365 1383 Sophie,08 9365 1390,accounts@tiwest.com.au,,,,,,,,,,,2,,Unknown,,
 Total Marine Services,*None,Attn: Jane Dixey,PO Box 311 ,,,North Fremantle,WA,6189,,,,,JDixey@totalmarine.com.au,,,,,,,,,,,2,,Unknown,,
 Transpacific Cleanaway AEG Transfer Station,TPI,42 Kelvin Road,,,,Maddington,WA,6109,,08 9351 1324,,08 9351 1399,natalie.boreham@transpac.com.au,,,,,,,,,,,2,,Unknown,,
 Tribute Group,TRI,PO Box 1365,,,,Subiaco,WA,6904,,,,,fionnuala@tributegroup.com,,,,,,,,,,,2,,Unknown,,
 Tricon Drilling Solution Pty Ltd,TDS,85 Belgravia Street,,,,Belmont,WA,6104,,,,08 9477 2888,g.evans@triconds.com.au,,,,,,,,,,,2,,Unknown,,
 Ultimate Safety Solution Pty,*None,PO Box 1226,,,,South Perth,WA,6951,,,,,,,,,,,,,,,,2,,Unknown,,
 Western Plant Hire,WPH,52 Dooley Street ,,,,Naval Base,WA,6165,,,,08 9437 9933,richard@wph.net.au,,,,,,,,,,,2,,Unknown,,
 Woodside Energy Ltd,WSE000,Process Dept ( Account Payable),GPO Box D188,,,Perth,WA,6840,,08 9348 4000,08 9348 6103-ingrid,,AccountsPayable_PBS@woodside.com.au,APQueries@woodside.com.au,,240 St Georges Terrace. PERTH WA 6000,,,,,,,,2,,Unknown,,
 Woodside Energy Ltd - Karratha,*None,Karratha Gas Plant,Withnell Bay,,,Karratha,WA,6714,,08 9158 8463,,08 9158 8000,AccountsPayable_PBS@woodside.com.au,APQueries@wwodside.com.au,,,,,,,,,,2,,Unknown,,
 Worsley Alumina Pty Ltd,WOR,PO Box 344,,,,Collie,WA,6225,,08 9734 8311,,,accountspayablebwapl@bhpbilliton.com,,,,,,,,,,,2,,Unknown,,
 Australian Associated Press,AAP,"Level 5, 3 Rider Boulevard",Rhodes Waterside,,,Rhodes,NSW,2138,,(02) 9322 8000,,,,,,,,,,,,,,2,,Unknown,,
 Sustainability Administration,*None,,,,,,,,,,,,,,,,,,,,,,,5,,Unknown,,
 ETAS,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Autoridade Nacional do Petroleum,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Maersk Oil Kazakhstan Gmbh,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Sustainability Training,*None,,,,,,,,,,,,,,,,,,,,,,,5,,Unknown,,
 Richard Marshall,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Ricky Karaitiana,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Sundance Resources Ltd,*None,Attn: Dr. Jim Tyler,"Level 35 , Exchange Plaza",2 The Esplanade,,Perth,WA,6000,,,,,,,,,,,,,,,,2,,Unknown,,
 Ngarda Civil & Mining Pty Ltd,NGA,202 Pier Street,,,,Perth,WA,6000,,08 6272 5000,,08 6272 5099,Please mail invoices; accounts@ngarda.com.au,,,PO Box 496,,,,Belmont,WA,6984.0,,2,,Unknown,,
 Mine Site Fencing,MSF,Attn: Jason Pymm,121 Bennett Drive,,,Canning Vale,WA,6155,,0417 985 811,,,,,,,,,,,,,,2,,Unknown,,
 Marble Group,MGR,Attn: Stacey Ensell,"Suits 10-12 , 100 Railway Road",,,Subiaco,WA,6008,,08 9380 2200,,08 9380 2222,accounts@marblegroup.com.au,sensell@marblegroup.com.au,,,,,,,,,,2,,Unknown,,
 FH Bertling Pty Ltd,BER,PO Box 7488,,,,Cloisters Square,WA,6850,,08 9481 5511,,08 9481 5711,,,,,,,,,,,,2,,Unknown,,
 Electricity Networks Corporation T/A Western Power,WPR,Accounts Payable,Locked Bag 2503,,,Perth BC,WA,6849,,08 9326 6280,08 9326 6904,08 9326 4595,alan.robertson@westernpower.com.au,,,,,,,,,,,2,,Unknown,,
 Rally Revegetation & Environmental Services,RRE,PO Box 853,,,,Subiaco,WA,6904,,08 9380 8377,08 9022 3677,,donna@rallyreveg.com,,,,,,,,,,,2,,Unknown,,
 Darron Sprigg,*None,34 Exploreers Cres,,,,Baldivis,WA,6171,,,,,,,,,,,,,,,,2,,Unknown,,
 Lin Jaehyun,*None,Unit 1 1-29,Bunn Street,,,Pyrmont,NSW,2009,,,,,,,,,,,,,,,,2,,Unknown,,
 Peter Hayley,*None,"012, Taylor Road",,,,Jindong Busselton,WA,6280,,,,,,,,,,,,,,,,2,,Unknown,,
 Michael Dawson,*None,Chevron Australia,250 St. Goerge Terrace,,,Perth,WA,6000,,,,,,,,,,,,,,,,2,,Unknown,,
 ASIS International,*None,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Andre Naude,*None,42/165 Grand Baulevard,,,,Joondalup,WA,6027,,,,,,,,,,,,,,,,2,,Unknown,,
 GFR Group,GFR,"Level 1, 580 Hay Street (cnr Hay & Barrick Street)",,,,Perth,WA,6056,Australia,08 6330 4700,,08 6330 4799,ap@gfr.com.au,,,PO BOX 5303 ,,,,Perth,WA,6000.0,Australia,2,,Unknown,,
 Ramu NiCo Management ( MCC ) Ltd,*None,"Madang Base , Lot 19","Section 95 , PO Box 1229",Madang 511,,Madang Province,PNG,,,+675 2760122 X6052,+675 70203040,675 4221 710,sunjianfu@mccgrd.com;wayne@mccgrd.com;songzhenpeng@mccgrd.com,,,,,,,,,,,2,,Unknown,,
 Mongolian Energy Corp LLC,*None,MoEnCo LLC,Attn: Mrs Ochmaa Ganbold-Accountant Accounts Payable Dept,"11th Floor , Central Tower","Sukhbaatar Square , SBD-8",Ulaanbaatar 210620a,,,Mongolia,,,,,,,,,,,,,,,2,,Unknown,,
 Conneq Infrastructure Services ( Aust) Pty Ltd,BBS,Attn: Russell Donoghue,        National Safety Manager,"Level 3, Building B",7-11 Talavera Road,Macquarie Park,NSW,2113,,08 9175 5333 Newman,,08 9175 0064 newman,RUSSELL.DONOGHUE@bbsaa.com.au,lisa.jeffery@conneq.com.au,,,,,,,,,,2,,Unknown,,
 William Summers,*None,31 Hudson Drive,,,,Dudley Park,WA,6210,,,,,,,,,,,,,,,,2,,Unknown,,
 Claire McQueenie,*None,55 Amalfi Drive,,,,Hillarys,WA,6025,,,,,,,,,,,,,,,,2,,Unknown,,
 Chevron Australia Pty Ltd,CHE,256 St. Georges Tce,,,,Perth,WA,6000,,+61 8 9262 2041,,,Lauren.Roff@chevron.com; Stef.Lamberto@chevron.com,,,Attention: Claire Parker,250 St. Georges Tce,,,Perth,WA,6000.0,,2,,Unknown,,
 Glenn Richard Wubbels,*None,"141 , South Western Highway",,,,Waroona,WA,6215,,,,,,,,,,,,,,,,4,,Unknown,,
 KJVG,*None,256 St. George Terrace,,,,Perth,WA,6000,,,,,,,,,,,,,,,,4,,Unknown,,
 Koniambo Nickel SAS,*None,C/O  Koniambo Project,"9 , Rue d'Austerlitz",BP MGA 08,98802 Noumea,Cedex,,,Nouvelle-Cal??donie,,,,,,,,,,,,,,,4,,Unknown,,
 Avoca Resources Ltd,*None,PO Box 7068,,,,Cloister Square,WA,6850,Australia,sfranklin@avocaresour,9226 0625,,sfranklin@avocaresources.com.au,emma.sharpe@westgold.com.au,,,,,,,,,,4,,Unknown,,
 Steven Goostrey,*None,31/46 Smith Street,,,,Highgate,WA,6003,,,,,,,,,,,,,,,,4,,Unknown,,
 Harvey Norman,*None,,,,,,,,,,,,,,,,,,,,,,,4,,Unknown,,
 Timothy Richard Brouff,*None,PO Box 2513,,,,Clarkson,WA,6030,,,,,,,,,,,,,,,,4,,Unknown,,
 Water Corporation,*None,Bandicoot Drive,,,,Kununurra,WA,6743,,,,,,,,,,,,,,,,4,,Unknown,,
 Mireille Mimi Dewalheyns,*None,11 Acapulco Way,,,,Quinns Rocks,WA,6030,,,,,,,,,,,,,,,,4,,Unknown,,
 Corey Makings,*None,PO Box 583,,,,Port Melbourne,VIC,3207,Australia,0404 348 045,,,coreymako@gmail.com,,,,,,,,,,,4,,Unknown,,
 Eric Justin Gaston Smeers,*None,11 Acapulco Way,,,,Quinns Rocks,WA,6030,,,,,,,,,,,,,,,,4,,Unknown,,
 Robert John Barker,*None,160 Maida Vale Road,,,,High Wycombe,WA,6057,,,,,,,,,,,,,,,,4,,Unknown,,
 Ross Pickering,*None,30 Allasa Retreat,,,,Quinns Rock,WA,6030,,,,,,,,,,,,,,,,4,,Unknown,,
 Michael Oliver,*None,17 Alliance Court,,,,Currambine,WA,6028,,,,,,,,,,,,,,,,4,,Unknown,,
 Suzy Preston,*None,4 Coogan Close,,,,Yangebup,WA,6164,,,,,,,,,,,,,,,,4,,Unknown,,
 Rachel Smith,*None,3 Noonan Drive,,,,Wanneroo,WA,6065,,,,,,,,,,,,,,,,4,,Unknown,,
 MSP Engineering Pty Ltd,MSP,PO Box 1009,,,,Balcatta,WA,6914,,08 6241 4900,,08 6241 4988,,,,,,,,,,,,2,,Unknown,,
 Damian Lepidi,*None,26 Dunlin Way,,,,Gwelup,WA,6018,,,,,,,,,,,,,,,,4,,Unknown,,
 Patricia J Neilson,*None,PO Box 164,,,,Wickham,WA,6720,,,,,,,,,,,,,,,,4,,Unknown,,
 Robe River Iron Associates,*None,Accounts Payable,Locked Bag 5004,,,Tuggeranong,ACT,2901,,9143 5033 Lisa,,,rtsspthinvoices@riotinto.com,,,,,,,,,,,4,,Unknown,,
 Margi Hollands,*None,PO Box 1352,,,,Kununurra,WA,6743,,,,,,,,,,,,,,,,4,,Unknown,,
 Lauren O'Neill,*None,PO BOx 602,,,,Kununurra,WA,6743,,,,,,,,,,,,,,,,4,,Unknown,,
Neil Williams,*None,PO Box 4187,,,,Mandurah North,WA,6210,Australia,0408 711 972,,,neil.williams2@riotinto.com,,,,,,,,,,,4,,Unknown,,
 Lynette Meyer,*None,31a Cooper Street,,,,Nedlands,WA,6009,,,,,,,,,,,,,,,,4,,Unknown,,
 Stephen Sandilands,*None,25  Eynesford Street,,,,Gosnells,WA,6110,,,,,,,,,,,,,,,,4,,Unknown,,
 Wade Andrew Apps,*None,4 Islandview Place,,,,Swanbourne,WA,6010,,,,,,,,,,,,,,,,4,,Unknown,,
 Philip Swemmer,*None,P.O. BOX 386,Derdepoort,,,Pretoria,,,,,,,,,,,,,,,,,,4,,Unknown,,
 Sustainability North America,*None,"Suite 300, 5 Richard Way SW",,,,Calgary Alberta T2E 7M8,,,Canada,,,,,,,,,,,,,,,4,,Unknown,,
 Lynas Corporation Ltd,LYN,"Level 1, ",7 Tully Road,,,East Perth,WA,6004,,08 6241 3800,,08 9225 6842,general@lynascorp.com,,,,,,,,,,,4,,Unknown,,
 Odin Cann,*None,90 Camberwarra Drive,,,,Currambine,WA,6028,,,,,,,,,,,,,,,,4,,Unknown,,
Simon Young,YOUS,2/9 Mathoura Street,,,,Midland,WA,6056,Australia,0408 880 443,,,ssyman@me.com,,,,,,,,,,,4,,Unknown,,
 Tony Vile,*None,,,,,,,,,,,,,,,,,,,,,,,4,,Unknown,,
