{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Cost Per Hour,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Tax Code,Credit Limit,Tax ID No.,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,Statement Text,Remittance Method,Remittance Address,A.B.N. ,A.B.N. Branch,Volume Discount %,Sales/Purchase Layout,Account,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Supplier's Tax Code,Report Taxable Payments,Payment Memo,Invoice/Purchase Order Delivery,Record ID
Brendan Lynch,,BRL000,N,8 Burns Street,,,,Cloverdale,WA,6105,,H 9277 5752,0427 957 569,,,brendan.lynch@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,083-832,812567846,BRENDAN AND SARAH LYNCH,SUSTAINABILITY,P,,58636827987,,0,S,,,,,GNR,Y,N,,P,144
Burge,Melissa,MEB000,N,2 Flotilla Drive ,,,,Heathridge,WA,6027,,62014854,0401 574 067,,,Melissa.Burge@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,016-494,492350807,MELISSA M BURGE,SUSTAINABILITY,P,,,,0,S,,,,,N-T,Y,N,,P,145
Coutinho,Chris,CHC000,N,,,,,,,,,,,,,Chris.Coutinho@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,306-042,1039757,CHRIS COUTINHO,SUSTAINABILITY,E,Chris.Coutinho@sustainability.net.au,,,0,S,,,,,N-T,Y,N,,P,146
CTI Super Couriers,,CSC000,N,PO Box 400,,,,West Perth,WA,6872,,08 9427 4700 p/up,08 9427 4789 Sales/AC,,08 9227 6027,admin@ctisupercouriers.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4/11 - received notification of change of phone numbers - PdS,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,016-002,836065744,CTI LOGISTICS,CUST 014425 SUSTAI,P,,17051430338,,0,S,6-1515,,,,GST,Y,N,,P,147
Department of Training & Workforce Development,,DTW000,N,1 Prospect Place,,,,West Perth,WA,6005,,08 9203 3803,,,,dtwdap@dtwd.wa.gov.au,Leanne.Fredericks@trainingwa.wa.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,066-040,17700094,DEPT OF TRAINING&WORKFORCE DEV,SUSTAINABILITY,P,,28925312809,,0,S,,,,,GST,Y,N,,P,148
Doyle,Jarrod,JAD000,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,014-524,489188589,JARROD DOYLE,SUSTAINABILITY,P,,,,0,S,,,,,N-T,Y,N,,P,149
EGi,,EGI000,N,81A College Street,,,,Balmain,NSW,2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,062-110,28014527,ENVIRONMENTAL GEOCHEMISTRY INTL,SUSTAINABILITY,P,,12003793486,,0,S,,,,,GNR,Y,N,,P,150
Envirosupport Pty Ltd,,ENV000,N,PO Box 286,,,,Bentley,WA,6102,,,0417 181 077,,,Stefan.Nicholson@envirosupport.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,086-138,519869554,ENVIROSUPPORT PTY LTD,SUSTAINABILITY,P,,51077167901,,0,S,,,,,GNR,Y,N,,P,151
Four Corners Emigration,,FCE000,N,"Level 39,  Citigroup Centre",2 Park Streeet,,,Sydney,NSW,2000,,1800 201 222,02 9004 7235,,02 8905 9558,c.foot@fourcorners.net,info@4courners.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,GST,0,,,,,,064-000,10685130,FOUR CORNERS EMIGRATION AUST P/L,SUSTAINABILITY,P,,76092455500,,0,S,6-1415,,,,GST,Y,N,,P,152
Giles,Susan,SUG000,N,4 Elizabeth Street,,,,Osborne Park,WA,6017,,9345 3360,,,,susan.giles@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,736-080,738479,SUSAN GILES & PETER RHODES,SUSTAIN OOPE,P,,,,0,S,,,,,N-T,Y,N,,P,153
Grigor Investments Pty Ltd,,GRI000,N,PO Box 8048,,,,Subiaco East,WA,6008,,,,,,michelle@businessmentor.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,086-006,450842803,GRIGOR INVESTMENTS PTY LTD,1081 SUSTAINABILIT,P,,76321710863,,0,S,,,,,GST,Y,N,,P,154
J.N Bailey Pty Ltd,,JNB000,N,,,,,Macarthur Square,NSW,2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,112-879,410189117,JN BAILEY PTY LTD,SUSTAINABILITY,P,,24134574968,,0,S,,,,,GNR,Y,N,,P,155
Edmonds,Jamie,JAE000,N,,,,,,,,,,,,,jamie.edmonds@exemail.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,802-397,721086,JAMIE N &TINA L EDMONDS,SUSTAINABILITY,P,,30708328155,,0,S,,,,,GNR,Y,N,,P,156
McEwan,Karen,KAM000,N,440 Soldiers Road,,,,Cardup,WA,6122,,0438 991 308,,,,karenmcewan23@bigpond.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,036-032,394766,KAREN MCEWAN,SUSTAINABILITY,P,,68066398438,,0,S,,,,,GST,Y,N,,P,157
Marks,Debra,DEM000,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,736-308,574862,DEBRA MARKS,SUSTAINABILITY OOP,P,,,,0,S,,,,,N-T,Y,N,,P,158
Moong,Tin Nang (Employee),TNM000,N,,,,,,,,,,,,,nang.moong@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,016-350,525579334,TIN NANG MOONG,SUSTAINABILITY,P,,,,0,S,,,,,N-T,Y,N,,P,159
Da Silva,Pauline,PDS000,N,PO Box 139,,,,Duncraig East,WA,6023,,08 9203 7775,0438 105 844,,,pauline.dasilva@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,066-168,10199774,JMP & PJ DA SILVA,SUSTAINABILITY,P,,73088791705,,0,S,,,,,GNR,Y,N,,P,160
Sawyer,Peter,PES000,N,217 Welsby Pde,,,,Brisbane Island,QLD,4507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,014-645,536794013,PETER A SAWYER,SUSTAINABILITY,P,,,,0,S,,,,,N-T,Y,N,,P,161
Pristine Window Cleaning,,PWC000,N,10 Draconis Street,,,,Heathridge,WA,6026,,0409 209 365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,036-231,261966,PRISTINE WINDOW CLEANING,SUSTAINABILITY,P,,70073579713,,0,S,,,,,GST,Y,N,,P,162
Quality Resort Sorrento Beach,,QRS000,N,1 Padbury Circle,,,,Sorrento,WA,6020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,086-420,565090920,AJS MANAGEMENT WA PTY LTD,SUSTAINABILITY,P,,62854704047,,0,S,,,,,GST,Y,N,,P,163
Risk Evaluation & Management,,REM000,N,138A Manning Road,,,,Manning,WA,6152,,,0412 525 448,,,wes.rawlings@sustainability.net.au,,Wes Rawlings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,066-179,10124520,WES RAWLINGS,SUSTAINABILITY,P,,87694643062,,0,S,,,,,GNR,Y,N,,P,164
Rod Pratt Stationers,,RPS000,N,PO Box 184,,,,Greenwood,WA,6924,,08 9447 9427,0412 334 750,,08 9448 4714,rodprattstationers@bigpond.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,066-168,10084758,ROD PRATT STATIONERS,44958-SUSTAINAB,E,rodprattstationers@bigpond.com,71661133176,,0,S,6-1560,,,,GNR,Y,N,,P,165
Lynch,Sarah,SAL000,N,8 Burns Street,,,,Cloverdale,WA,6105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,083-832,812567846,BRENDAN & SARAH LYNCH,SUSTAINABILITY,P,,20411270459,,0,S,,,,,GST,Y,N,,P,166
SEEK Limited,,SEE000,N,"Level 2, Wellington Streeet",,,,St Kilda,VIC,3182,,1300 658 700,,,,remittance@seek.com.au,kali@seek.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,14,0,GST,0,,,,,,033-802,61855206,SEEK LIMITED,700038964 SUSTAINA,E,remittance@seek.com.au,46080075314,,0,S,6-1415,,,,GST,Y,N,,P,172
Ratnawati,Selvia,SER000,N,4/130 Terrace Road,,,,Perth,WA,6000,,08 9214 3875,,,08 9440 1528,selvia.ratnawati@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,306-065,305391,SELVIA RATNAWATI,SUSTAINABILITY,P,,21635678048,,0,S,,,,,GNR,Y,N,,P,173
Sentinel Risk Management,,SRM000,N,,,,,,,,,,,,,frank.piggott@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,346-022,100689071,SENTINEL RISK MANAGEMENT,SUSTAINABILITY,P,,22139048525,,0,S,,,,,GNR,Y,N,,P,174
Redding,Jaimie (Employee),JAS000,N,,,,,,,,,,,,,jaimiesheedy@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,062-692,36745502,JAIMIE SHEEDY,OOPE,E,Jaimie.Redding@sustainability.net.au,,,0,S,,,,,N-T,Y,N,,P,175
Syed,Amina,AMS000,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,,,,,P,,,,0,S,,,,,N-T,Y,N,,P,176
Telstra,,TEL000,N,,,,,Adelaide,SA,5000,,1300 368 367,,,08 8211 9297,,www.telstra.com.au/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,21,0,GST,0,,,,,,123-456,23456,TEL,SUS,A,,33051775556,,0,S,6-1575,,,,GST,Y,N,,P,177
Threat Analysis Group,,TAG000,N,PO Box 2058,,,,Marmion,WA,6020,Australia,0429 631 423,,,,todd.davey@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,306-073,862813,THREAT ANALYSIS GROUP,SUSTAINABILITY,P,,67663853608,,0,S,May-20,,,,GNR,Y,N,,P,178
Universal Productions,,UNP000,N,Unit 2/22 Prestige Parade,,,,Wangara,WA,6065,,08 63050522,,,08 6305 0533,admin@universalproductions.com.au,,Greg Garbellini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,086-270,949749026,UNIVERSAL PRODUCTIONS,34534 SUSTAINABILI,P,,12165430553,,0,S,,,,,GST,Y,N,,E,179
Vanderwal,Jo,JOV000,N,22 Stanton Crescent,,,,Greenwood,WA,6024,,08 9247 1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,733-528,503835,JOANNE VANDERWAL,SUSTAINABILITY,P,,,,0,S,,,,,N-T,Y,N,,P,180
Vanderwal,Ray,RAV000,N,22 Stanton Crescent,,,,Greenwood,WA,6024,,08 9247 1432,,,,Ray.Vanderwal@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,736-080,686613,RAYMOND VANDERWAL,OOPE,P,,,,0,S,,,,,N-T,Y,N,,P,181
Vasey Family Trust,,VFT000,N,84 Collins Street ,,,,Kalgoorlie,WA,6430,,0438 906 968,,,,kalvaseys@bigpond.com,,Alan Vasey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,036-125,371563,VASEY EHS CONSULTING PTY LTD,SUSTAINABILITY PAY,P,,28990502123,,0,S,May-20,,,,GST,Y,N,,P,182
Webster,Anthony (Employee),ANW000,N,10 Pittwater Close,,,,Kallaroo,WA,6025,Australia,9203 9038,0438 415 721,,,tony.webster-smith@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,N-T,0,,,,,,736-027,717134,ANTHONY WEBSTER,OOPE SUSTAINABILIT,E,tony.webster-smith@sustainability.net.au,,,0,S,,,,,N-T,Y,N,,P,183
Workplace Safety Auditing & Consultancy Services,,WSA000,N,38 Pearse Road,,,,Port Denison,WA,6525,,,,,,david.kennedy@sustainability.net.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GNR,0,,,,,,736-131,524623,DAVID R KENNEDY,SUSTAINABILITY,P,,76907029726,,0,S,,,,,GNR,Y,N,,P,184
A Saeed Consulting Pty Ltd,,ASC00,N,23 Scandrett Way,,,,Bateman,WA,615o,,0410 610 825,,,,ahmed.saeed@sustainability.net.au,,Ahmed Saeed/Ali Saeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,016-499,493944383,AHMED SAEED PTY LTD,SUSTAINABILITY,P,,29542007114,,0,S,Jan-30,,,,GST,Y,N,,E,185
ACPET,,ACP000,N,Australian Council for Private Education & Training,PO Box 551 ,,,East Melbourne,VIC,8002,Australia,03 9412 5900,,,03 9416 1895,,www.acpet.edu.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,062-018,10202035,ACPET,SUSTAINABILITY,P,,63054953758,,0,S,,,,,GST,Y,N,,P,186
