Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Tax Code,Credit Limit,Tax ID No.,Volume Discount %,Sales/Purchase Layout,Price Level,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,A.B.N. ,A.B.N. Branch,Account,Salesperson,Salesperson Card ID,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Customer's Tax Code,Receipt Memo,Invoice/Purchase Order Delivery,Record ID
Central Asian Petroleum Corporation,,*None,N,Attn: Sean McGay,"3905 Two Exchange Square ,","Suite No. 7703 , 8 Connaught Place, Central",,,,,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,53
Champion Technologies Pty Ltd,,CHA,N,PO Box 1070,,,,Bentley,WA,6983,,08 9472 9400,,,08 9472 9422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,22008079614,,,,,,,,GST,N,,P,54
Christian Mellon,,*None,N,2 Selman Avenue,,,,Newman,WA,6753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,55
Cimeco Pty Ltd,,CIM,N,Cnr Howson Way & Stock Road,,,,Spearwood,WA,6163,,08 9434 9922,,,08 9434 9911,anita.niciforo@cimeco.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,44114897728,,,,,,,,GST,N,,P,56
Cliffs Asia Pacific Iron Ore Pty Ltd,,CAP,N,GPO Box W2017,,,,Perth,WA,6846,,accounts@portman.com.,08 9426 3333,4804581820,08 9426 3344,invoices.perth@clevelandCliffs.com,enquiry-apanswers@clevelandcliffs.com,Acct: Pippa 9426 3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,22007871892,,,,,,,,GST,N,,P,57
Dampier Salt Pty Ltd.,,*None,N,"SBS ,Locked Bag 5106 ",,,,Parramatta,NSW,2124,,,1300667703,,08 6102 3312,rtsspthinvoices@riotinto.com;rtssperthaccounts@riotinto.com,www.dampiersalt.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,35900008706,,,,,,,,GST,N,,P,58
Dampier Salt Pty Ltd,,*None,N,RTSS Accounts Payable,         Locked Bag 5555,,,Tuggeranong,ACT,2901,,08 9956 3222,,,08 9956 3200,rtssPTHinvoices@riotinto.com,,Accts Helen Richardson,,RTSS Accounts Payable,         Locked Bag 5555,,,Tuggeranong,ACT,2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,30008706590,,,,,,,,GST,N,,P,59
Dean Edward Hotton,,*None,N,3/100 Piesse Street,,,,Kalgoorlie,WA,6432,,,,,,deanhotton@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,60
Department of Training and Employment,,DTE000,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,61
Diana Dobreskovic,,*None,N,8A Florida Drive,,,,Landsdale,WA,6065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,63
DLA Phillips Fox,,*None,N,Level 32 St Martins Tower,44 St Georges Terrace,,,Perth,WA,6000,,nicole.smith@dlaphill,6467 6000,,,nicole.smith@dlaphillipsfox.com,,guy French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,64
Energy Resources LLC,,ERL000,N,"Central Tower , 16th Floor","Right Suite 2 , Sukhbaatar Square 2",Sukhbaatar District-8,,Ulaanbaatar,,210620a,MONGOLIA,976 11 322279,976-8811-5512,,,baigalmaa@energyresources.mn,,Baasandorj Ts,Vice Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,65
ENI Australia,,ENI,N,PO Box 6862,,,,East Perth,WA,6892,,accounts.payable@enia,9320 1109  Donna Acc,,08 9320 1100,accounts.payable@eniaustralia.com.au,daniella.papagno@eniaustralia.com.au,9320 1109  Donna Acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,15480989399,,,,,,,,GST,N,,P,66
Georgiou Building,,*None,N,PO Box 2065,,,,Malaga,WA,6944,,Frank.letizia@georgio,9216 7460,,,Frank.letizia@georgiou.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,44057356948,,,,,,,,GST,N,,P,67
Georgiou Group Pty Ltd,,GEO,N,PO Box 1815,,,,Osborne Park DC,WA,6916,,08 9200 2500,08 9200 2437 - AP,+61 8 9200 2455,08 9200 2300,invoices@georgiou.com.au; travis.kingdon@georgiou.com.au,invoices.enquiries@georgiou.com.au,Travis Kingdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,4,0,45,0,0,GST,0,,0,I,0,EFT,,,    ,,,,82073851948,,,,,,,,GST,N,,P,68
Griffin Power 2 Pty Ltd,,GRI,N,GPO Box G474,,,,Perth,WA,6841,,lara.weber@thegriffin,08 9261 2800,,08 9481 4011,les.egerton@thegriffingroup.com.au,,,9261 2800 accts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,57122896968,,,,,,,,GST,N,,P,69
Gulfploy Pty Ltd,,GUL,N,2274 Coonawarra Road,,,,Winnellie,NT,820,,08 8947 0788,,,08 8984 3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,90082980247,,,,,,,,GST,N,,P,70
Hamersley Iron Pty Ltd,,HAM000,N,RTIO PD Accounts Payable,Locked Bag 5109,,,Parramatta,NSW,2124,,Please email,,,+61 8 6102 3313,invoices@riotinto.com,P2P.Concierge@riotinto.com,,,RTSS Accounts Payable,Locked Bag 5106,,,Parramatta,NSW,2124,,1300 667 703,,,08 6102 3312,rtssPTHinvoices@riotinto.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,EFT,,,    ,,,,49004558276,,,,,,,,GST,N,,P,71
Helicopters Australia Pty Ltd,,HAP,N,"Level 2 , 2 George Wiencke Drive",,,,Perth Domestic Airport,WA,6105,,08 9267 1600,,,08 9267 1699,mathew-herderson@helicopters.com.au,,Accts: Sarah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,26008932189,,,,,,,,GST,N,,P,72
Hismelt Operations Pty Ltd,,HIS,N,PO Box 455,,,,Kwinana,WA,6966,,rtssPTHinvoices@rioti,08 6213 0362 accts,08 9437 0600,08 9437 0601,rtssPTHinvoices@riotinto.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,73008751317,,,,,,,,GST,N,,P,73
Holcim Australia Pty Ltd,,HOL,N,PO Box 1513,,,,Milton,QLD,4064,Australia,08 9212 2105/,9388 8360,0400 911 640,9381 2360,apinvoices@holcim.com,,Peter Seaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFPS,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,87099732297,,,,,,,,GST,N,,P,74
HWE Mining Pty Ltd,,HWE,N,Attn: Accounts Payable,PO Box 1166,,,Nedlands,WA,6909,,08 9389 4777,,,08 9389 9699,HWE.Invoices@hwe.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,44117135672,,,,,,,,GST,N,,P,75
Independant Metallurgical Operations,,IMO,N,PO Box 8151,Subiaco East,,,,WA,6008,,08 9254 6900,,,08 9322 1808,imo@indmetops.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,33084725557,,,,,,,,GST,N,,P,76
IS&T Asia Pacific,,*None,N,Technological Resources Pty Led,Locked Bag 5555,Australia ,,Tuggeranong,NSW,2901,,08 9327 2895,,,,Invoices.Aust@riotinto.com,,Shannon Baron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,77
Jennifer Sue Little,,*None,N,PO Box 1379,,,,Carnarvon,WA,6701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,78
John Holland Pty Ltd,,JHG,N,L2 71 Walters Drive,,,,Herdsman,WA,6017,Australia,08 9482 2764-wtstone,08 6218 1644-julia,(08) 6229 3865-eryn,08 9482 2894,nch.accounts@jhg.com.au;WA.accounts@jhg.com.au;mengtee.ang@jhg.com.au,dianne.nicholson@jhg.com.au-cape;clb.accounts@jhg.com.au,Damien Smith,089482 2822cape,,,,,,,,,,,,,,,,,PO Box 1586,,,,Osborne Park,WA,6916,Australia,0457 768 618,08 9482 2751,,,nick.martens@jhg.com.au,,Nick Martens,,Attn: Peter Bothwell,12 Aitken Way,,,Kewdale,WA,6105,,04 2709 2786,,,,peter.bothwell@jhg.com.au,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,11004282268,,,,,,,,GST,N,,P,79
Karen M Wilson,,*None,N,79 Wilson Street,,,,Kalgoorlie,WA,6430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,80
Ken Brown,,*None,N,PO Box 375,,,,Clayfield,QLD,4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,81
Koolan Iron Ore Pty Ltd,,KIO,N,Level 1,2 Kings Park Road,,,West Perth,WA,6005,Australia,08 9426 7527,08 9426 7500,0478 409 485,,accounts@mtgibsoniron.com.au,,Glen Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,EFT,,,    ,,,,87099455277,,,,,,,,GST,N,,P,82
CPB Contractors Pty Ltd,,*None,N,Attn: Accounts Payable,PO Box 5000,,,Crows Nest,NSW,1585,Australia,+61 2 8668 6000,,,+61 2 8668 6501,JDE.invoices@cpbcon.com.au,JDE.queries@cpbcon.com.au- payment enquiry,Blythe McCutchan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,98000893667,,,,,,,,GST,N,,P,83
Linkforce Engineering,,*None,N,PO Box 1845,,,,Subiaco,WA,6904,,,,,,admin@linkforce.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,84
Liquid Learning Group Pty Ltd,,*None,N,Attn: Elizabeth Somerville,PO Box 48,,,St Leonards,NSW,2065,,,,,,elizabeths@liquidlearning.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,85
Macmahon Contractors Pty Ltd,,MAC,N,"Level 3, 27-31 Troode Street",,,,West Perth,WA,6005,,08 9158 2753,0427 385 691 Mob,,08 9158 2774,cmunyard@macmahon.com.au,,Casey Munyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,37007611485,,,,,,,,GST,N,,P,86
Mark A Underwood,,*None,N,4 Coast Rise,,,,Swanbourne,WA,6010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,87
